4'拉什福德中路做球，瓦伦西亚助攻上来                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
4'下底没有传中机会，回带几步                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
5'曼联进球了！！！                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
5'水晶宫的乌龙球！！！                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
5'达米安边路突破下底，横扫中路，德莱尼伸脚把球捅入球门                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
6'曼联1-0领先水晶宫                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
6'此时此刻值得来杯嘉士伯                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
6'马夏尔左路突破被推倒                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
6'裁判黄牌警告了凯利                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
6'马塔禁区前横敲                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
7'达米安左路接应，扎哈破坏                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
7'瓦伦西亚右路倒三角回禁区前                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
7'马塔搓传身后被顶出                   4'曼联第4分钟取得领先，达米安左路传中，德莱尼前点解围不慎捅入自家大门
55'角球还是被先顶出                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
55'曼联进球了！！！                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
55'达米安！！！                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
55'凌空世界波！                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
56'角球被顶出来，禁区前达米安胸部卸球，直接跟上左脚抽射中立柱内侧弹入网窝！                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
56'曼联2-0领先水晶宫                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
56'此时此刻值得来杯嘉士伯                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
57'阿德巴约带球进禁区，被斯莫林破坏                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
57'鲁尼中路转移给马夏尔                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
57'禁区左侧直接打门高了                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
58'施奈德林直传禁区，被门将控制                   55'曼联第55分钟扩大比分，德莱尼解围角球，达米安禁区弧内凌空抽射打中左侧立柱入网，2-0
