4'申鑫获得有路角球机会，角球到门前前点被定出来，外围再打被曾诚没收                   3'第3分钟巴兰特斯禁区外右路射门被曾诚没收
4'恒大门前出现险情                   3'第3分钟巴兰特斯禁区外右路射门被曾诚没收
5'外围一脚直塞，梅方抢先解围出底线                   3'第3分钟巴兰特斯禁区外右路射门被曾诚没收
5'申鑫有路角球机会被解围出边线                   3'第3分钟巴兰特斯禁区外右路射门被曾诚没收
6'申鑫界外球开出，外围叶重秋一脚远射稍稍偏出                   3'第3分钟巴兰特斯禁区外右路射门被曾诚没收
6'这段时间恒大门前风声鹤唳啊                   3'第3分钟巴兰特斯禁区外右路射门被曾诚没收
5'外围一脚直塞，梅方抢先解围出底线                   5'第5分钟叶重秋禁区左路突然冷射，皮球擦远门柱而出
5'申鑫有路角球机会被解围出边线                   5'第5分钟叶重秋禁区左路突然冷射，皮球擦远门柱而出
6'申鑫界外球开出，外围叶重秋一脚远射稍稍偏出                   5'第5分钟叶重秋禁区左路突然冷射，皮球擦远门柱而出
6'这段时间恒大门前风声鹤唳啊                   5'第5分钟叶重秋禁区左路突然冷射，皮球擦远门柱而出
10'罗比尼奥前场突破后横敲，郑龙跟进推射打在了边网上                   10'第10分钟申鑫快推到前场，巴兰特斯刻意远角弧线球出界，开场10分钟，申鑫占据优势
11'张琳芃右路突破下底横传，对方防守挡出                    10'第10分钟申鑫快推到前场，巴兰特斯刻意远角弧线球出界，开场10分钟，申鑫占据优势
12'恒大这边，郑龙的射门打在边网上                   10'第10分钟申鑫快推到前场，巴兰特斯刻意远角弧线球出界，开场10分钟，申鑫占据优势
12'郑龙近几轮表现非常不错                   10'第10分钟申鑫快推到前场，巴兰特斯刻意远角弧线球出界，开场10分钟，申鑫占据优势
13'丹尼斯左边路带球突破，梅方阻挡犯规了                   10'第10分钟申鑫快推到前场，巴兰特斯刻意远角弧线球出界，开场10分钟，申鑫占据优势
17'巴兰特斯拿到直塞分球右路的丹尼尔，被金英权补防拦截                    16'第16分钟梅方防守丹尼尔犯规，巴兰特斯任意球直接射门打高
19'外围郑龙打空门打偏了                    16'第16分钟梅方防守丹尼尔犯规，巴兰特斯任意球直接射门打高
19'罗比尼奥禁区右侧拿球后分给中路的高拉特，高拉特分到门前                   16'第16分钟梅方防守丹尼尔犯规，巴兰特斯任意球直接射门打高
19'保利尼奥铲射与门将撞在一起弹出，外围郑龙打空门打偏了                   16'第16分钟梅方防守丹尼尔犯规，巴兰特斯任意球直接射门打高
19'外围郑龙打空门打偏了                    19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
19'罗比尼奥禁区右侧拿球后分给中路的高拉特，高拉特分到门前                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
19'保利尼奥铲射与门将撞在一起弹出，外围郑龙打空门打偏了                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
20'现在双方在中场拼抢                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
20'申鑫有路拿球被断下了                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
21'右路助攻的张琳芃斜传禁区右肋，禁区内被黄威解围                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
21'恒大进球了！                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
21'张琳芃！                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
21'张琳芃禁区外大力抽射破门，世界波                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
22'张琳芃外围大禁区右侧一脚爆射破门，张琳芃伤愈复出之后取得的首粒入球                   19'第19分钟恒大连续围攻申鑫大门，几位外援连续配合，最后由保利尼奥前点倒地抢射，张一诺飞扑把球解围，但张也被踢中倒地不起，好在问题不大
25'申鑫打的非常被动                   25'第25分钟罗比尼奥再次左路打弧线球直奔远角，被早有准备的张一诺扑住
26'恒大左侧角球，皮球罚向禁区，第一点被解围出去，外围再次斜传禁区，还是被解围                   25'第25分钟罗比尼奥再次左路打弧线球直奔远角，被早有准备的张一诺扑住
26'恒大右边路突破后斜传禁区，于汉超头球抢点攻门被门将挡出，郑龙外围再射被挡出                   25'第25分钟罗比尼奥再次左路打弧线球直奔远角，被早有准备的张一诺扑住
26'丹尼斯禁区外摆脱梅方和郑智的防守，大力抽射造成了曾诚的脱手，邹正解围出边线                   25'第25分钟罗比尼奥再次左路打弧线球直奔远角，被早有准备的张一诺扑住
27'郑智背后踢倒叶重秋，黄牌                   25'第25分钟罗比尼奥再次左路打弧线球直奔远角，被早有准备的张一诺扑住
28'申鑫前场左侧任意球，皮球罚向前点找乔尼，张琳芃抢到落点顶出来                   25'第25分钟罗比尼奥再次左路打弧线球直奔远角，被早有准备的张一诺扑住
28'申鑫前场左侧任意球，皮球罚向前点找乔尼，张琳芃抢到落点顶出来                   28'申鑫没有放弃，第28分钟丹尼尔左路扣过梅方怒射被曾诚扑出
30'  保利尼奥外围距门30米外一脚大力撩射，稍稍偏出左立柱出界                   28'申鑫没有放弃，第28分钟丹尼尔左路扣过梅方怒射被曾诚扑出
30'保利尼奥中场挑传禁区，高拉特没有争到头球，张一诺将球得到                     28'申鑫没有放弃，第28分钟丹尼尔左路扣过梅方怒射被曾诚扑出
30'  保利尼奥外围距门30米外一脚大力撩射，稍稍偏出左立柱出界                   30'第30分钟保利尼奥外围原地起脚射门稍稍打偏
30'保利尼奥中场挑传禁区，高拉特没有争到头球，张一诺将球得到                     30'第30分钟保利尼奥外围原地起脚射门稍稍打偏
33'高拉特中路断球长驱直入，孙凯背后先出一脚解围                   30'第30分钟保利尼奥外围原地起脚射门稍稍打偏
36' 双方球员目前都去场边补水了                   36'第36分钟罗比尼奥拉到右路射门太轻
37'丹尼斯禁区右侧摆脱后横传中路，两名后卫都漏球了，梅方解围出去                   36'第36分钟罗比尼奥拉到右路射门太轻
39'丹尼斯禁区右侧摆脱后横传中路，两名后卫都漏球了，梅方解围出去                   36'第36分钟罗比尼奥拉到右路射门太轻
42'邹正上抢踢到了陈伟的身上犯规                   41'第41分钟高拉特禁区内巧打远角，张一诺快速反应，用脚把球挡出
42'邹正被黄牌警告                   41'第41分钟高拉特禁区内巧打远角，张一诺快速反应，用脚把球挡出
58'球进了！进球的是罗比尼奥                   55'下半场头10分钟双方埋头闷头没制造什么机会
