4'曼联前场进攻，鲁尼拿球，转身直塞找范佩西                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
4'边裁举旗，范佩西越位在先，全场球迷嘘声四起                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
5'瓦伦西亚后场拿球，差点被桑切斯抢断形成单刀啊                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
5'张伯伦前场右路拿球，内切后外脚背直塞给维尔贝克                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
6'维尔贝克小禁区右侧角上的抽射，打在麦克奈尔身上弹出底线                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
6'阿森纳获得右侧角球机会                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
6'角球开出到禁区，默特萨克力压费莱尼，头球攻门，顶偏啦                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
7'阿森纳前场进攻，威尔谢尔右路拿球，横传给到张伯伦                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
7'张伯伦的强突，面对逼抢，转身时被卢克-肖大脚解围                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
9'卢克-肖出场接受治疗，鲁尼被助教喊到场边指导一下                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
9'张伯伦右路拿球，面对回撤防守的鲁尼，强突下底                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
9'张伯伦下底传中到禁区，维尔贝克无人防守下的头球攻门，顶高啦                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
10'吉布斯左路拿球，挑传找拉姆塞，被断啦                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
11'费莱尼拿球，面对逼抢，转身回带被上墙的吉布斯放倒在地，犯规                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
11'卢克-肖左路和鲁尼的配合，鲁尼直塞                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
11'卢克-肖前插接应，可惜慢了点，球出底线                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
12'桑切斯后场拿球，带到中线位置，直接过顶长传打身后                   9'第9分钟，张伯伦右路摆脱鲁尼传中，无人防守的维尔贝克10码处头球攻门高出
14'目前阿森纳已经有4次射门，曼联一次射门机会都没                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
14'哇，威尔谢尔单刀啊，被德赫亚封堵                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
14'这球德赫亚立功了啊                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
15'威尔谢尔右路拿球，强突，面对卢克-肖的防守，摔倒在禁区                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
15'主裁判并未表示，曼联球员将球解围                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
16'卢克-肖的防守再次倒地，看来受伤无法坚持啦                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
16'曼联被迫换人：18号阿什利-扬上，换下受伤的3号卢克-肖                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
17'默特萨克后场拿球，面对迪马利亚的逼抢，转身回传斯泽斯尼                   14'阿森纳第14分钟错过绝佳机会，布莱克特回传，德赫亚开球被断下，维尔贝克直传，威尔谢尔10码处单刀射门打在德赫亚胸口弹出
21'鲁尼和迪马利亚站在球前，主罚了？                   21'曼联首次射门出现在第21分钟，拉姆塞对迪马利亚犯规，鲁尼25码处任意球直接射门偏出
21'鲁尼的任意球攻门，直接飞向了看台                   21'曼联首次射门出现在第21分钟，拉姆塞对迪马利亚犯规，鲁尼25码处任意球直接射门偏出
22'钱伯斯右路的斜传转移球到左前场，桑切斯头球摆渡，出界了                   21'曼联首次射门出现在第21分钟，拉姆塞对迪马利亚犯规，鲁尼25码处任意球直接射门偏出
22'阿森纳前场进攻，又是被德赫亚出击封堵了                   21'曼联首次射门出现在第21分钟，拉姆塞对迪马利亚犯规，鲁尼25码处任意球直接射门偏出
23'迪马利亚右路拿球，强突斜传时被断                   21'曼联首次射门出现在第21分钟，拉姆塞对迪马利亚犯规，鲁尼25码处任意球直接射门偏出
23'威尔谢尔前场拿球反击，中路直塞，被回防的费莱尼断掉                   21'曼联首次射门出现在第21分钟，拉姆塞对迪马利亚犯规，鲁尼25码处任意球直接射门偏出
24'维尔贝克中圈附近，拿球转身时上抢的斯马林防守犯规                   21'曼联首次射门出现在第21分钟，拉姆塞对迪马利亚犯规，鲁尼25码处任意球直接射门偏出
29'上半场进行到现在，曼联的进攻完全打不出来啊                   29'第29分钟，威尔谢尔禁区边缘被费莱尼抢断，他在被吹罚犯规后表示不满，还在争执中用头顶撞费莱尼，但裁判最终劝解了事
29'阿森纳中路的直塞球给到左侧前插的维尔贝克                   29'第29分钟，威尔谢尔禁区边缘被费莱尼抢断，他在被吹罚犯规后表示不满，还在争执中用头顶撞费莱尼，但裁判最终劝解了事
30'维尔贝克左路拿球，内切强突时遭遇夹击，大禁区线上挑传禁区弧顶                   29'第29分钟，威尔谢尔禁区边缘被费莱尼抢断，他在被吹罚犯规后表示不满，还在争执中用头顶撞费莱尼，但裁判最终劝解了事
30'威尔谢尔和费莱尼争抢中发生了点摩擦                   29'第29分钟，威尔谢尔禁区边缘被费莱尼抢断，他在被吹罚犯规后表示不满，还在争执中用头顶撞费莱尼，但裁判最终劝解了事
30'主裁判迪恩将双方队长，以及威尔谢尔和费莱尼喊到身边，口头警告一翻                   29'第29分钟，威尔谢尔禁区边缘被费莱尼抢断，他在被吹罚犯规后表示不满，还在争执中用头顶撞费莱尼，但裁判最终劝解了事
32'慢镜回放显示，威尔谢尔有头顶费莱尼的动作，裁判迪恩放了一马啊                   29'第29分钟，威尔谢尔禁区边缘被费莱尼抢断，他在被吹罚犯规后表示不满，还在争执中用头顶撞费莱尼，但裁判最终劝解了事
46'阿什利-扬回防，抢在张伯伦停球转身前，将球解围出边线                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
46'钱伯斯右路拿球，犹豫中的下底传中，直接出了底线                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
46'上半场比赛补时2分钟                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
46'下半场比赛开始，阿森纳开球                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
46'阿什利-扬左路的直塞球，被威尔谢尔抢断                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
47'威尔谢尔抢断，边路强突，打在阿什利-扬身上出边线                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
47'阿森纳前场进攻，桑切斯的斜传转移，着急了，被德赫亚出击控制                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
48'曼联后场传球失误，直接出了边线                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
48'张伯伦右路拿球，强突下底，倒三角回传禁区中间                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
48'跟进的拉姆塞没能踢到，费莱尼赶紧将球解围出底线                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
49'阿森纳获得右侧角球机会，开出到禁区，张伯伦的打门，打在曼联球员身上出底线                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
49'阿森纳继续角球，传中到禁区，默特萨克力压费莱尼，起脚打门，打飞                   46'1分钟后，瓦伦西亚传球，迪马利亚禁区右侧弧线球射门稍稍偏出远角
