8'卡列洪前场右路拿球，强突传中到门前                   8'那不勒斯第8分钟取得领先
8'抢点的哈姆西克没能碰到，球出底线！                   8'那不勒斯第8分钟取得领先
8'那不勒斯中场抢断，反击啦！！                   8'那不勒斯第8分钟取得领先
8'那不勒斯进球！！                   8'那不勒斯第8分钟取得领先
8'因西涅的进球！！                   8'那不勒斯第8分钟取得领先
9'哈姆西克中圈抢断，直塞打身后，因西涅前插接应，让球到身前，看到纳瓦斯站位靠前，禁区外直接起脚打门，打进球门右侧！！                   8'那不勒斯第8分钟取得领先
10'莫德里奇前场中路拿球，分球右侧给上来的卡瓦哈尔                   8'那不勒斯第8分钟取得领先
10'卡瓦哈尔内切，斜塞给本泽马                   8'那不勒斯第8分钟取得领先
11'本泽马没机会，再回传给跟进的莫德里奇                   8'那不勒斯第8分钟取得领先
11'莫德里奇斜传左侧给马塞洛                   8'那不勒斯第8分钟取得领先
11'马塞洛回传拉莫斯，拉莫斯再给卡塞米罗                   8'那不勒斯第8分钟取得领先
11'卡塞米罗分球克罗斯，克罗斯再找C罗，被后卫挡出                   8'那不勒斯第8分钟取得领先
18'不好意思，之前的C罗没被出示黄牌，裁判举手，警告了一下而已！                   18'皇马第18分钟追平
18'拉莫斯的这个犯规，领到了本场比赛的第一张黄牌！                   18'皇马第18分钟追平
18'皇马扳平，本泽马！！！                   18'皇马第18分钟追平
19'J罗右路拿球，强突下底，回传卡瓦哈尔，卡瓦哈尔右脚外脚背斜传禁区，本泽马的甩头攻门，顶进！！                   18'皇马第18分钟追平
19'本泽马的第四次射门，终于得分啦！！                   18'皇马第18分钟追平
19'J罗前场右路拿球，内切被放倒在地！！                   18'皇马第18分钟追平
20'皇马获得前场中路，靠近右侧的任意球机会                   18'皇马第18分钟追平
20'克罗斯任意球斜传禁区，第一点被防守球员解围                   18'皇马第18分钟追平
42'莫德里奇再给卡瓦哈尔，卡瓦哈尔直塞C罗                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
42'C罗停球，趟两步，斜传门前找本泽马                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
42'本泽马的插上抢点推射，被雷纳封堵出底线                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
42'这球非常好的机会，C罗显得很无私                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
42'皇马右侧角球，开出到门前，瓦拉内头球，顶高！                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
45'马塞洛左路拿球，直塞给到本泽马                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
45'本泽马拿球内切，分球C罗                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
45'C罗再给左侧套边的J罗                   42'皇马第42分钟再次错过良机，C罗右路精准低传，本泽马点球点推射被雷纳指尖一托中右门柱外侧偏出
49'迪亚瓦拉再给哈姆西克，没机会，迪亚瓦拉                   49'下半时开始4分钟，皇马反超比分
49'再回传后场给阿尔比奥尔                   49'下半时开始4分钟，皇马反超比分
49'2-1！！！克罗斯！！                   49'下半时开始4分钟，皇马反超比分
49'C罗的助攻！！                   49'下半时开始4分钟，皇马反超比分
50'C罗右路拿球，踩单车强突库利巴利，下底后倒三角回传中路，克罗斯跟进推射破门！！                   49'下半时开始4分钟，皇马反超比分
52'卡列洪前场拿球，禁区的搓传，被纳瓦斯出击拿到                   49'下半时开始4分钟，皇马反超比分
52'哈姆西克左路拿球，横传迪亚瓦拉                   49'下半时开始4分钟，皇马反超比分
52'哈姆西克出球后，被莫德里奇放铲踩在了脚面上                   49'下半时开始4分钟，皇马反超比分
54'皇马获得右侧角球机会！！                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
54'J罗主罚，战术角球，给到卡瓦哈尔                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
54'卡瓦哈尔斜传禁区，第一点被解围                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
54'马塞洛外围迎球怒射，打飞！！                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
54'3-1！！！卡塞米罗！！                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
54'天外飞仙啊！！                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
55'卡瓦哈尔右路的传中球，被阿尔比奥尔解围出来，卡塞米罗禁区外不等球落地，外脚背凌空一脚抽射，完美弧线，钻进球门左侧！                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
56'那不勒斯前场进攻，赢得右侧角球！！                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
57'下半场开场11分钟，皇马连下两城，顺利反超比分！！！                   54'皇马第54分钟扩大优势，本泽马禁区右角传中被铲出，卡塞米罗不等球落地，右侧距门25米处右脚外脚背凌空抽射旋进远角，3比1，他代表皇马欧冠16次射门打进2球，且都是禁区外破门
68'卡列洪停球回做中路，辛宁斯基插上，无人防守，轰门，飞啦                   68'那不勒斯第68分钟错过良机，迪亚瓦拉送过顶球，卡列洪禁区右侧回做，卡列洪在门前11米处推射高出
68'辛宁斯基失望跪地，卡列洪也是摇了摇头！！                   68'那不勒斯第68分钟错过良机，迪亚瓦拉送过顶球，卡列洪禁区右侧回做，卡列洪在门前11米处推射高出
69'马塞洛左路拿球，回传克罗斯                   68'那不勒斯第68分钟错过良机，迪亚瓦拉送过顶球，卡列洪禁区右侧回做，卡列洪在门前11米处推射高出
69'克罗斯禁区角上搓传吊射，雷纳后退中将球拿到                   68'那不勒斯第68分钟错过良机，迪亚瓦拉送过顶球，卡列洪禁区右侧回做，卡列洪在门前11米处推射高出
70'那不勒斯前场再攻，左路的斜传，默滕斯抢点打偏                   68'那不勒斯第68分钟错过良机，迪亚瓦拉送过顶球，卡列洪禁区右侧回做，卡列洪在门前11米处推射高出
70'皇马换人：队长拉莫斯被换下，换上3号佩佩！！                   68'那不勒斯第68分钟错过良机，迪亚瓦拉送过顶球，卡列洪禁区右侧回做，卡列洪在门前11米处推射高出
71'拉莫斯刚刚的一次拼抢中，右大腿有些拉伤了。。。                   68'那不勒斯第68分钟错过良机，迪亚瓦拉送过顶球，卡列洪禁区右侧回做，卡列洪在门前11米处推射高出
81'因西涅前场拿球，分球左侧给上来的伊萨基                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
81'伊萨基的边路传中，瓦拉内的头球解围                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
81'那不勒斯前场再攻，卡列洪破门，可惜越位无效！！                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
82'这球卡列洪铲射，自己还撞在了立柱上，疼啊                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
82'皇马的换人：21号莫拉塔上，换下9号本泽马！                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
82'马塞洛左路拿球，横传中间给巴斯克斯                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
83'巴斯克斯再回传莫德里奇                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
83'莫德里奇分球右路卡瓦哈尔                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
83'卡瓦哈尔的传中球，被挡出底线                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
83'皇马右侧角球机会！！                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
83'克罗斯战术球开出到禁区线上，莫德里奇的搓射，打飞！！                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
84'那不勒斯换人：99号米利克上，换下队长17号哈姆西克                   81'第81分钟，因西涅禁区左侧头球摆渡，卡列洪后点铲进，但被判越位，进球无效
