2'切尔西后场的过顶长传找托雷斯，被本菲卡球员拦截                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
2'本菲卡前场右路的大范围转移球到左路，直接踢出了边线                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
3'本菲卡前场的进攻，边路传中                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
3'卡多索点球点附近的头球攻门，顶高                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
4'切尔西前场失误，本菲卡的抢断反击                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
4'莫雷诺的穿裆给到右路跟上的队友                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
4'本菲卡右边路传中到门前，卡希尔伸腿一挡                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
4'切赫出击，及时将球揽入怀中                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
5'没落的谢幕:怎么没看见阿扎尔呢（与维拉的比赛拉伤啦）                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
11'卡希尔上抢，在卡多索之前将球解围出禁区                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
11'切尔西后场的大脚长传右路找拉米雷斯                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
11'加雷上抢将球抢断，长传给到莫雷诺                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
12'莫雷诺右路拿球强行下底，没机会传中，回传给到佩雷斯                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
12'佩雷斯分球萨尔维奥，萨尔维奥的横传，卡多索迎球打门，被后卫挡出                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
13'本菲卡前场的连续配合，马蒂奇禁区线上的打门，放了高射炮                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
13'开场这段时间，本菲卡的进攻完全压制着切尔西                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
14'蓝军队长今天只能这种装扮为球队加油啦                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
14'佩雷斯前场拿球进攻，奥斯卡回防中身后拉人犯规                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
14'奥斯卡被主裁判出示黄牌警告                   11'第11分钟，梅尔加雷霍禁区左侧传中，卡多佐和萨尔维奥12码处的射门先后被封堵
14'蓝军队长今天只能这种装扮为球队加油啦                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
14'佩雷斯前场拿球进攻，奥斯卡回防中身后拉人犯规                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
14'奥斯卡被主裁判出示黄牌警告                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
15'这也是本场比赛的第一张黄牌                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
15'本菲卡获得前场任意球机会                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
15'战术任意球，右路低平球到禁区，混战中，球最后被切尔西后卫解围                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
16'这机会可不多啊，本菲卡门前多名球员包抄，结果都没形成真正的打门                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
16'科学老堡人:本菲卡上周末轮换不少人，现在看起来志在必得的样子（51年的历史够漫长啦）                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
17'拉米雷斯后场抢断，短传找马塔                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
17'可惜力量太大，被本菲卡球员抢断                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
17'拉米雷斯原地反抢，被吹阻挡犯规                   14'第14分钟，奥斯卡对恩佐-佩雷斯犯规被罚黄牌，随后任意球传入禁区，罗德里戈小禁区边缘两度射门均落空，切尔西混战中勉强解围
27'切尔西前场的进攻，奥斯卡禁区外的怒射，被阿图尔控制                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
27'阿兹皮里库塔后场直塞球找前插的拉米雷斯                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
28'梅尔加雷霍回防，一个放铲，将球直接铲出边线                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
28'本菲卡的进攻，右路的横传球到后点                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
29'佩雷斯包抄没有打门，而是将球垫传中间                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
29'路易斯回防将球一碰弹起，切赫出击将球拿到                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
29'这球佩雷斯完全可以自己打门，没有防守球员，多好的机会                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
30'罗较瘦来了:主播，这是在哪个球场T的啊（荷兰阿姆斯特丹球场）                   27'切尔西首次射门出现在第27分钟，拉米雷斯传球，奥斯卡25码处射门被阿图尔扑挡后没收
33'奥斯卡禁区外，在倒地的情况下直塞找马塔                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
