1'裁判哨响！比赛开始了！                   1'阿森纳第1分钟试图控制比赛
1'沃斯卡拉率先开球！                   1'阿森纳第1分钟试图控制比赛
2'沙帕尔直传失误出了底线！                   1'阿森纳第1分钟试图控制比赛
3'埃尔内尼分右侧利希施泰纳，被犯规了                   1'阿森纳第1分钟试图控制比赛
4'任意球快发出来，利希施泰纳横传中路                   1'阿森纳第1分钟试图控制比赛
4'伊沃比得球交给霍尔丁                   1'阿森纳第1分钟试图控制比赛
32'阿森纳断球反击                   32'阿森纳第32分钟取得领先，姆希塔良后场断球后突破直传，伊沃比左路斜传远点，跟进的奥巴梅扬禁区右侧12码处铲射远角入网
32'伊沃比左侧传中                   32'阿森纳第32分钟取得领先，姆希塔良后场断球后突破直传，伊沃比左路斜传远点，跟进的奥巴梅扬禁区右侧12码处铲射远角入网
32'后点奥巴梅扬铲射！                   32'阿森纳第32分钟取得领先，姆希塔良后场断球后突破直传，伊沃比左路斜传远点，跟进的奥巴梅扬禁区右侧12码处铲射远角入网
32'球进了！！                   32'阿森纳第32分钟取得领先，姆希塔良后场断球后突破直传，伊沃比左路斜传远点，跟进的奥巴梅扬禁区右侧12码处铲射远角入网
32'利希施泰纳横传中路失误了                   32'阿森纳第32分钟取得领先，姆希塔良后场断球后突破直传，伊沃比左路斜传远点，跟进的奥巴梅扬禁区右侧12码处铲射远角入网
34'沃斯卡拉获得右侧任意球机会                   32'阿森纳第32分钟取得领先，姆希塔良后场断球后突破直传，伊沃比左路斜传远点，跟进的奥巴梅扬禁区右侧12码处铲射远角入网
34'长传出了边线                   32'阿森纳第32分钟取得领先，姆希塔良后场断球后突破直传，伊沃比左路斜传远点，跟进的奥巴梅扬禁区右侧12码处铲射远角入网
48'伊沃比左侧传中，中路维尔贝克头球攻门                   48'阿森纳第48分钟扩大比分，姆希塔良左路传中，无人贴防的维尔贝克小禁区边缘头球破门，2-0
48'球进了！                   48'阿森纳第48分钟扩大比分，姆希塔良左路传中，无人贴防的维尔贝克小禁区边缘头球破门，2-0
50'奥巴梅扬左侧传中                   48'阿森纳第48分钟扩大比分，姆希塔良左路传中，无人贴防的维尔贝克小禁区边缘头球破门，2-0
50'维尔贝克后点铲射偏出                   48'阿森纳第48分钟扩大比分，姆希塔良左路传中，无人贴防的维尔贝克小禁区边缘头球破门，2-0
56'姆希塔良分中路奥巴梅扬                   56'第56分钟，姆希塔良传球，奥巴梅扬20码处射入右下角，3-0
56'人球分过后右脚推射！                   56'第56分钟，姆希塔良传球，奥巴梅扬20码处射入右下角，3-0
56'球进了！打入了右侧！                   56'第56分钟，姆希塔良传球，奥巴梅扬20码处射入右下角，3-0
56'厄齐尔换下奥巴梅扬！                   56'第56分钟，姆希塔良传球，奥巴梅扬20码处射入右下角，3-0
74'厄齐尔分贡多齐                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
74'交给右侧利希施泰纳                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
74'传中到后点                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
74'厄齐尔跟进推射空门！                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
74'球进了！                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
76'沃斯卡拉任意球给禁区                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
76'争顶后到了弧顶                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
76'切斯纳科夫左脚打门！                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
77'球进了！                   74'第74分钟，帕帕斯塔索普洛斯直传，利希施泰纳禁区右侧挑传，厄齐尔近距离捅射破门，4-0
