1'上半场比赛开始                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
1'白衣白裤的皇马开球，从画面的左侧向右进攻                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
1'佩佩后场直接长传球到对方禁区，力量稍大，被阿森霍没收                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
2'卡瓦哈尔中场上抢，带倒了戈麦斯，犯规                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
2'皇马后场抢断，卡瓦哈尔直塞找贝尔                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
3'潜水艇球员上抢，将球破坏出边线                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
4'席尔瓦左路拿球，横切后起脚打门被防守球员挡回                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
4'克罗斯拿球，在斜传转移球到右侧找前插的卡瓦哈尔                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
4'可惜传球力量太大，球直接飞出了底线                   1'皇马第1分钟展开攻势，但C-罗纳尔多和卢卡斯-席尔瓦的外围射门先后偏出
52'这是皇马本赛季在西甲联赛中获得的第十个点球                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
52'C罗主罚，一蹴而就！！！                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
53'这是C罗在联赛中攻进的第30个进球！！！同时也是其加盟皇马后打进的第291个进球，独享射手榜第三位                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
53'加斯帕尔前场莫雷诺的配合，马塞洛上抢，被莫雷诺撞翻在地                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
54'皇马前场进攻，贝尔直塞到禁区                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
55'C罗让球到身前，直接起脚打门，被阿森霍挡出                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
55'C罗射门后刹车不急，挂在了出击倒在地上的阿森霍身上                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
55'阿森霍躺在地上，C罗蹲下来安慰，好在无大碍，稍作休息后，起身继续比赛                   52'皇马第52分钟打破僵局，贝尔右路传中，拜利小禁区前抱倒C-罗纳尔多被罚黄牌，皇马本赛季联赛中第10次获得点球，C-罗纳尔多亲自主罚点球命中
64'潜水艇进球啦！！！                   64'比利亚雷亚尔第64分钟扳平比分，克罗斯混战中拦截失误，莫雷诺禁区边缘左脚劲射右下角入网，1-1
64'莫雷诺的进球！！！                   64'比利亚雷亚尔第64分钟扳平比分，克罗斯混战中拦截失误，莫雷诺禁区边缘左脚劲射右下角入网，1-1
65'潜水艇前场左路进攻，横传给到维埃托，维埃托停球横拨，克罗斯伸脚一挡，没能拦下，身后的莫雷诺迎球劲射，打进球门右下角！！！                   64'比利亚雷亚尔第64分钟扳平比分，克罗斯混战中拦截失误，莫雷诺禁区边缘左脚劲射右下角入网，1-1
66'这球克罗斯的拦截，出脚一碰，间接变成了给莫雷诺的助攻                   64'比利亚雷亚尔第64分钟扳平比分，克罗斯混战中拦截失误，莫雷诺禁区边缘左脚劲射右下角入网，1-1
66'马塞洛左路斜塞，拜利抢在本泽马之前将球成功拦截                   64'比利亚雷亚尔第64分钟扳平比分，克罗斯混战中拦截失误，莫雷诺禁区边缘左脚劲射右下角入网，1-1
67'本泽马回撤中线接应，拜利身后上抢被吹犯规                   64'比利亚雷亚尔第64分钟扳平比分，克罗斯混战中拦截失误，莫雷诺禁区边缘左脚劲射右下角入网，1-1
67'马塞洛后场防守中，和坎贝尔形成对脚，双双倒地                   64'比利亚雷亚尔第64分钟扳平比分，克罗斯混战中拦截失误，莫雷诺禁区边缘左脚劲射右下角入网，1-1
84'马塞洛左路45度斜传球到禁区，阿森霍出击接球脱手                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
84'赫塞后点跟进，右脚推射空门，竟然踢偏啦                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
85'目前的射门次数：皇马23次，潜水艇8次                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
85'贝尔左路拿球，变向摆脱坎贝尔的上抢                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
85'可惜自己趟球趟大，被拜利出来控制                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
85'潜水艇的反击，坎贝尔斜传球到禁区                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
86'维埃托的射门，被卡西倒地奋力扑出                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
86'赫塞前场拿球，直塞打身后找贝尔                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
87'贝尔速度并未起来，球被回防的加斯帕尔拦截，回传给到阿森霍                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
87'皇马前场进攻，埃尔南德斯禁区内前插抢点，与身后回防的拜利相撞倒地                   84'皇马第84分钟错失绝佳机会，阿森霍出击扑接高球脱手，赫塞禁区右侧射空门偏出近角
87'贝尔速度并未起来，球被回防的加斯帕尔拦截，回传给到阿森霍                   87'第87分钟，卡瓦哈尔直传，埃尔南德斯禁区右肋在拜利防守下摔倒，裁判未予判罚，双方球员相互指责对方
87'皇马前场进攻，埃尔南德斯禁区内前插抢点，与身后回防的拜利相撞倒地                   87'第87分钟，卡瓦哈尔直传，埃尔南德斯禁区右肋在拜利防守下摔倒，裁判未予判罚，双方球员相互指责对方
88'主裁判并未表示，小豌豆和拜利较上劲，阿森霍上前劝解                   87'第87分钟，卡瓦哈尔直传，埃尔南德斯禁区右肋在拜利防守下摔倒，裁判未予判罚，双方球员相互指责对方
89'克罗斯中场拿球，特里格罗斯的上抢犯规                   87'第87分钟，卡瓦哈尔直传，埃尔南德斯禁区右肋在拜利防守下摔倒，裁判未予判罚，双方球员相互指责对方
89'特里格罗斯被主裁判出示了黄牌警告！！！                   87'第87分钟，卡瓦哈尔直传，埃尔南德斯禁区右肋在拜利防守下摔倒，裁判未予判罚，双方球员相互指责对方
89'皇马前场进攻，赢得角球，开出到禁区                   87'第87分钟，卡瓦哈尔直传，埃尔南德斯禁区右肋在拜利防守下摔倒，裁判未予判罚，双方球员相互指责对方
89'拜利的头球解围，受伤倒地                   87'第87分钟，卡瓦哈尔直传，埃尔南德斯禁区右肋在拜利防守下摔倒，裁判未予判罚，双方球员相互指责对方
