1'都灵球员J-马丁内斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   1'第1分钟，马诺拉斯未能破坏对方过顶球，马丁内斯禁区边缘左脚抽射偏出
2'都灵球员奥比大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Gastón Silva.                   1'第1分钟，马诺拉斯未能破坏对方过顶球，马丁内斯禁区边缘左脚抽射偏出
31'都灵球员Andrea Belotti大禁区外右脚射门,命中门柱左侧立柱.给他传球的是Gastón Silva.                   31'罗马第31分钟经历险情，加斯通-席尔瓦传球，贝洛蒂在门前28米处大力低射击中左门柱外侧
31'纳因戈兰为罗马赢得一个任意球.                   31'罗马第31分钟经历险情，加斯通-席尔瓦传球，贝洛蒂在门前28米处大力低射击中左门柱外侧
31'都灵球员格里克拼抢犯规,对手获得控球权.                   31'罗马第31分钟经历险情，加斯通-席尔瓦传球，贝洛蒂在门前28米处大力低射击中左门柱外侧
33'都灵球员Gastón Silva大禁区左侧右脚射门,被防守球员封堵.给他传球的是奥比.                   31'罗马第31分钟经历险情，加斯通-席尔瓦传球，贝洛蒂在门前28米处大力低射击中左门柱外侧
33'凯塔将球处理出底线,都灵获得角球.                   31'罗马第31分钟经历险情，加斯通-席尔瓦传球，贝洛蒂在门前28米处大力低射击中左门柱外侧
34'罗马球员马诺拉斯犯规,致使对方获得点球.                   31'罗马第31分钟经历险情，加斯通-席尔瓦传球，贝洛蒂在门前28米处大力低射击中左门柱外侧
34'点球,Andrea Belotti在禁区内被侵犯,都灵获得点球.                   31'罗马第31分钟经历险情，加斯通-席尔瓦传球，贝洛蒂在门前28米处大力低射击中左门柱外侧
65'Bruno Peres将球处理出底线,罗马获得角球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
65'Bruno Peres将球处理出底线,罗马获得角球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
65'进球啦！！！罗马球员马诺拉斯大禁区中央头球,球从右下角飞进球门,球进了!助攻的是佩罗蒂. 罗马 1-1 都灵.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
65'进球啦！！！罗马球员马诺拉斯大禁区中央头球,球从右下角飞进球门,球进了!助攻的是佩罗蒂. 罗马 1-1 都灵.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
66'奥比为都灵赢得一个任意球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
66'奥比为都灵赢得一个任意球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
66'罗马球员拼抢犯规,对手获得控球权.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
66'罗马球员拼抢犯规,对手获得控球权.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
68'射门!!!都灵球员巴塞利大禁区外右脚射门,被对方守门员横身扑出.给他传球的是莫利纳罗.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
68'射门!!!都灵球员巴塞利大禁区外右脚射门,被对方守门员横身扑出.给他传球的是莫利纳罗.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
68'斯泽斯尼将球处理出底线,都灵获得角球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
68'斯泽斯尼将球处理出底线,都灵获得角球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
68'吕迪格将球处理出底线,都灵获得角球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
68'吕迪格将球处理出底线,都灵获得角球.                   65'罗马第65分钟扳平比分，佩罗蒂右侧开出角球，马诺拉斯高高跃起顶进右下角，1比1
80'罗马换人,皮亚尼奇换下沙拉维                   80'都灵第80分钟再度超出
80'罗马换人,皮亚尼奇换下沙拉维                   80'都灵第80分钟再度超出
80'进球啦！！！都灵球员J-马丁内斯大禁区中央左脚射门,球从中路偏上飞进球门,球进了!助攻的是Bruno Peres. 罗马 1-2 都灵.                   80'都灵第80分钟再度超出
80'进球啦！！！都灵球员J-马丁内斯大禁区中央左脚射门,球从中路偏上飞进球门,球进了!助攻的是Bruno Peres. 罗马 1-2 都灵.                   80'都灵第80分钟再度超出
86'都灵球员莫雷蒂拼抢犯规,对手获得控球权.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
86'都灵球员莫雷蒂拼抢犯规,对手获得控球权.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
86'萨拉赫为罗马在右路,赢得一个任意球.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
86'萨拉赫为罗马在右路,赢得一个任意球.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
86'罗马换人,托蒂换下凯塔                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
86'罗马换人,托蒂换下凯塔                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
86'进球啦！！！罗马球员托蒂球门线跟前右脚射门,球从左上角飞进球门,球进了!助攻的是马诺拉斯. 罗马 2-2 都灵.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
86'进球啦！！！罗马球员托蒂球门线跟前右脚射门,球从左上角飞进球门,球进了!助攻的是马诺拉斯. 罗马 2-2 都灵.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
88'都灵球员马希莫维奇手球,致使对方获得点球.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
88'都灵球员马希莫维奇手球,致使对方获得点球.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
89'进球啦！！！罗马球员托蒂右脚射门,球从左下角飞进球门,球进了! 罗马 3-2 都灵.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
89'进球啦！！！罗马球员托蒂右脚射门,球从左下角飞进球门,球进了! 罗马 3-2 都灵.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
89'都灵球员格里克被主裁判出示了一张黄牌.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
89'都灵球员格里克被主裁判出示了一张黄牌.                   86'第86分钟，皮亚尼奇右侧开出任意球，马诺拉斯头球摆渡到后门组，托蒂在门前4米处凌空垫射入左上角，2比2，从替补出场到进球，托蒂只用了18秒
89'进球啦！！！罗马球员托蒂右脚射门,球从左下角飞进球门,球进了! 罗马 3-2 都灵.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
89'进球啦！！！罗马球员托蒂右脚射门,球从左下角飞进球门,球进了! 罗马 3-2 都灵.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
89'都灵球员格里克被主裁判出示了一张黄牌.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
89'都灵球员格里克被主裁判出示了一张黄牌.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
90'罗马球员托蒂大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是纳因戈兰.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
90'罗马球员托蒂大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是纳因戈兰.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
90'+2'都灵球员加齐一脚直塞球给J-马丁内斯,但是边裁举旗显示后者已经越位.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
90'+2'都灵球员加齐一脚直塞球给J-马丁内斯,但是边裁举旗显示后者已经越位.                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
90'+5'都灵换人,Simone Edera换下加齐                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
90'+5'都灵换人,Simone Edera换下加齐                   89'第89分钟，佩罗蒂左路传中打在马克西莫维奇手上，点球
