3'维拉右路拿球下底，这球边裁给了一个门球                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
3'利物浦中场拿球给到了左路                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
3'底线的起送到了后点                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
4'马尔科维奇凌空打门将球打高了                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
4'维拉中场拿球送到右路底线                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
4'前场维拉的横向转移送到左路                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
4'利物浦站住位置，维拉也没什么机会                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
4'拉拉纳后场边路防守犯规送给对方任意球                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
5'韦斯特伍德任意球送后点                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
5'这球被利物浦先顶了出去                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
5'韦斯特伍德角球开出送中路                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
5'第一点还是利物浦的                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
6'维拉右路再起送禁区，米尼奥莱将球拿到                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
9'阿邦拉霍前场断球下来后到了底线                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
9'最后的传球被后卫挡出底线                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
9'维拉角球机会                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
9'角球送禁区内                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
9'维拉进球了！！！                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
10'阿邦拉霍！！                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
11'维拉角球送禁区内，森德罗斯头球顶下来，小禁区内阿邦拉霍接球捅射得分！                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
11'利物浦的开局有些不利                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
11'利物浦长传送后点                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
11'西索科大脚将球解围出底线                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
12'利物浦角球送禁区内，队友的头球没有顶正                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
12'拉拉纳得到一张黄牌！                   9'维拉第9分钟取得领先，韦斯特伍德开出角球，森德罗斯头球攻门被封堵，阿邦拉霍混战中小禁区内射入右下角
11'维拉角球送禁区内，森德罗斯头球顶下来，小禁区内阿邦拉霍接球捅射得分！                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
11'利物浦的开局有些不利                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
11'利物浦长传送后点                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
11'西索科大脚将球解围出底线                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
12'利物浦角球送禁区内，队友的头球没有顶正                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
12'拉拉纳得到一张黄牌！                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
13'拉拉纳中场附近滑铲克莱维利                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
13'这球比较凶                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
13'维拉任意球往禁区里送                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
14'森德罗斯高速插上后头球攻门将球顶高                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
14'这球，利物浦的防守再次漏人了                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
14'这球盯防的是巴洛特利                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
14'巴洛特利是毫无反应啊                   11'第11分钟，杰拉德传中，萨科头球攻门被古赞轻松得到
13'拉拉纳中场附近滑铲克莱维利                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
13'这球比较凶                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
13'维拉任意球往禁区里送                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
14'森德罗斯高速插上后头球攻门将球顶高                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
14'这球，利物浦的防守再次漏人了                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
14'这球盯防的是巴洛特利                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
14'巴洛特利是毫无反应啊                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
15'维拉长传打到底线                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
15'利物浦球员也是不敢怠慢将球解围                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
16'克莱维利左路起球被利物浦顶出底线                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
16'维拉角球送中路                   13'维拉第13分钟险些扩大比分，韦斯特伍德任意球传入禁区，森德罗斯10码处冲顶稍稍高出
32'巴洛特利挑传送禁区内                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
32'库蒂尼奥插上后接球越位了                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
33'利物浦右路起球送禁区内，库蒂尼奥头球摆渡下来                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
33'队友第二点插上后直接打门被后卫挡出                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
33'这球传跑都是非常不错的                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
34'巴洛特利中场拿球被赫顿放倒                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
34'裁判这球没有吹                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
35'利物浦中场拿球送直塞                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
35'这球传跑没有形成默契                   32'第32分钟，马尔科维奇挑传，亨德森头球回摆，拉拉纳12码处凌空劲射被贝克封堵
43'拉拉纳禁区弧顶远射，球是稍稍打偏                   43'第43分钟，巴洛特利回敲，拉拉纳25码处左脚凌空抽射偏出右下角
44'维拉前场拿球，抢球的时候撞人犯规了                   43'第43分钟，巴洛特利回敲，拉拉纳25码处左脚凌空抽射偏出右下角
46'利物浦中场长传送禁区里                   43'第43分钟，巴洛特利回敲，拉拉纳25码处左脚凌空抽射偏出右下角
46'这球威胁不是很大                   43'第43分钟，巴洛特利回敲，拉拉纳25码处左脚凌空抽射偏出右下角
46'利物浦机会啊                   43'第43分钟，巴洛特利回敲，拉拉纳25码处左脚凌空抽射偏出右下角
46'下半场比赛开始！                   43'第43分钟，巴洛特利回敲，拉拉纳25码处左脚凌空抽射偏出右下角
46'下半场比赛由利物浦发球                   43'第43分钟，巴洛特利回敲，拉拉纳25码处左脚凌空抽射偏出右下角
47'禁区左路的突破最后没有过去                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
47'这球要是第一下传到远端，也许机会还是比较大的                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
47'利物浦右路拿球横敲到门前                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
47'队友的打门被后卫挡出底线                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
49'利物浦中场控球                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
