1'上半场比赛开始了                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
1'上来拉拉纳就有一次强突，萨科将球踢在小将脚上出底线                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
1'米尼奥莱发出门球                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
2'亨德森中场挑传，菲尔米诺越位了                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
3'埃雷拉交给马塔，拉什福德接应                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
3'横传球丢了                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
3'库蒂尼奥带球被卡里克断下                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
3'费莱尼左路带球回传给卡里克                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
3'斜传林加德被断了                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
3'斯图里奇右路的突进被拦截下来                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
4'萨科分边左路的米尔纳                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
4'今天米尔纳打左后卫                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
4'克莱恩右路来了，直传，埃姆雷坎分边被断了                   1'双方第1分钟拼抢激烈，利物浦采取稳守反击策略
32'马夏尔骗过了门将打球门左侧球进！                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
32'曼联1：0领先，总比分变成了，1：2                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
33'亨德森长传右路，斯图里奇得球                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
33'斯图里奇一扣被布林德绊倒                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
33'布林德被黄牌警告                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
33'布林德则认为斯图里奇假摔                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
33'慢镜看勾脚明显啊                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
33'利物浦获得对方禁区右边缘的任意球机会                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
34'斯图里奇直接旋向球门击中了横梁                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
35'库蒂尼奥左路下底传中打在布林德身上反弹击中了库蒂尼奥出底线                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
35'克莱恩这一侧很吃紧，又是一次狼狈的解围出边线                   32'曼联第32分钟打破僵局，马夏尔突入禁区左侧被克莱因绊倒，马夏尔亲自主罚点球命中
35'库蒂尼奥左路下底传中打在布林德身上反弹击中了库蒂尼奥出底线                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
35'克莱恩这一侧很吃紧，又是一次狼狈的解围出边线                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
36'拉什福德突进被克莱恩拦截，但克莱恩再踢一脚解围时带倒了林加德                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
36'曼联在对方禁区左侧的任意球机会                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
36'马塔传中，萨科将球顶出禁区                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
37'菲尔米诺的传球，费莱尼断下                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
37'罗霍分边左路，马夏尔交给右路                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
37'瓦雷拉下底传中被亨德森顶出禁区                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
37'卡里克再得球直传，林加德下底传中被萨科解围出来                   35'第35分钟，斯图里奇禁区右侧边缘外任意球直接射门，但皮球憾中横梁弹回
47'克莱恩长传，罗霍顶了一下，埃姆雷坎争抢时对费莱尼犯规                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
47'裁判是吹了费莱尼拉人                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
48'罗霍长传上来，埃姆雷坎顶了一下                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
48'布林德交给罗霍罗霍长传，费莱尼胸部停球下来交给马夏尔                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
49'拉什福德拉边接应传中，费莱尼头球攻门碰到了萨科出底线                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
50'布林德长传上来，费莱尼争位置时拉倒了洛夫伦                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
50'费莱尼也吃到黄牌，裁判认为费莱尼有肘击洛夫伦的动作                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
50'米尼奥莱大脚往右路开                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
50'埃雷拉横拔                   47'曼联2分钟后也浪费机会，布林德长传，费莱尼钩回门前，罗霍小禁区边缘推射偏出左侧立柱
