4'年轻人球员奥哈拉自摆乌龙,年轻人 0-1 利物浦                   4'利物浦第4分钟幸运取得领先，唐宁右路下底传中，施皮歇尔头球解围打在队友奥 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
5'射门!!!年轻人球员博瓦迪利亚大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是萨拉特.                   4'利物浦第4分钟幸运取得领先，唐宁右路下底传中，施皮歇尔头球解围打在队友奥 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
5'琼斯将球处理出底线,年轻人获得角球.                   4'利物浦第4分钟幸运取得领先，唐宁右路下底传中，施皮歇尔头球解围打在队友奥 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
7'维斯科瓦奇将球处理出底线,利物浦获得角球.                   4'利物浦第4分钟幸运取得领先，唐宁右路下底传中，施皮歇尔头球解围打在队友奥 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
48'年轻人球员维斯科瓦奇拼抢犯规,对手获得控球权.                   46'年青人1分钟后险些扳平，博巴迪拉禁区右侧10码处劲射被琼斯扑出近角
48'帕切科为利物浦在左路,赢得一个任意球.                   46'年青人1分钟后险些扳平，博巴迪拉禁区右侧10码处劲射被琼斯扑出近角
48'利物浦球员阿萨迪大禁区左侧尝试右脚射门,可惜皮球偏出球门.给他传球的是何塞-恩里克.                   46'年青人1分钟后险些扳平，博巴迪拉禁区右侧10码处劲射被琼斯扑出近角
49'年轻人球员萨拉特大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是兹维罗蒂奇.                   46'年青人1分钟后险些扳平，博巴迪拉禁区右侧10码处劲射被琼斯扑出近角
26'年轻人球员萨拉特大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是法内鲁德.                   26'第26分钟，萨拉特禁区右侧斜射偏出远角
28'年轻人球员奥哈拉拼抢犯规,对手获得控球权.                   26'第26分钟，萨拉特禁区右侧斜射偏出远角
28'帕切科为利物浦在对方半场,赢得一个任意球.                   26'第26分钟，萨拉特禁区右侧斜射偏出远角
29'年轻人球员萨拉特拼抢犯规,对手获得控球权.                   26'第26分钟，萨拉特禁区右侧斜射偏出远角
29'何塞-恩里克为利物浦在左路,赢得一个任意球.                   26'第26分钟，萨拉特禁区右侧斜射偏出远角
40'奥哈拉将球处理出底线,利物浦获得角球.                   40'利物浦第40分钟再度超出，沙欣开出角球，维斯多姆小禁区边缘头球破门，2-1
40'进球啦！！！利物浦球员维斯多姆大禁区中央头球,球从右下角飞进球门,球进了!助攻的是沙辛. 年轻人 1-2 利物浦.                   40'利物浦第40分钟再度超出，沙欣开出角球，维斯多姆小禁区边缘头球破门，2-1
43'年轻人球员法内鲁德大禁区外左脚射门,命中门柱左侧立柱.给他传球的是努佐罗.                   40'利物浦第40分钟再度超出，沙欣开出角球，维斯多姆小禁区边缘头球破门，2-1
48'年轻人球员维斯科瓦奇拼抢犯规,对手获得控球权.                   48'第48分钟，恩里克传球，阿萨迪禁区左侧的射门偏出右上角
48'帕切科为利物浦在左路,赢得一个任意球.                   48'第48分钟，恩里克传球，阿萨迪禁区左侧的射门偏出右上角
48'利物浦球员阿萨迪大禁区左侧尝试右脚射门,可惜皮球偏出球门.给他传球的是何塞-恩里克.                   48'第48分钟，恩里克传球，阿萨迪禁区左侧的射门偏出右上角
49'年轻人球员萨拉特大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是兹维罗蒂奇.                   48'第48分钟，恩里克传球，阿萨迪禁区左侧的射门偏出右上角
51'利物浦球员亨德森大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是唐宁.                   48'第48分钟，恩里克传球，阿萨迪禁区左侧的射门偏出右上角
53'进球啦！！！年轻人球员奥哈拉大禁区中央头球,球从左下角飞进球门,球进了!助攻的是博瓦迪利亚. 年轻人 2-2 利物浦.                   53'年青人第53分钟扳平比分，博巴迪拉右路传中，奥耶拉10码处顶出反弹球入左下角，2-2
54'兹维罗蒂奇为年轻人赢得一个任意球.                   53'年青人第53分钟扳平比分，博巴迪拉右路传中，奥耶拉10码处顶出反弹球入左下角，2-2
54'利物浦球员苏索拼抢犯规,对手获得控球权.                   53'年青人第53分钟扳平比分，博巴迪拉右路传中，奥耶拉10码处顶出反弹球入左下角，2-2
55'卡拉格将球处理出底线,年轻人获得角球.                   53'年青人第53分钟扳平比分，博巴迪拉右路传中，奥耶拉10码处顶出反弹球入左下角，2-2
56'利物浦球员何塞-恩里克大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   53'年青人第53分钟扳平比分，博巴迪拉右路传中，奥耶拉10码处顶出反弹球入左下角，2-2
63'进球啦！！！年轻人球员萨拉特大禁区右侧左脚射门,球从中路飞进球门,球进了!助攻的是博瓦迪利亚. 年轻人 3-2 利物浦.                   63'年青人第63分钟反超比分，博巴迪拉直传，萨拉特禁区右侧15码处左脚外脚背轻巧挑射，卡拉格解围不及送皮球入网，3-2
65'年轻人换人,冈萨雷斯换下萨拉特                   63'年青人第63分钟反超比分，博巴迪拉直传，萨拉特禁区右侧15码处左脚外脚背轻巧挑射，卡拉格解围不及送皮球入网，3-2
65'年轻人球员兹维罗蒂奇拼抢犯规,对手获得控球权.                   63'年青人第63分钟反超比分，博巴迪拉直传，萨拉特禁区右侧15码处左脚外脚背轻巧挑射，卡拉格解围不及送皮球入网，3-2
65'博里尼为利物浦在对方半场,赢得一个任意球.                   63'年青人第63分钟反超比分，博巴迪拉直传，萨拉特禁区右侧15码处左脚外脚背轻巧挑射，卡拉格解围不及送皮球入网，3-2
66'射门!!!利物浦球员博里尼大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是苏索.                   63'年青人第63分钟反超比分，博巴迪拉直传，萨拉特禁区右侧15码处左脚外脚背轻巧挑射，卡拉格解围不及送皮球入网，3-2
66'沃尔夫利将球处理出底线,利物浦获得角球.                   63'年青人第63分钟反超比分，博巴迪拉直传，萨拉特禁区右侧15码处左脚外脚背轻巧挑射，卡拉格解围不及送皮球入网，3-2
67'利物浦换人,谢尔维换下阿萨迪                   67'利物浦第67分钟扳平比分，唐宁开出角球，科茨12码处头球攻门弹地入网，博里尼近距离射门并没有碰到皮球，3-3
67'进球啦！！！利物浦球员科茨大禁区中央头球,球从右下角飞进球门,球进了!助攻的是唐宁. 年轻人 3-3 利物浦.                   67'利物浦第67分钟扳平比分，唐宁开出角球，科茨12码处头球攻门弹地入网，博里尼近距离射门并没有碰到皮球，3-3
69'年轻人换人,斯切内维利换下努佐罗                   67'利物浦第67分钟扳平比分，唐宁开出角球，科茨12码处头球攻门弹地入网，博里尼近距离射门并没有碰到皮球，3-3
88'进球啦！！！利物浦球员谢尔维大禁区外左脚射门,球从左下角飞进球门,球进了!助攻的是亨德森. 年轻人 3-5 利物浦.                   88'第88分钟，亨德森传球，谢尔维突破至禁区弧内左脚劲射破门，5-3
90'斯切内维利为年轻人赢得一个任意球.                   88'第88分钟，亨德森传球，谢尔维突破至禁区弧内左脚劲射破门，5-3
90'利物浦球员苏索拼抢犯规,对手获得控球权.                   88'第88分钟，亨德森传球，谢尔维突破至禁区弧内左脚劲射破门，5-3
90'+1'利物浦球员何塞-恩里克一脚直塞球给斯特林,但是边裁举旗显示后者已经越位.                   88'第88分钟，亨德森传球，谢尔维突破至禁区弧内左脚劲射破门，5-3
90'+4'下半场结束,年轻人 3-5 利物浦                   88'第88分钟，亨德森传球，谢尔维突破至禁区弧内左脚劲射破门，5-3
