7'高拉特将球控制下来                   4'第4分钟，阿兰突入禁区小角度射门被王大雷扑出底线
7'长传球，球被解围出来                   4'第4分钟，阿兰突入禁区小角度射门被王大雷扑出底线
7'保利尼奥中场拿球                   4'第4分钟，阿兰突入禁区小角度射门被王大雷扑出底线
9'球被解围出来                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
9'西塞拿球，直接推进过半场，给插上的吴兴涵                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
9'吴兴涵禁区前沿的射门，打偏了                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
10'廖力生传球高拉特，停球没有停好                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
10'鲁能断球，直接长传球，刘殿座将球稳稳抱住                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
10'廖力生中路拿球，被犯规了                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
12'高拉特胸部停球下来，给郑智，挑传插上禁区的高拉特，头球冲顶                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
12'进了！！！！！！！！！！！                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
12'恒大率先打破了场上的僵局                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
12'比赛进行了快12分钟，高拉特打破了场上的僵局                   9'第9分钟，尤西雷后场断球后送出直塞球，西塞拿球后晃开防守队员后送出妙传，吴兴涵快速插上直面刘殿座，可惜吴兴涵的推射擦着立柱偏出
17'直传球，找阿兰，球出了底线                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
17'王大雷大脚开出来，恒大将球控制下来                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
18'直接长传球，找前场阿兰，阿兰挑射                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
18'球在门线上被解围出来                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
18'关键呀                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
19'王大雷大脚开出来，恒大将球控制下来                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
19'鲁能中场将球断下来，直接长传前场，给佩莱                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
19'佩莱拿球，遭遇包夹，给中场队友组织                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
20'蒿俊闵直传球，刘殿座出击将球抱住                   17'第17分钟，尤西雷传球出现失误，阿兰禁区内摆脱后轻松面对王大雷选择挑射攻门，宋龙回防到禁区线附近回头望月解围，王大雷将球没收
35'蒿俊闵给边路赵明剑，传门前，找佩莱，球被刘殿座抱住                   35'第35分钟，山东鲁能进攻到前场，李松益边路弧线球传中，佩莱禁区线附近头球攻门，球被刘殿座没收
35'刘殿座大脚开出来，鲁能将球控制下来                   35'第35分钟，山东鲁能进攻到前场，李松益边路弧线球传中，佩莱禁区线附近头球攻门，球被刘殿座没收
36'蒿俊闵拿球，被包夹，球丢了                   35'第35分钟，山东鲁能进攻到前场，李松益边路弧线球传中，佩莱禁区线附近头球攻门，球被刘殿座没收
37'郑智在中场控制球权                   35'第35分钟，山东鲁能进攻到前场，李松益边路弧线球传中，佩莱禁区线附近头球攻门，球被刘殿座没收
37'郑智传球被断了                   35'第35分钟，山东鲁能进攻到前场，李松益边路弧线球传中，佩莱禁区线附近头球攻门，球被刘殿座没收
45'阿兰传球边路插上的陈泽鹏，边裁举旗，越位了                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
45'王大雷大脚开出来，恒大继续控球                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
46'张文钊传球阿兰，突破禁区，准备躺球过人，球被挡出底线                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
46'角球开出来，前点，球被解围出来                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
46'中场附近有人倒地了                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
47'给了恒大定位球机会                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
47'保利尼奥传球禁区，球被解围出出来                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
