1'上半场比赛开始                   1'双方第1分钟打出谨慎的缓慢开局
1'上半场由身穿枣红色球衣阿斯顿维拉中圈开球                   1'双方第1分钟打出谨慎的缓慢开局
1'我们看到看台非常稀松                   1'双方第1分钟打出谨慎的缓慢开局
2'巴巴左路控球，交给米克尔                   1'双方第1分钟打出谨慎的缓慢开局
2'法布雷加斯右路拿球分给阿斯皮利奎塔                   1'双方第1分钟打出谨慎的缓慢开局
2'一顺还是法布雷加斯，回做                   1'双方第1分钟打出谨慎的缓慢开局
3'佩德罗接应脚腕一拐，法布雷加斯传中被后卫挡出底线                   1'双方第1分钟打出谨慎的缓慢开局
3'战术角球没有成功                   1'双方第1分钟打出谨慎的缓慢开局
4'雷米拉边接应，被放倒                   1'双方第1分钟打出谨慎的缓慢开局
19'切克的突进被桑切斯绊倒                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
19'法布雷加斯快发任意球到禁区，佩德罗脚背粘下球来打进球网，可惜先越位                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
20'切尔西后场倒着脚，米克尔控球交给法布雷加斯                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
20'再分右路，阿斯皮利奎塔回给米亚兹加                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
20'转移给左路的伊万诺维奇                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
21'阿尤内切远射打在了阿斯皮利奎塔身上折射出底线                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
22'韦斯特伍德发远端，阿尤顶向门前被阿斯皮利奎塔踢出禁区                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
22'桑切斯直接远射，打得不好                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
22'切尔西有一名球员受伤，雷米                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
22'应该是拉伤了                   19'第19分钟，法布雷加斯精准长传，佩德罗漂亮停球后挑射破门，但因他越位在先，进球被判无效
26'米克尔分右路，阿斯皮利奎塔边路传中，切克跟进顺贽推射从莱斯科特裆下穿过入网！                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
27'此时此刻值得来杯杯嘉士伯！                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
27'此时此刻值得来杯嘉士伯！                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
27'格耶与法布雷加斯双方犯规，各吃到一张黄牌                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
28'维拉球迷真是欲哭无泪                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
28'巴巴左路直传，法布雷加斯回传                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
29'法布雷加斯直传，过不了理查兹                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
