12'桑德兰球员贝尔吉尼自摆乌龙,南安普敦 1-0 桑德兰                   12'第12分钟，维尔吉尼禁区边缘内解围自摆乌龙
14'南安普敦球员阿尔德韦雷尔德拼抢犯规,对手获得控球权.                   12'第12分钟，维尔吉尼禁区边缘内解围自摆乌龙
14'弗莱彻为桑德兰在对方半场,赢得一个任意球.                   12'第12分钟，维尔吉尼禁区边缘内解围自摆乌龙
14'南安普敦球员佩莱拼抢犯规,对手获得控球权.                   12'第12分钟，维尔吉尼禁区边缘内解围自摆乌龙
14'William Buckley为桑德兰在右路,赢得一个任意球.                   12'第12分钟，维尔吉尼禁区边缘内解围自摆乌龙
15'桑德兰球员约迪-戈麦斯大禁区右侧左脚射门,被防守球员封堵.给他传球的是S-拉尔森.                   12'第12分钟，维尔吉尼禁区边缘内解围自摆乌龙
15'桑德兰球员弗莱彻大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是约迪-戈麦斯.                   12'第12分钟，维尔吉尼禁区边缘内解围自摆乌龙
18'进球啦！！！南安普敦球员佩莱球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是S-戴维斯. 南安普敦 2-0 桑德兰.                   18'第18分钟，史蒂文-戴维斯禁区左侧传中，无人防守的佩莱近距离打入空门
19'南安普敦球员施奈德林拼抢犯规,对手获得控球权.                   18'第18分钟，史蒂文-戴维斯禁区左侧传中，无人防守的佩莱近距离打入空门
19'约迪-戈麦斯为桑德兰在对方半场,赢得一个任意球.                   18'第18分钟，史蒂文-戴维斯禁区左侧传中，无人防守的佩莱近距离打入空门
20'射门!!!桑德兰球员S-拉尔森大禁区外右脚射门,被对方守门员横身扑出.                   18'第18分钟，史蒂文-戴维斯禁区左侧传中，无人防守的佩莱近距离打入空门
63'射门!!!南安普敦球员佩莱大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是伯特兰德.                   63'第63分钟，伯特兰德禁区左侧传球，佩莱13码处劲射被曼诺内勉强扑挡，回防的布里德库特却将皮球带入自家大门
63'桑德兰球员Liam Bridcutt自摆乌龙,南安普敦 4-0 桑德兰                   63'第63分钟，伯特兰德禁区左侧传球，佩莱13码处劲射被曼诺内勉强扑挡，回防的布里德库特却将皮球带入自家大门
65'南安普敦球员施奈德林拼抢犯规,对手获得控球权.                   63'第63分钟，伯特兰德禁区左侧传球，佩莱13码处劲射被曼诺内勉强扑挡，回防的布里德库特却将皮球带入自家大门
65'卡特莫尔为桑德兰在右路,赢得一个任意球.                   63'第63分钟，伯特兰德禁区左侧传球，佩莱13码处劲射被曼诺内勉强扑挡，回防的布里德库特却将皮球带入自家大门
65'南安普敦换人,万亚马换下朗                   63'第63分钟，伯特兰德禁区左侧传球，佩莱13码处劲射被曼诺内勉强扑挡，回防的布里德库特却将皮球带入自家大门
65'南安普敦换人,马尼换下S-戴维斯                   63'第63分钟，伯特兰德禁区左侧传球，佩莱13码处劲射被曼诺内勉强扑挡，回防的布里德库特却将皮球带入自家大门
78'进球啦！！！南安普敦球员塔蒂奇大禁区外左脚射门,球从左下角飞进球门,球进了! 南安普敦 6-0 桑德兰.                   78'第78分钟，曼诺内解围失误，夏天以1090万镑转入的荷兰中场塔迪克30码处远射空门得手，这是他个人首粒英超入球
79'进球啦！！！南安普敦球员万亚马大禁区中央右脚射门,球从中路偏上飞进球门,球进了!助攻的是塔蒂奇. 南安普敦 7-0 桑德兰.                   78'第78分钟，曼诺内解围失误，夏天以1090万镑转入的荷兰中场塔迪克30码处远射空门得手，这是他个人首粒英超入球
80'南安普敦换人,马尤卡换下佩莱                   78'第78分钟，曼诺内解围失误，夏天以1090万镑转入的荷兰中场塔迪克30码处远射空门得手，这是他个人首粒英超入球
81'阿尔德韦雷尔德将球处理出底线,桑德兰获得角球.                   78'第78分钟，曼诺内解围失误，夏天以1090万镑转入的荷兰中场塔迪克30码处远射空门得手，这是他个人首粒英超入球
81'福斯特将球处理出底线,桑德兰获得角球.                   78'第78分钟，曼诺内解围失误，夏天以1090万镑转入的荷兰中场塔迪克30码处远射空门得手，这是他个人首粒英超入球
80'南安普敦换人,马尤卡换下佩莱                   80'第80分钟，塔迪克禁区左侧回传，22岁塞内加尔前锋马内10码处推射左下角打入英超首球
81'阿尔德韦雷尔德将球处理出底线,桑德兰获得角球.                   80'第80分钟，塔迪克禁区左侧回传，22岁塞内加尔前锋马内10码处推射左下角打入英超首球
81'福斯特将球处理出底线,桑德兰获得角球.                   80'第80分钟，塔迪克禁区左侧回传，22岁塞内加尔前锋马内10码处推射左下角打入英超首球
82'马尼为南安普敦在左路,赢得一个任意球.                   80'第80分钟，塔迪克禁区左侧回传，22岁塞内加尔前锋马内10码处推射左下角打入英超首球
82'桑德兰球员Liam Bridcutt拼抢犯规,对手获得控球权.                   80'第80分钟，塔迪克禁区左侧回传，22岁塞内加尔前锋马内10码处推射左下角打入英超首球
82'黄牌！桑德兰球员Liam Bridcutt因为恶意犯规,被主裁判出示黄牌.                   80'第80分钟，塔迪克禁区左侧回传，22岁塞内加尔前锋马内10码处推射左下角打入英超首球
