5'迪马利亚右侧内切！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
6'左脚突然爆射！！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
6'球高出横梁啊！！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
6'来自天使的突袭！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
7'蒂亚戈-席尔瓦长传前场左侧！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
7'内马尔得球回传拉比奥特！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
7'分左侧内马尔！回传默尼耶！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
7'给中圈马尔基尼奥斯！分右侧达巴！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
7'达巴转身突破球被断了！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
7'甘冈左侧反击！图拉姆一路向西推进！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
8'转移右侧！诺兰-鲁远射偏出左侧底线！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
15'拼抢到了弧顶！布拉斯左脚推射！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
15'打左下角！布冯飞身扑出！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
15'伊科科右侧反击！45度传中！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
16'拉比奥特头球解围！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
16'迪马利亚中圈得球反击！挑传左侧内马尔！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
16'凌空带你给左侧维阿！直塞底线迪马利亚！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
16'迪马利亚脚后跟打门！被挡了出去！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
