4'看到特维斯和略伦特的搭档我们就知道今天尤文势必要用一场胜利来庆祝冠军了。                   4'开场4分钟，特维斯突入禁区射门被西尔维斯特里得到
4'特维斯！禁区内获得一个起脚机会，但是没有打上力量。                   4'开场4分钟，特维斯突入禁区射门被西尔维斯特里得到
6'现在比赛节奏进行的也不快，博格巴拿球并不急着向前。                   4'开场4分钟，特维斯突入禁区射门被西尔维斯特里得到
7'现场的信号稍微有些问题，断断续续的，大家不要着急。                   4'开场4分钟，特维斯突入禁区射门被西尔维斯特里得到
7'德塞纳前场对博格巴的逼抢，险些失误。                   4'开场4分钟，特维斯突入禁区射门被西尔维斯特里得到
6'现在比赛节奏进行的也不快，博格巴拿球并不急着向前。                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
7'现场的信号稍微有些问题，断断续续的，大家不要着急。                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
7'德塞纳前场对博格巴的逼抢，险些失误。                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
8'输送到前场以后，尤文获得一个不错的任意球机会。                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
8'皮尔洛在球前，看看有没有机会。                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
8'球进了！！！                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
8'皮尔洛！！！一个完美的任意球啊！！！                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
9'这个球打在被门将扑了一下打在门框下沿弹在自己身上进了。                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
9'这已经是皮尔洛本赛季第7个任意球进球了，庆典开始了。                   6'第6分钟，博格巴右路低传，皮尔洛在门前14米处抽射掠过横梁
15'尤文这是要屠杀的节奏啊~让我们来看看这个进球的过程。                   15'][第15分钟，皮尔洛右侧开出角球，博努奇前点头球蹭到中路，孔蒂停球失误，略伦特在门前5米处停球推进门内，2比0，他将西班牙球员单赛季意甲进球纪录改写为16球
16'皮尔洛角球开出来，佩里科顶了一下却到了略伦特脚下，略伦特冷静推射球门死角，2比0！                   15'][第15分钟，皮尔洛右侧开出角球，博努奇前点头球蹭到中路，孔蒂停球失误，略伦特在门前5米处停球推进门内，2比0，他将西班牙球员单赛季意甲进球纪录改写为16球
16'意大利都灵手机用户 :雯雯给上个墙呗！德哥加油！------您在都灵看直播话费够么~                   15'][第15分钟，皮尔洛右侧开出角球，博努奇前点头球蹭到中路，孔蒂停球失误，略伦特在门前5米处停球推进门内，2比0，他将西班牙球员单赛季意甲进球纪录改写为16球
