10'达尼洛右路的过顶长传找阿森西奥                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
10'边裁举旗，阿森西奥的越位在先！                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
10'拉莫斯后场拿球，横传给到佩佩                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
10'佩佩面对恩里克的逼抢，回传纳瓦斯                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
11'巴斯克斯中场拿球，分球右路给达尼洛                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
11'达尼洛的过顶长传找本泽马                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
11'本泽马拿球强突拉米斯                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
11'最后球出底线，裁判给了埃瓦尔球门球                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
12'埃瓦尔中场抢断，加西亚拿球反击                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
12'过来中线，被回防的卡塞米罗绊倒在地                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
12'埃瓦尔获得中线附近的任意球机会                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
12'任意球斜传到禁区，恩里克的头球                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
12'纳瓦斯后退中将球稳稳拿到！！                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
13'卡帕右路拿球，强突纳乔                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
13'一扣摆脱，内切横传中路找加西亚                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
13'力量轻了点，回防的卡塞米罗将球断掉                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
51'达尼洛再给纳瓦斯，纳瓦斯大脚解围踢向前场                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
51'多斯桑托斯前场右路拿球，斜传给到莱昂                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
51'莱昂再给多斯桑托斯，面对J罗逼抢，回传约埃尔                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
52'巴斯克斯前场拿球，一脚直塞打身后到禁区                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
52'约埃尔出击，抢在本泽马之前，将球拿到                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
53'纳乔后场抢断，直塞给到阿森西奥                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
53'阿森西奥内切横传，被埃斯卡兰特抢断                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
53'埃斯卡兰特停球转身，卡塞米罗上抢卡位                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
53'卡塞米罗摔倒在地，裁判没理会                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
