4'利物浦有人受伤啦？                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
4'禁区外又是杰拉德的倒地远射，球还是打偏了                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
4'场边罗杰斯马上要进行换人                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
5'卢卡斯无法坚持比赛，被33号谢尔维换下                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
5'卢卡斯看起来是拉伤了自己的大腿肌肉                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
5'科拉罗夫边路强行突破逼得了一个角球                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
6'应该是个边线球，曼城继续在中场控球                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
6'谢尔维一上场就断下了巴神的回传球                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
6'杰拉德中场传接球失误了！                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
7'曼城继续在右路策动进攻，纳斯里往禁区内走，被后卫把球解围出了边线                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
9'利物浦被逼无奈后场大脚往前开，不过是把控球权又交给曼城而已                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
9'孔帕尼的长传球准确找到巴洛特利，后卫纠缠中倒地。裁判给了曼城一个定位球                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
9'位置距离球门还是有些远的                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
9'科拉罗夫直接打门，反弹球！雷纳判断得很正确稳稳抱住                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
10'纳斯里的传中球被斯科特尔解围出边线                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
10'利物浦感觉有些顶不住啊，曼城两个边路的进攻都很犀利                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
10'一开场就被曼城反客为主                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
11'科拉罗夫禁区内手球了么？                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
11'裁判没有理会，来看下慢镜头                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
11'看起来博里尼的传球貌似打在了科拉罗夫的手上                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
12'利物浦在周中才打了欧联杯                   9'第9分钟，斯科特尔对巴洛特利犯规，科拉罗夫任意球劲射被雷纳没收
46'博里尼在两名后卫的夹抢下勉强传中，毫无威胁                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
46'上半场还要补时1分钟                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
46'斯特林的突破可就有威胁多了，不过他的传中，队友并没有接应到位                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
47'曼城又制造了一个定位球                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
47'禁区右上角位置，科拉罗夫可以直接打门了                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
47'定位球直接打门，被人墙挡出                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
48'纳斯里跟进，人群中起脚射门，被堵了枪眼                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
46'下半场曼城队开球                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
46'上半场曼城的控球率虽然高过了利物浦                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
46'不过进攻效率方面却是比较低下的                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
47'上半场曼城4次打门1次打正，利物浦这边7次打门也只有1次打正                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
47'曼城边路的定位球机会，科拉罗夫直接把球传出了底线                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
48'陶朱_野望:说到沙欣，他上赛季去皇马都做了什么事呢---受伤，然后就没有然后了                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
48'巴洛特利的传球被回追的阿伦抢断                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
48'斯特林带球走边路，裁判却吹了犯规                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
48'而且是斯特林的犯规，利物浦的球员有些不满                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
49'德容中场断球，曼城的过渡传球有些多了                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
49'科洛图雷无奈之下自己带球上前，传球却出了边线                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
49'曼奇尼在和助教商量着什么，意大利的固执是出了名的                   46'1分钟后，纳斯里直传，特维斯禁区右侧闪过雷纳后零角度传射滑过球门击中远角立柱弹回
