7'泰特左侧内切突破禁区！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
7'被包夹了！球被断了！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
7'内马尔分前场左侧迪马利亚！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
7'回传金彭贝！转移右侧默尼耶！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
7'给边路姆巴佩！挑传禁区右侧！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
8'卡瓦尼下底传中被解围了！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
9'迪马利亚左侧突破传中！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
9'被头球解围出去！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
10'迪马利亚得球再次转身传中！还是被破坏出去！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
47'恩索基左侧横传禁区中路！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
47'拼抢后迪马利亚弧顶的远射！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
47'球打偏了！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
48'内马尔中路得球！强行突破急停！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
48'回传金彭贝！斜传左侧恩索基！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
49'拉比奥特中场拼抢犯规了！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
49'圣玛利亚反击分右侧多雷！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
49'球被破坏了！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
50'阿德莱德中路得球蛮牛突破！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
50'球被解围出去！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
50'多雷得球回传给菲尔吉尼！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
50'横传球失误了！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
50'姆巴佩中圈得球直塞禁区！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
50'球送给了比托洛！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
50'卡佩勒左侧突破传中！                   47'2分钟后，巴黎险些扩大比分，内马尔左路传中，卡瓦尼禁区内头球攻门打在右侧立柱上
24'低平球横传卡瓦尼！挑传禁区中路！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
24'球被解围出边线！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
24'内马尔示意有手球！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
24'裁判听取VAR的意见！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
24'裁判没给点球！给的界外球！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
26'卡瓦尼左侧推进！传中到禁区！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
26'球被门将比托洛没收了！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
26'泰特左侧内切！超远距离来一脚！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
