11'塞尔塔这边传球被姆希塔良挡出边线                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
11'塞尔塔右路起球送禁区                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
12'瓦斯门前插上后顶远角                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
12'这球没有顶在门框里面                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
12'还是比较有威胁的                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
12'已经出现了空挡                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
13'达米安中场从身后上抢犯规                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
35'博格巴前场拿球送直塞给到禁区                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
35'姆希塔良！！！                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
35'姆希塔良禁区内接球推射远角被阿尔瓦雷斯用腿挡出！！                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
35'单刀球的机会啊                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
36'姆希塔良最后一下的处理有些着急                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
36'塞尔塔这边角球机会                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
36'角球打了一个战术                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
36'左路传球在吊禁区里                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
37'博格巴头球顶出来                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
37'姆希塔良中场拿球被侵犯                   35'曼联第35分钟险些破门，博格巴直传，姆希塔良禁区左肋12码处单刀射门被塞尔吉奥-阿尔瓦雷斯扑出
