3'查尔斯前场左路头球摆渡，找隆干友彦                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
3'拉莫斯回防成功控球                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
3'拉莫斯给到莫德里奇，莫德里奇带球到前场                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
3'横传中间找到塞巴略斯                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
4'皇马中场失误，埃瓦尔的反击！                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
4'隆干友彦中路拿球，斜塞右前方找插上的卡帕                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
4'边裁举旗，卡帕越位在先！！                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
4'瓦拉内后场拿球，莫雷诺前场逼抢                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
5'瓦拉内转身将球回传给到卡西利亚                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
5'莫德里奇前场中路拿球，分球右侧给阿森西奥                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
5'阿森西奥拿球内切，大范围斜传转移到左前场                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
6'伊斯科拿球，斜塞找到插上的特奥                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
6'特奥的下底传中，被防守球员挡出                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
6'埃瓦尔的反击，隆干友彦禁区右侧拿球                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
6'内切打门，被挡了出来！！                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
