1'上半场比赛开始                   1'双方第1分钟打出快节奏且争夺激烈
1'蓝衣蓝裤的切尔西开球，从左向右进行                   1'双方第1分钟打出快节奏且争夺激烈
1'阿兹皮利奎塔左路的直塞球，被热刺球员挡出了边线                   1'双方第1分钟打出快节奏且争夺激烈
2'切尔西中场传球失误，本特莱布抢断                   1'双方第1分钟打出快节奏且争夺激烈
2'威廉中场抢断，回传给到马蒂奇                   1'双方第1分钟打出快节奏且争夺激烈
3'马蒂奇的直塞交给奥斯卡，奥斯卡直塞想给迭戈-科斯塔                   1'双方第1分钟打出快节奏且争夺激烈
3'可惜力量太大，科斯塔没能拿到，球出底线                   1'双方第1分钟打出快节奏且争夺激烈
3'热刺的前场进攻，斜传球找凯恩，被切尔西球员解围出底线                   1'双方第1分钟打出快节奏且争夺激烈
3'热刺获得右侧角球机会                   1'双方第1分钟打出快节奏且争夺激烈
4'角球开出到前点，被阿兹皮利奎塔头球解围                   1'双方第1分钟打出快节奏且争夺激烈
4'埃里克森左路拿球，面对伊万脚下一扣，结果扣出了边线                   1'双方第1分钟打出快节奏且争夺激烈
16'从这个配合来看，双方的默契很不足啊                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
17'热刺前场进攻，斜传球到禁区，凯恩倒勾，被伊万门线上大脚解围                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
18'登贝莱前场拿球，分给右侧靠边的唐森德                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
18'唐森德拿球面对阿斯皮利奎塔的退防，强突下底横传，被挡出底线                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
18'热刺再次获得右侧角球机会                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
18'开出距离球门太近，被库尔图瓦没收                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
19'切尔西进球啦！！！！                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
19'[此时此刻值得来杯嘉士伯]                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
19'科斯塔门前推射得手！！！                   16'第16分钟，汤森德传中，查德利小禁区右上角外小角度倒钩射门被库尔图瓦扑出
24'切尔西前场进攻，科斯塔拿球，进入禁区，横传中间                   24'切尔西第24分钟险些扩大比分，迭戈-科斯塔传球，奥斯卡禁区边缘内的射门偏出
25'奥斯卡跟进包抄铲射，在防守球员的干扰下，打偏了                   24'切尔西第24分钟险些扩大比分，迭戈-科斯塔传球，奥斯卡禁区边缘内的射门偏出
26'唐森德右边路拿球，45度斜传球到门前，库尔图瓦出击直接拿到                   24'切尔西第24分钟险些扩大比分，迭戈-科斯塔传球，奥斯卡禁区边缘内的射门偏出
26'奥斯卡禁区弧顶拿球，直塞想给阿扎尔，被热刺球员一碰，到了罗斯脚下                   24'切尔西第24分钟险些扩大比分，迭戈-科斯塔传球，奥斯卡禁区边缘内的射门偏出
27'罗斯后场拿球，面对阿扎尔的逼抢，大脚解围球到前场                   24'切尔西第24分钟险些扩大比分，迭戈-科斯塔传球，奥斯卡禁区边缘内的射门偏出
44'热刺进球啦！！！                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
44'[此时此刻值得来杯嘉士伯]                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
45'丹尼-罗斯补射破门！！！                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
45'热刺中场抢断，直塞打身后，查德利得球强突，禁区内的起脚打门，击中左侧立柱弹回，罗斯跟进补射，打进！！！                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
46'回防放铲的卡希尔和拦截的特里都是望球心叹，无能为力啊                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
47'这个进球，罗斯起脚射门时被放铲的卡希尔放倒，还有点受伤                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
47'科斯塔前场争顶头球时被吹犯规                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
47'上半场比赛补时2分钟                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
46'下半场比赛开始                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
46'白衣黑裤的热刺开球，从左向右进攻                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
47'下半场一开始，切尔西做出人员调整                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
47'7号拉米雷斯上，换下了8号奥斯卡                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
47'威廉前场中路拿球，斜塞左侧给到前插的科斯塔                   44'热刺第44分钟反超比分，埃里克森直传，查德利禁区右侧单刀推射击中左侧立柱弹回，丹尼-罗斯10码处补射入网，2-1
52'切尔西前场进攻，拉米雷斯的强突，被后卫破坏                   52'但热刺第52分钟继续破门，查德利传球，哈里-凯恩转身拉球突破马蒂奇后禁区左侧16码处射门，特里封堵未果，皮球窜入远角，4-1
52'球到了阿扎尔脚下，阿扎尔禁区线上起脚打门，踢飞                   52'但热刺第52分钟继续破门，查德利传球，哈里-凯恩转身拉球突破马蒂奇后禁区左侧16码处射门，特里封堵未果，皮球窜入远角，4-1
52'进球啦！！！4-1！！！                   52'但热刺第52分钟继续破门，查德利传球，哈里-凯恩转身拉球突破马蒂奇后禁区左侧16码处射门，特里封堵未果，皮球窜入远角，4-1
52'[此时此刻值得来杯嘉士伯]                   52'但热刺第52分钟继续破门，查德利传球，哈里-凯恩转身拉球突破马蒂奇后禁区左侧16码处射门，特里封堵未果，皮球窜入远角，4-1
53'凯恩禁区左侧劲射远角，打进！！！                   52'但热刺第52分钟继续破门，查德利传球，哈里-凯恩转身拉球突破马蒂奇后禁区左侧16码处射门，特里封堵未果，皮球窜入远角，4-1
54'热刺左路进攻，查德利拿球强突，横传给到凯恩，凯恩停球顺势转身，横趟一步，右脚抽射，打进远角！！！                   52'但热刺第52分钟继续破门，查德利传球，哈里-凯恩转身拉球突破马蒂奇后禁区左侧16码处射门，特里封堵未果，皮球窜入远角，4-1
54'凯恩一个人将切尔西的防线搅得天翻地覆啊                   52'但热刺第52分钟继续破门，查德利传球，哈里-凯恩转身拉球突破马蒂奇后禁区左侧16码处射门，特里封堵未果，皮球窜入远角，4-1
59'小法主罚，任意球斜传，直接打在人墙上弹出                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
59'马蒂奇禁区外围得球，再传左侧给小法                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
60'小法和阿扎尔的配合，阿扎尔回敲小法，小法小禁区左侧右脚弧线球，打飞                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
60'查德利右路拿球，强突，自己趟球太大                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
60'球被阿兹皮利奎塔挡回                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
60'切尔西进球！！！                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
61'[此时此刻值得来杯嘉士伯]                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
61'阿扎尔破门！！！                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
62'法奇奥中场玩火被断，切尔西反击，小法和阿扎尔禁区线上2过2配合，阿扎尔中间接到小法横传，一停一扣，右脚外脚背撩射，打进                   59'第59分钟，阿扎尔传球，法布雷加斯禁区左侧18码处射高
75'阿兹皮利奎塔左侧切入的劲射，被洛里斯奋力扑出了底线，精彩的扑救啊                   75'第75分钟，阿扎尔脚后跟传球，阿斯皮利奎塔16码处推射被洛里斯扑出
