5'巴勒莫球员莫加内拉拼抢犯规,对手获得控球权.                   2'开场2分钟，皮尔洛左侧开出角球，博努奇前点险些顶到
5'皮尔洛为尤文图斯在右路,赢得一个任意球.                   2'开场2分钟，皮尔洛左侧开出角球，博努奇前点险些顶到
11'射门!!!巴勒莫球员库尔蒂奇大禁区外右脚射门,被对方守门员横身扑出.                   9'第9分钟，马特里前点接应右路低传，背身倚人似乎受到拉扯倒地，但他还是尽力右脚扫射滚向球门，但由于球速太猛，门将乌伊卡尼回追将球截下
12'武齐尼奇为尤文图斯赢得一个任意球.                   9'第9分钟，马特里前点接应右路低传，背身倚人似乎受到拉扯倒地，但他还是尽力右脚扫射滚向球门，但由于球速太猛，门将乌伊卡尼回追将球截下
12'巴勒莫球员冯贝尔根拼抢犯规,对手获得控球权.                   9'第9分钟，马特里前点接应右路低传，背身倚人似乎受到拉扯倒地，但他还是尽力右脚扫射滚向球门，但由于球速太猛，门将乌伊卡尼回追将球截下
11'射门!!!巴勒莫球员库尔蒂奇大禁区外右脚射门,被对方守门员横身扑出.                   11'第11分钟，尤文后防解围不远，库尔蒂奇在门前28米处大力抽射被布冯击出
12'武齐尼奇为尤文图斯赢得一个任意球.                   11'第11分钟，尤文后防解围不远，库尔蒂奇在门前28米处大力抽射被布冯击出
12'巴勒莫球员冯贝尔根拼抢犯规,对手获得控球权.                   11'第11分钟，尤文后防解围不远，库尔蒂奇在门前28米处大力抽射被布冯击出
14'巴勒莫球员伊利西奇大禁区中央左脚射门,被防守球员封堵.给他传球的是米科利.                   11'第11分钟，尤文后防解围不远，库尔蒂奇在门前28米处大力抽射被布冯击出
25'冯贝尔根将球处理出底线,尤文图斯获得角球.                   25'第25分钟，伊利契奇与利希施泰纳相撞，鼻梁受伤出血，接受处理后回到场内，脖子受到撞击的利希施泰纳也重新投入比赛
25'尤文图斯利西斯泰纳受伤倒地,比赛暂停                   25'第25分钟，伊利契奇与利希施泰纳相撞，鼻梁受伤出血，接受处理后回到场内，脖子受到撞击的利希施泰纳也重新投入比赛
25'巴勒莫伊利西奇受伤倒地,比赛暂停                   25'第25分钟，伊利契奇与利希施泰纳相撞，鼻梁受伤出血，接受处理后回到场内，脖子受到撞击的利希施泰纳也重新投入比赛
25'暂停结束,球员们重新开始比赛.                   25'第25分钟，伊利契奇与利希施泰纳相撞，鼻梁受伤出血，接受处理后回到场内，脖子受到撞击的利希施泰纳也重新投入比赛
27'尤文图斯球员基耶利尼一脚直塞球给马特里,但是边裁举旗显示后者已经越位.                   25'第25分钟，伊利契奇与利希施泰纳相撞，鼻梁受伤出血，接受处理后回到场内，脖子受到撞击的利希施泰纳也重新投入比赛
