2'颜骏凌大脚开出来                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
2'球到了登巴巴脚下，给到中场莫雷诺面对武磊和孔卡的夹击带球突破，武磊犯规1                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
2'申花前场定位球                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
3'这球距离球门还是比较远的，33米，直接射门有点远                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
4'瓜林直接打门了，打到吕征脚下，直接起脚射门，被颜骏凌破坏出来                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
4'孔卡拿球，在围抢中将球踢出界外                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
4'秦升发边线球，给到禁区内的登巴巴，被防守球员解围出来                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
5'不过球权还是在申花脚下                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
5'瓜林回撤拿球，分边路                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
5'再给中场柏佳骏，传中，直接给到了颜骏凌脚下                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
9'孔卡开出来，前点，蔡慧康包抄，被申花球员解围                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
9'反击来了，登巴巴带球推进，没机会，稳下来，交给中场组织                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
