5'[qiangda]利物浦的SAS组合是指的谁啊？                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
5'利物浦快发任意球，斯特林右路挑传苏亚雷斯，苏亚雷斯准备凌空打门，但卡布尔及时跳起用头将球破坏出禁区                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
6'大家觉得sas组合今天会进球吗？？                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
6'卡布尔脚底打滑，大脚开球时险些将球传给了利物浦球员                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
7'斯特林后场直接斜长传找到苏亚雷斯，又是卡布尔，将皮球漏了过去，但苏亚雷斯也没有做好准备                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
7'今天索尔达多突前单前锋                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
8'格伦约翰逊右路传中，第一点被丹尼罗斯控制住                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
8'[qiangda]你还知道除了SAS之外的叱咤风云的强力攻击组合吗？                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
8'热刺将球大脚转移到右路的列侬脚下                   5'第5分钟，弗拉纳甘传球，苏亚雷斯25码处弧线球射门偏出
25'道森回传卡布尔时，结果哦直接将球传给了苏亚雷斯，苏亚雷斯顶住卡布尔，禁区内左脚打球门远角，门将没有任何办法                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
26'苏亚雷斯已经成为单赛季队史进球最多球员                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
26'目前苏亚雷斯一共打进了几个联赛进球？？                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
26'列侬传中被约翰逊伸脚挡出                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
27'埃里克森禁区内晃开阿格尔，起脚打门时被斯科特尔倒地挡出                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
28'苏亚雷斯左路突破起脚传中时，被道森挡出                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
28'杰拉德在抱怨没有传球给弧顶的他，苏亚雷斯对此表示歉意                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
28'今晚又是大比分难道？？                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
28'利物浦开出战术角球                   25'利物浦第25分钟扩大比分，刚刚替补出场的道森失误，苏亚雷斯拦截抢断后突入禁区左侧12码处射入远角，2-0
33'斯图里奇快速反击，在禁区线外被卡布尔放倒，利物浦获得禁区线上的一个定位球                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
33'卡布尔也获得一张黄牌                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
34'斯图里奇直接打门，皮球高出了横梁一点点                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
34'足球1995chen :[琪琪]球又进了！！！5：0！！！斯图里奇右路传中，苏亚雷斯小禁区前延头球摆渡，皮球打在对方球员身上，弹入左下角！！-----吓死了                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
34'纸-磊磊-戒 :现在的苏神应该比去年这时候的大圣要厉害---大家觉得呢？？                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
35'苏亚雷斯前场逼抢时犯规                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
35'[qiangda]你心目中最好听的球场是哪座？                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
35'道森后场大脚将球开到前场                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
36'皮球几进几出，最终被热刺控制                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
36'约翰逊稳稳将球护出了底线，利物浦球权                   33'第33分钟，卡布尔禁区边缘外对斯图里奇犯规被罚黄牌，斯图里奇右路任意球直接射门稍稍高出
41'埃里克森禁区左侧看门将站位靠前，直接选择调门，米尼奥莱幸好退的够快                   41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
42'斯特林右路抢断，挑传给苏亚雷斯，苏亚雷斯头球顶到了横梁上！！                   41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
42'苏亚雷斯状态真心不错                    41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
43'就是没有见热刺的前锋在哪里                   41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
43'[qiangda]你知道利物浦的队歌是什么吗？1 Blue is the Colour 2 You'll never walk alone 3 Vamos Campeones 4 Forever Number 1                   41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
43'弗拉纳根中场洗刷热刺球员时将球丢了                   41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
44'no  do  no  die                   41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
44'苏亚雷斯左路内切时，诺顿手球了                   41'利物浦第41分钟险些扩大比分，斯特林抢断卡布尔后切入禁区右侧传中，无人防守的苏亚雷斯远点8码处头球攻门，皮球被洛里斯扑挡后打中横梁下沿弹回，本塔莱布门线前解围
54'斯特林和库蒂尼奥做撞球配合，斯特林接球突入禁区，面对门将冷静将球分给亨德森，亨德森起脚打空门，结果高出了横梁                   54'第54分钟，斯特林同斯图里奇踢墙配合后禁区右侧传球，亨德森14码处推射高出
55'利物浦快速反击                   54'第54分钟，斯特林同斯图里奇踢墙配合后禁区右侧传球，亨德森14码处推射高出
56'进球啦！！库蒂尼奥中场一路带球，禁区弧顶右侧突施冷箭，地滚球直奔球门死角！！                   54'第54分钟，斯特林同斯图里奇踢墙配合后禁区右侧传球，亨德森14码处推射高出
56'又是一场大比分？？？                   54'第54分钟，斯特林同斯图里奇踢墙配合后禁区右侧传球，亨德森14码处推射高出
57'大家快猜这是谁                   54'第54分钟，斯特林同斯图里奇踢墙配合后禁区右侧传球，亨德森14码处推射高出
63'杰拉德还是稳稳控制整个球队                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
63'热刺中场断球反击，西古德松直塞给索尔达多时，斯科特尔倒地将球铲出                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
64'登贝来传球给莎德利，莎德利禁区内起脚打门，皮球偏出了球门好多                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
64'利物浦换人  库蒂尼奥被乔阿伦换下了                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
64'[qiangda]热刺是否还有机会夺取欧冠席位？                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
65'杰拉德尝试后场直接直塞给苏亚雷斯，皮球被汤森断掉                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
66'热刺阵线往上提了好多，看样还是想要拼一下啊                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
66'斯特林大脚转移给亨德森、                   63'第63分钟，登贝莱传球，查德利禁区边缘内射门偏出
68'恭喜以下用户获得直播室会员资格:  手机用户2278007421                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
68'恭喜这位同学                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
69'斯特林直塞斯图里奇，斯图里奇背身拿球，没有办法转身的情况下，后脚跟打门，被洛里斯用脚挡出                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
69'斯图里奇真是妖啊                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
69'[qiangda]你还知道除了SAS之外的叱咤风云的强力攻击组合吗？                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
70'用户3868949343 对光辉盖伦是好兄妹说:去大阪樱花了，34岁了--你们在说谁呢                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
70'卢卡斯换下杰拉德                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
70'杰拉德已经获得了9张黄牌了啊                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
71'丹尼罗斯左路传中被阿格尔顶出禁区                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
71'大家可以预测本场比赛的比分，比赛结束后琪琪将随机从答对的同学中随机抽取3名会员送出哦，大家积极起来哦~~                   68'第68分钟，斯特林传球，丹尼-罗斯拦截失误，斯图里奇12码处脚后跟射门被洛里斯挡出
76'亨德森罚出任意球，禁区内倒了一片，但皮球却弹地滚进了球门！！！最后是谁的没有碰到皮球，这个进球算到了亨德森的身上！！                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
76'不会真5个吧？？？                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
77'[qiangda]利物浦的球场叫什么? A斯坦普斯 B安菲尔德 C卡尔德隆 D圣地亚哥                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
77'热刺要抓紧时间了啊                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
77'热刺获得右侧角球                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
78'道森来了一脚垫射，皮球高出了横梁！！！！                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
78'[qiangda]你心目中最好听的球场是哪座？                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
78'苏亚雷斯前插丢球反抢时被吹了犯规                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
79'比分会定格在4比0吗？？？                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
79'亨德森大脚转移给苏亚雷斯                   76'第76分钟，亨德森左路任意球传射穿过人丛弹入远角，4-0
83'登贝来拼抢时被吹了推人犯规                   83'第83分钟，摩西换下斯特林
83'摩西换下了斯特林                   83'第83分钟，摩西换下斯特林
84'摩西传球给斯图里奇时，边裁举旗示意越位了                   83'第83分钟，摩西换下斯特林
85'[qiangda]利物浦一共夺取过几次欧冠奖杯？A3 B4 C5 D6                   83'第83分钟，摩西换下斯特林
85'热刺逼得一次角球                   83'第83分钟，摩西换下斯特林
85'角球开到后点，道森真到第一点，但第二点被斯科特尔大脚开出边线                   83'第83分钟，摩西换下斯特林
86'大家可以预测本场比赛的比分，比赛结束后琪琪将随机从答对的同学中随机抽取3名会员送出哦，大家积极起来哦~~                   83'第83分钟，摩西换下斯特林
86'埃里克森左脚远射，结果打高了                   83'第83分钟，摩西换下斯特林
86'林超博只想做给你看 :琪琪，明天有比赛直播吗？--木有啊                   83'第83分钟，摩西换下斯特林
