2'萨尔茨堡红牛球员沃克一脚直塞球给黄熙灿,但是边裁举旗显示后者已经越位.                   1'赛前为阿斯托里默哀1分钟
2'萨尔茨堡红牛球员Munas Dabbur一脚直塞球给比利沙,但是边裁举旗显示后者已经越位.                   1'赛前为阿斯托里默哀1分钟
40'射门!!!萨尔茨堡红牛球员黄熙灿大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是施拉格尔.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
40'萨尔茨堡红牛球员Munas Dabbur大禁区中央头球,被防守球员封堵.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
40'施梅尔策将球处理出底线,萨尔茨堡红牛获得角球.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
41'萨尔茨堡红牛Munas Dabbur受伤倒地,比赛暂停                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
41'暂停结束,球员们重新开始比赛.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
42'萨尔茨堡红牛球员莱纳大禁区左侧右脚射门,被防守球员封堵.给他传球的是厄尔默.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
42'格策将球处理出底线,萨尔茨堡红牛获得角球.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
43'萨尔茨堡红牛球员卡莱塔拼抢犯规,对手获得控球权.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
43'格策为多特蒙德在对方半场,赢得一个任意球.                   40'多特第40分钟逃过一劫，施拉格直传空当，黄喜灿在门前8米处单刀左脚推射被比尔基身体挡出
48'点球,黄熙灿在禁区内被侵犯,萨尔茨堡红牛获得点球.                   48'下半时开始3分钟，黄喜灿右侧底线强突禁区，被托普拉克拉倒，点球
48'多特蒙德球员托普拉克犯规,致使对方获得点球.                   48'下半时开始3分钟，黄喜灿右侧底线强突禁区，被托普拉克拉倒，点球
48'黄牌！多特蒙德球员托普拉克因为恶意犯规,被主裁判出示黄牌.                   48'下半时开始3分钟，黄喜灿右侧底线强突禁区，被托普拉克拉倒，点球
49'进球啦！！！萨尔茨堡红牛球员比利沙右脚射门,球从右下角飞进球门,球进了! 多特蒙德 0-1 萨尔茨堡红牛.                   48'下半时开始3分钟，黄喜灿右侧底线强突禁区，被托普拉克拉倒，点球
51'多特蒙德球员Michy Batshuayi大禁区中央右脚射门,被防守球员封堵.给他传球的是卡斯特罗.                   48'下半时开始3分钟，黄喜灿右侧底线强突禁区，被托普拉克拉倒，点球
56'进球啦！！！萨尔茨堡红牛球员比利沙大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是莱纳. 多特蒙德 0-2 萨尔茨堡红牛.                   56'大黄蜂第56分钟又丢一球
59'萨尔茨堡红牛球员莱纳拼抢犯规,对手获得控球权.                   56'大黄蜂第56分钟又丢一球
59'施梅尔策为多特蒙德在左路,赢得一个任意球.                   56'大黄蜂第56分钟又丢一球
59'黄牌！萨尔茨堡红牛球员莱纳因为恶意犯规,被主裁判出示黄牌.                   56'大黄蜂第56分钟又丢一球
61'多特蒙德换人,菲利普换下Michy Batshuayi                   61'第61分钟，罗伊斯右肋传球，普利希奇传中，许尔勒停球垫进门内，1比2
61'多特蒙德换人,普利西奇换下格策                   61'第61分钟，罗伊斯右肋传球，普利希奇传中，许尔勒停球垫进门内，1比2
62'进球啦！！！多特蒙德球员许尔勒球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是普利西奇. 多特蒙德 1-2 萨尔茨堡红牛.                   61'第61分钟，罗伊斯右肋传球，普利希奇传中，许尔勒停球垫进门内，1比2
