1'上半场比赛开始！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
1'首先由身穿白衣白裤的主队皇马开球，从画面的左侧向右进攻！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
1'卡塞米罗后场停球，被吹手球违例啦！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
1'送给罗马一个前场任意球机会！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
2'任意球斜传禁区，第一点被皇马球员头球解围！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
2'达尼洛右路拿球，面对逼抢，回传佩佩                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
2'佩佩后场大脚长传到前场，弗洛伦齐头球解围                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
3'罗马的反击，凯塔拿球，直塞佩罗蒂                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
3'佩罗蒂分球左路给沙拉维                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
3'沙拉维带球过中线，左路45度斜传球到禁区                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
3'纳瓦斯出击，单拳将球打出！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
4'佩佩回防中受伤倒地，简单休息后起身继续比赛！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
4'凯塔后场拿球，带至中圈，横传迪涅                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
4'迪涅直塞球找前场的佩罗蒂                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
14'莫德里奇直塞C罗，C罗再回敲莫德里奇                   14'罗马第14分钟错过良机
14'莫德里奇大范围转移球到左侧找贝尔，被断啦                   14'罗马第14分钟错过良机
14'罗马的反击，差一点啊！！                   14'罗马第14分钟错过良机
14'哲科的打门！！                   14'罗马第14分钟错过良机
15'萨拉赫右路拿球，内切后横传左侧给哲科                   14'罗马第14分钟错过良机
15'哲科停球一趟到禁区， 面对出击的纳瓦斯，左脚推射，打偏！！                   14'罗马第14分钟错过良机
16'佩佩后场过顶长传到前场左侧找贝尔                   14'罗马第14分钟错过良机
16'弗洛伦齐后退中头球一顶，直接出了底线                   14'罗马第14分钟错过良机
17'马塞洛左路起球到禁区，马诺拉斯抢在C罗之前，将球解围出底线                   14'罗马第14分钟错过良机
17'皇马获得左侧角球机会，并未形成威胁！！                   14'罗马第14分钟错过良机
28'罗马后场的马诺拉斯将球控制，回传斯泽斯尼                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
28'达尼洛右路抢断，强突被绊倒在地                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
28'裁判并未理会，认为没犯规啊，全场嘘声四起                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
