1'上半场比赛开始！！                   1'巴萨第1分钟积极施压，塞尔塔则小心谨慎展开稳守反击
1'首先开球的是巴萨                   1'巴萨第1分钟积极施压，塞尔塔则小心谨慎展开稳守反击
1'特尔施特根后场长传                   1'巴萨第1分钟积极施压，塞尔塔则小心谨慎展开稳守反击
1'梅西中场接球往前走                   1'巴萨第1分钟积极施压，塞尔塔则小心谨慎展开稳守反击
1'在防守球员的干扰下丢球了                   1'巴萨第1分钟积极施压，塞尔塔则小心谨慎展开稳守反击
4'巴萨左路拿球被破坏                   1'巴萨第1分钟积极施压，塞尔塔则小心谨慎展开稳守反击
19'皮克中场拿球大范围转移                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
19'维戈塞尔塔将球拦截下来                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
19'巴萨中场送直塞给到禁区前沿                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'苏亚雷斯带球到了禁区里                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'面对出击的门将推射近角！！                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'球击中了立柱弹出！！                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'梅西这边跟进再补                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'还是近角                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'球再次击中立柱后反弹到门将身上出了底线！！                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
