5'科斯切尔尼斜传球，桑切斯控球直塞被拦截了                   5'第5分钟，埃雷拉赢得右路禁区前任意球机会，马塔直接射门稍稍偏出远角
6'马夏尔回球给卡里克，再转移到博格巴的脚下，斜传找右侧的马塔                   5'第5分钟，埃雷拉赢得右路禁区前任意球机会，马塔直接射门稍稍偏出远角
6'对方逼抢下回敲球给瓦伦西亚，面对蒙雷亚尔的防守，转移到左侧                   5'第5分钟，埃雷拉赢得右路禁区前任意球机会，马塔直接射门稍稍偏出远角
6'博格巴带球内切之后的传球被破坏出来                   5'第5分钟，埃雷拉赢得右路禁区前任意球机会，马塔直接射门稍稍偏出远角
7'达米安防守犯规                   5'第5分钟，埃雷拉赢得右路禁区前任意球机会，马塔直接射门稍稍偏出远角
8'科斯切尔尼直传球被对方断了                   5'第5分钟，埃雷拉赢得右路禁区前任意球机会，马塔直接射门稍稍偏出远角
35'场边的穆帅提出抗议，无效！                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
36'马夏尔低平球的斜传，禁区前沿马塔拿球，突入禁区打门，被托出了底线                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
36'曼联队获得角球机会，开到禁区内，头球攻门被顶出来                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
36'瓦伦西亚挑传球被詹金森破坏出边线                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
36'曼联队前场掷界外球                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
37'这段时间曼联队士气上来了                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
37'达米安控球，走右路推球被破坏出来                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
37'界外球掷到场内，转移到左侧，博格巴传中球被蒙雷亚尔给破坏出来                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
38'这段时间阿森纳队打得比较被动                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
38'桑切斯边路起球传中，被破坏出来                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
38'埃尔纳尼外围控球，转移到左侧                   35'第35分钟，马夏尔传球，瓦伦西亚突入禁区右侧在蒙雷亚尔防守下摔倒，裁判马里纳拒绝判罚点球，穆里尼奥在场边愤怒抗议
48'阿森纳队控球进攻！穆斯塔菲控球，大脚开过中线                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
48'禁区前沿马夏尔一脚低射，没有打上力量，被切赫给没收了                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
