1'拜仁慕尼黑球员道格拉斯-科斯塔拼抢犯规,对手获得控球权.                   1'第1分钟，两队直接进入高节奏对抗，尽力压缩对方空间
1'皮什切克为多特蒙德赢得一个任意球.                   1'第1分钟，两队直接进入高节奏对抗，尽力压缩对方空间
3'皮什切克将球处理出底线,拜仁慕尼黑获得角球.                   1'第1分钟，两队直接进入高节奏对抗，尽力压缩对方空间
3'多特蒙德球员罗伊斯大禁区中央右脚射门,被防守球员封堵.给他传球的是姆希塔良.                   1'第1分钟，两队直接进入高节奏对抗，尽力压缩对方空间
4'拜仁慕尼黑球员阿隆索拼抢犯规,对手获得控球权.                   1'第1分钟，两队直接进入高节奏对抗，尽力压缩对方空间
4'京多安为多特蒙德赢得一个任意球.                   1'第1分钟，两队直接进入高节奏对抗，尽力压缩对方空间
7'拜仁慕尼黑球员比达尔拼抢犯规,对手获得控球权.                   6'下半时开始6分钟，京多安传球，奥巴梅扬突入禁区推射被诺伊尔出击铲出
7'京多安为多特蒙德在对方半场,赢得一个任意球.                   6'下半时开始6分钟，京多安传球，奥巴梅扬突入禁区推射被诺伊尔出击铲出
8'阿拉巴为拜仁慕尼黑赢得一个任意球.                   6'下半时开始6分钟，京多安传球，奥巴梅扬突入禁区推射被诺伊尔出击铲出
8'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   6'下半时开始6分钟，京多安传球，奥巴梅扬突入禁区推射被诺伊尔出击铲出
9'阿隆索为拜仁慕尼黑在对方半场,赢得一个任意球.                   6'下半时开始6分钟，京多安传球，奥巴梅扬突入禁区推射被诺伊尔出击铲出
9'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   6'下半时开始6分钟，京多安传球，奥巴梅扬突入禁区推射被诺伊尔出击铲出
64'杜尔姆将球处理出底线,拜仁慕尼黑获得角球.                   64'拜仁第64分钟险些破门，左侧角球开出后，穆勒与后卫争顶，比达尔在门前9米处凌空抽射，球被比尔基一托击中横梁弹回
64'射门!!!拜仁慕尼黑球员比达尔大禁区中央右脚射门,被对方守门员横身扑出.                   64'拜仁第64分钟险些破门，左侧角球开出后，穆勒与后卫争顶，比达尔在门前9米处凌空抽射，球被比尔基一托击中横梁弹回
66'魏格尔为多特蒙德在对方半场,赢得一个任意球.                   64'拜仁第64分钟险些破门，左侧角球开出后，穆勒与后卫争顶，比达尔在门前9米处凌空抽射，球被比尔基一托击中横梁弹回
66'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   64'拜仁第64分钟险些破门，左侧角球开出后，穆勒与后卫争顶，比达尔在门前9米处凌空抽射，球被比尔基一托击中横梁弹回
66'多特蒙德球员奥巴梅扬大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是罗伊斯.                   64'拜仁第64分钟险些破门，左侧角球开出后，穆勒与后卫争顶，比达尔在门前9米处凌空抽射，球被比尔基一托击中横梁弹回
