6'裁判没有吹犯规                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
6'罗霍拿球送直塞                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
6'这球力量送大了                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
7'鲁尼左路得球，横向摆脱后打门                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
7'这球力量是有，就是稍稍偏了一点点                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
7'比赛打了6分多钟，曼联的开局还是不错的                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
7'曼联后场拿球转移到右路                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
8'斯马林拿球将球横向转移                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
8'胡尔城也是站好了位置                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
8'看看曼联怎么来攻                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
8'马塔中场拿球突破被拉倒                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
9'鲁尼前场得球                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
9'带球的时候自己趟大了一步                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
9'曼联左路起球送禁区里                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
9'队友头球顶了一下被门将拿到                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
16'有力的传球送中路，后卫将球顶出了底线                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
16'曼联角球送中路                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
16'曼联进球了！！                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
17'斯马林！！                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
17'[此时此刻值得来杯嘉士伯]                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
18'曼联角球送中路，后卫头球顶了一下到左路，斯马林跟上攻门被门将扑了一下，球还在斯马林脚下，斯马林再打，门将在门线里将球扑了出来！                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
18'这球麦克格雷戈并没有将球打远                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
18'还是直接又打回到斯马林脚下                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
19'曼联中场控球给到右路                   16'曼联第16分钟取得领先，斯马林角球混战中摆渡门前，麦克格雷戈扑救脱手后勉强击出，斯马林小禁区左侧凌空射门，麦克格雷戈在门线附近将皮球扑挡后打出，但鹰眼系统提示裁判皮球越过门线
33'看看曼联这次任意球机会                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
33'马塔站在了球前                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
33'马塔任意球直接转禁区里                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
33'球在前点被顶了出来                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
33'曼联右路再送进来                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
34'前点的抢射被后卫碰了一下出了底线                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
34'曼联角球送后点                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
34'胡尔城拿到第一点顶了出来                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
35'费莱尼前场护球，后退的时候踩到了对方                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
35'胡尔城这边也要准备调整了                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
36'胡尔城换人，本阿尔法下，阿鲁克上！                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
36'曼联中场长传没有过顶                   33'第33分钟，马塔右路传中，斯马林前点10码处射门被道森挡出近角
42'鲁尼！！                   42'曼联第42分钟扩大比分，埃雷拉头球摆渡，库提斯-戴维斯拦截落空，范佩西回敲，鲁尼禁区弧顶外劲射左下角入网
42'2-0！！                   42'曼联第42分钟扩大比分，埃雷拉头球摆渡，库提斯-戴维斯拦截落空，范佩西回敲，鲁尼禁区弧顶外劲射左下角入网
43'[此时此刻值得来杯嘉士伯]                   42'曼联第42分钟扩大比分，埃雷拉头球摆渡，库提斯-戴维斯拦截落空，范佩西回敲，鲁尼禁区弧顶外劲射左下角入网
45'马塔长传送右路，埃雷拉摆渡下来，范佩西禁区弧顶拿球后回敲，鲁尼迎球直接打门将球打进！                   42'曼联第42分钟扩大比分，埃雷拉头球摆渡，库提斯-戴维斯拦截落空，范佩西回敲，鲁尼禁区弧顶外劲射左下角入网
45'胡尔城这边中场传球失误                   42'曼联第42分钟扩大比分，埃雷拉头球摆渡，库提斯-戴维斯拦截落空，范佩西回敲，鲁尼禁区弧顶外劲射左下角入网
57'费莱尼中场拿球往前走被拉拽                   57'第57分钟，卡里克长传，范佩西12码处冲顶被麦克格雷戈神勇扑出，但边裁举旗示意荷兰人越位在先
57'斯马林中场的传球失误险些给后防带来麻烦                   57'第57分钟，卡里克长传，范佩西12码处冲顶被麦克格雷戈神勇扑出，但边裁举旗示意荷兰人越位在先
58'卡里克中场长传送禁区内，范佩西插上后头球攻门被麦克格雷戈托出                   57'第57分钟，卡里克长传，范佩西12码处冲顶被麦克格雷戈神勇扑出，但边裁举旗示意荷兰人越位在先
58'这球险些重演世界杯经典一幕                   57'第57分钟，卡里克长传，范佩西12码处冲顶被麦克格雷戈神勇扑出，但边裁举旗示意荷兰人越位在先
58'但边线也是先举旗了，范佩西先越位了                   57'第57分钟，卡里克长传，范佩西12码处冲顶被麦克格雷戈神勇扑出，但边裁举旗示意荷兰人越位在先
