8'内格雷多为瓦伦西亚在右路,赢得一个任意球.                   8'对阵旧主的马蒂厄第8分钟对内格雷多犯规被罚黄牌
8'巴塞罗那球员马蒂厄拼抢犯规,对手获得控球权.                   8'对阵旧主的马蒂厄第8分钟对内格雷多犯规被罚黄牌
8'黄牌！巴塞罗那球员马蒂厄因为恶意犯规,被主裁判出示黄牌.                   8'对阵旧主的马蒂厄第8分钟对内格雷多犯规被罚黄牌
11'射门!!!瓦伦西亚球员罗德里戈大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是内格雷多.                   8'对阵旧主的马蒂厄第8分钟对内格雷多犯规被罚黄牌
14'射门!!!巴塞罗那球员苏亚雷斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是内马尔.                   14'巴萨第14分钟险些破门，皮克长传，内马尔回停，跟进的苏亚雷斯10码处射门被迭戈-阿尔维斯扑出
14'迭戈-阿尔维斯将球处理出底线,巴塞罗那获得角球.                   14'巴萨第14分钟险些破门，皮克长传，内马尔回停，跟进的苏亚雷斯10码处射门被迭戈-阿尔维斯扑出
15'射门!!!瓦伦西亚球员内格雷多左脚射门,被对方守门员横身扑出.                   14'巴萨第14分钟险些破门，皮克长传，内马尔回停，跟进的苏亚雷斯10码处射门被迭戈-阿尔维斯扑出
19'瓦伦西亚球员帕雷霍大禁区外尝试右脚射门,可惜皮球高出球门.                   19'第19分钟，内马尔突入禁区左肋，奥塔门迪及时铲断后上前质问巴西人假摔，内马尔顶撞对方，奥塔门迪夸张倒地令两队发生冲突，皮克和巴拉甘先后被罚黄牌
19'奥塔门迪将球处理出底线,巴塞罗那获得角球.                   19'第19分钟，内马尔突入禁区左肋，奥塔门迪及时铲断后上前质问巴西人假摔，内马尔顶撞对方，奥塔门迪夸张倒地令两队发生冲突，皮克和巴拉甘先后被罚黄牌
20'巴塞罗那球员皮克被主裁判出示了一张黄牌.                   19'第19分钟，内马尔突入禁区左肋，奥塔门迪及时铲断后上前质问巴西人假摔，内马尔顶撞对方，奥塔门迪夸张倒地令两队发生冲突，皮克和巴拉甘先后被罚黄牌
20'瓦伦西亚球员巴拉甘被主裁判出示了一张黄牌.                   19'第19分钟，内马尔突入禁区左肋，奥塔门迪及时铲断后上前质问巴西人假摔，内马尔顶撞对方，奥塔门迪夸张倒地令两队发生冲突，皮克和巴拉甘先后被罚黄牌
