1'理查德森将球处理出底线,利物浦获得角球.                   1'利物浦开场不到1分钟赢得角球，阿格尔在森德罗斯盯防下的抽射高出
1'利物浦球员阿格尔大禁区中央尝试左脚射门,可惜皮球高出球门.                   1'利物浦开场不到1分钟赢得角球，阿格尔在森德罗斯盯防下的抽射高出
3'兹维罗蒂奇为富勒姆赢得一个任意球.                   1'利物浦开场不到1分钟赢得角球，阿格尔在森德罗斯盯防下的抽射高出
3'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   1'利物浦开场不到1分钟赢得角球，阿格尔在森德罗斯盯防下的抽射高出
11'利物浦球员亨德森大禁区外左脚射门,被防守球员封堵.给他传球的是格伦-约翰逊.                   11'第11分钟，亨德森禁区前射门被封堵，西索科头球摆渡，库蒂尼奥的射门被斯特克伦博格救下
11'射门!!!利物浦球员库蒂尼奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是西索科.                   11'第11分钟，亨德森禁区前射门被封堵，西索科头球摆渡，库蒂尼奥的射门被斯特克伦博格救下
12'斯科特尔将球处理出底线,富勒姆获得角球.                   11'第11分钟，亨德森禁区前射门被封堵，西索科头球摆渡，库蒂尼奥的射门被斯特克伦博格救下
14'理查德森为富勒姆赢得一个任意球.                   11'第11分钟，亨德森禁区前射门被封堵，西索科头球摆渡，库蒂尼奥的射门被斯特克伦博格救下
14'利物浦球员斯图里奇拼抢犯规,对手获得控球权.                   11'第11分钟，亨德森禁区前射门被封堵，西索科头球摆渡，库蒂尼奥的射门被斯特克伦博格救下
20'富勒姆球员西德维尔手球犯规,对手获得球权.                   20'第20分钟，亨德森传球，库蒂尼奥外围再射仍然偏出
20'利物浦球员库蒂尼奥大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是亨德森.                   20'第20分钟，亨德森传球，库蒂尼奥外围再射仍然偏出
22'射门!!!富勒姆球员贝尔巴托夫大禁区外右脚射门,被对方守门员横身扑出.给他传球的是卡萨米.                   20'第20分钟，亨德森传球，库蒂尼奥外围再射仍然偏出
22'富勒姆球员帕克拼抢犯规,对手获得控球权.                   20'第20分钟，亨德森传球，库蒂尼奥外围再射仍然偏出
22'斯图里奇为利物浦在对方半场,赢得一个任意球.                   20'第20分钟，亨德森传球，库蒂尼奥外围再射仍然偏出
23'利物浦球员苏亚雷斯大禁区中央头球,被防守球员封堵.给他传球的是杰拉德.                   20'第20分钟，亨德森传球，库蒂尼奥外围再射仍然偏出
23'富勒姆球员阿莫雷比埃塔自摆乌龙,利物浦 1-0 富勒姆                   20'第20分钟，亨德森传球，库蒂尼奥外围再射仍然偏出
23'利物浦球员苏亚雷斯大禁区中央头球,被防守球员封堵.给他传球的是杰拉德.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
23'富勒姆球员阿莫雷比埃塔自摆乌龙,利物浦 1-0 富勒姆                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
25'富勒姆球员帕克拼抢犯规,对手获得控球权.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
25'杰拉德为利物浦在对方半场,赢得一个任意球.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
25'黄牌！富勒姆球员帕克因为恶意犯规,被主裁判出示黄牌.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
25'利物浦球员苏亚雷斯大禁区右侧右脚射门,被防守球员封堵.给他传球的是格伦-约翰逊.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
25'利物浦球员格伦-约翰逊大禁区外左脚射门,被防守球员封堵.给他传球的是亨德森.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
25'利物浦球员亨德森大禁区右侧右脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
26'卡坎克利奇将球处理出底线,利物浦获得角球.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
26'进球啦！！！利物浦球员斯科特尔大禁区中央头球,球从右上角飞进球门,球进了!助攻的是杰拉德. 利物浦 2-0 富勒姆.                   23'利物浦第23分钟取得领先，杰拉德右路任意球传中，阿莫雷比埃塔小禁区边缘头球解围不慎自摆乌龙
26'卡坎克利奇将球处理出底线,利物浦获得角球.                   26'利物浦第26分钟扩大比分，杰拉德开出角球，斯科特尔小禁区边缘冲顶破门，2-0
26'进球啦！！！利物浦球员斯科特尔大禁区中央头球,球从右上角飞进球门,球进了!助攻的是杰拉德. 利物浦 2-0 富勒姆.                   26'利物浦第26分钟扩大比分，杰拉德开出角球，斯科特尔小禁区边缘冲顶破门，2-0
28'卡坎克利奇为富勒姆赢得一个任意球.                   26'利物浦第26分钟扩大比分，杰拉德开出角球，斯科特尔小禁区边缘冲顶破门，2-0
28'利物浦球员杰拉德拼抢犯规,对手获得控球权.                   26'利物浦第26分钟扩大比分，杰拉德开出角球，斯科特尔小禁区边缘冲顶破门，2-0
