8'赫塔奥将球处理出底线,那不勒斯获得角球.                   7'开场7分钟，23岁的前桑托斯门将拉斐尔停球失误，险些将球漏进门内
9'阿尔比奥尔将球处理出底线,乌迪内斯获得角球.                   7'开场7分钟，23岁的前桑托斯门将拉斐尔停球失误，险些将球漏进门内
9'泽马伊利将球处理出底线,乌迪内斯获得角球.                   7'开场7分钟，23岁的前桑托斯门将拉斐尔停球失误，险些将球漏进门内
47'乌迪内斯球员赫塔奥一脚直塞球给B-费尔南德斯,但是边裁举旗显示后者已经越位.                   47'2分钟后，伊瓜因禁区右侧突破底线回敲，潘德夫在门前8米处左脚打远角梅开二度，2比0
48'加-希尔瓦为乌迪内斯在左路,赢得一个任意球.                   47'2分钟后，伊瓜因禁区右侧突破底线回敲，潘德夫在门前8米处左脚打远角梅开二度，2比0
48'那不勒斯球员费尔南德斯拼抢犯规,对手获得控球权.                   47'2分钟后，伊瓜因禁区右侧突破底线回敲，潘德夫在门前8米处左脚打远角梅开二度，2比0
48'黄牌！那不勒斯球员费尔南德斯因为恶意犯规,被主裁判出示黄牌.                   47'2分钟后，伊瓜因禁区右侧突破底线回敲，潘德夫在门前8米处左脚打远角梅开二度，2比0
49'阿兰为乌迪内斯在右路,赢得一个任意球.                   47'2分钟后，伊瓜因禁区右侧突破底线回敲，潘德夫在门前8米处左脚打远角梅开二度，2比0
49'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   47'2分钟后，伊瓜因禁区右侧突破底线回敲，潘德夫在门前8米处左脚打远角梅开二度，2比0
70'进球啦！！！乌迪内斯球员B-费尔南德斯大禁区外右脚射门,球从中路偏上飞进球门,球进了! 那不勒斯 2-2 乌迪内斯.                   70'第70分钟，雷韦埃后场传球被断，布鲁诺-费尔南德斯在门前25米处抽射吊进门内，2比2
71'射门!!!那不勒斯球员伊瓜因大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是潘德夫.                   70'第70分钟，雷韦埃后场传球被断，布鲁诺-费尔南德斯在门前25米处抽射吊进门内，2比2
71'进球啦！！！那不勒斯球员泽马伊利大禁区中央左脚射门,球从中路飞进球门,球进了! 那不勒斯 3-2 乌迪内斯.                   70'第70分钟，雷韦埃后场传球被断，布鲁诺-费尔南德斯在门前25米处抽射吊进门内，2比2
72'射门!!!乌迪内斯球员麦克苏埃尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是拉扎里.                   70'第70分钟，雷韦埃后场传球被断，布鲁诺-费尔南德斯在门前25米处抽射吊进门内，2比2
73'乌迪内斯球员麦克苏埃尔一脚直塞球给佩雷拉,但是边裁举旗显示后者已经越位.                   70'第70分钟，雷韦埃后场传球被断，布鲁诺-费尔南德斯在门前25米处抽射吊进门内，2比2
80'乌迪内斯球员麦克苏埃尔大禁区外右脚射门,被防守球员封堵.给他传球的是拉扎里.                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
80'阿尔比奥尔将球处理出底线,乌迪内斯获得角球.                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
80'乌迪内斯换人,辛宁斯基换下尼克-洛佩斯                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
80'乌迪内斯球员巴斯塔大禁区中央右脚射门,被防守球员封堵.给他传球的是麦克苏埃尔.                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
80'乌迪内斯球员拉扎里球门线跟前右脚射门,被防守球员封堵.                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
80'进球啦！！！乌迪内斯球员巴斯塔大禁区中央右脚射门,球从左下角飞进球门,球进了! 那不勒斯 3-3 乌迪内斯.                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
81'那不勒斯换人,阿尔梅罗换下雷维耶                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
82'加-希尔瓦为乌迪内斯赢得一个任意球.                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
82'那不勒斯球员卡列洪拼抢犯规,对手获得控球权.                   80'第80分钟，那不勒斯防守角球失误，巴斯塔在门前6米处推射入网，3比3
