7'皮球被纳瓦斯抱住没收！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
7'纳瓦斯开球给前场中路的莫德里奇！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
7'莫德里奇分给右侧巴斯克斯！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
7'巴斯克斯分球右侧卡瓦哈尔！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
7'卡瓦哈尔斜线球挑传到禁区内！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
7'鲁利把球抱住没收！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
7'鲁利给到右侧的奥德里奥索拉！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
8'奥德里奥索拉大脚开球！被马塞洛前场抢断！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
8'马塞洛带球到禁区前沿！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
8'低平球给小禁区左侧！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
8'本泽马得球打门！皮球击中门柱弹出来！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
8'鲁利把球挡出底线！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
8'皇马的左侧角球！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'开出战术角球给边路克罗斯！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'克罗斯给到了右侧卡瓦哈尔！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'卡瓦哈尔弧线球传中到禁区后点！！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'皇家社会球员头球顶出底线！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'皇马的左侧角球！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'开战术角球给前场左路的马塞洛！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'马塞洛回给中圈弧附近的卡瓦哈尔！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'卡瓦哈尔给到了前场右路的巴斯克斯！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
9'巴斯克斯弧线球传中到禁区前点！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
10'劳尔纳瓦斯头球顶到第一下！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
10'还在禁区内左侧！C罗一脚扫射！打飞出了底线！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
28'鲁利大脚开球给左侧奥亚萨瓦尔！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
28'奥亚萨瓦尔再往前场给挑传球！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
28'哨响！吹了胡安米越位                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'皇马中圈定位球！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'开球给到前场右路的巴斯克斯！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'巴斯克斯弧线球传中到禁区后点！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'C罗分左侧插上的马塞洛！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'马塞洛再给禁区内中路C罗！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'C罗右脚抽射打门！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'GOOOOOOOOOOOOAL！！！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
29'皇家马德里2-0皇家社会！                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
30'皇家社会队员抢球犯规！’                   27'皇马第27分钟扩大比分，马塞洛左路传中，无人防守的C罗10码处推射入网，2-0
34'角球开到禁区内后点！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
34' 埃鲁斯通多头球解围！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
36'阿森西奥前场左路把球断了！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
36'分球禁区右侧卡瓦哈尔！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
36'卡瓦哈尔再给禁区前沿右侧的克罗斯！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
36'克罗斯禁区外一脚远射打门！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
36'GOOOOOOOOOOOOOOOAL！！！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
36'皇家马德里3-0皇家社会！                   34'皇马第34分钟锁定胜局，卢卡斯传球，克罗斯禁区弧内第一时间射入右上角，3-0
52'开球给到前场中路的伊利亚拉门迪！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
52'伊利亚拉门迪给到前场右侧的卡纳莱斯！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
52'卡纳莱斯右边路弧线球传中！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
53'禁区后点卡瓦哈尔头球解围出底线！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
54'皇家社会的左侧角球！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
54'角球开到禁区后点！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
54'胡安米插上头球攻门！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
54'皮球打到了立柱弹出底线！球门球！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
54'纳瓦斯大脚开球给到前场右路！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
54'卡瓦哈尔把球给身后瓦拉内！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
55'瓦拉内低平球斜传给到右路的阿森西奥！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
55'阿森西奥直塞禁区右侧给卡瓦哈尔！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
55'卡瓦哈尔弧线球传中到禁区后点！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
55'C罗跟上一脚打门！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
55'鲁利把球抱住没收！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
55'大脚开球到前场！                   52'第52分钟，卡纳莱斯开出角球，胡安米10码处顶出反弹球击中左侧立柱外侧弹出
74'皇马换人，贝尔换下阿森西奥！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
74'皇家社会的进攻！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
74'普列托把球回给埃鲁斯通多！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
