1'上半场比赛开始！！                   1'曼城第1分钟控制比赛
1'西汉姆从画面的右侧向左进攻！！                   1'曼城第1分钟控制比赛
1'我们先来看看双方的首发大名单！！                   1'曼城第1分钟控制比赛
1'曼城(4-1-4-1)：13-卡巴列罗；5-萨巴莱塔，24-斯通斯，30-奥塔门迪，22-克里希；25-费尔南迪尼奥；7-斯特林，17-德布劳内，21-席尔瓦，9-诺利托；10-阿圭罗                   1'曼城第1分钟控制比赛
2'西汉姆(3-5-2)：13-阿德里安；2-里德，19-科林斯，21-奥邦纳；30-安东尼奥，17-托雷，16-诺布尔，8-库亚特，26-马苏亚库；24-弗莱彻，11-瓦伦西亚                   1'曼城第1分钟控制比赛
2'曼城前场的进攻，赢得左侧角球机会！！                   1'曼城第1分钟控制比赛
2'席尔瓦角球开出到前点，第一点被西汉姆联球员解围                   1'曼城第1分钟控制比赛
3'曼城中场抢断，反击中，再次赢得左侧角球！！                   1'曼城第1分钟控制比赛
3'席尔瓦主罚，开出到禁区，第一点被解围                   1'曼城第1分钟控制比赛
3'德布劳内外围拿球，搓传禁区，奥塔门迪头球顶偏                   1'曼城第1分钟控制比赛
7'曼城前场再攻，诺里托拿球，横切被后卫破坏                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
7'球到了斯特林脚下，斯特林迎球怒射，被后卫挡出底线                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
7'曼城获得右侧角球，没能形成威胁！！                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
7'1-0！！！                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
7'斯特林的进球！！                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
8'席尔瓦右路拿球，横切后强突禁区，送出直塞给诺里托，诺里托下底倒三角回传中路，斯特林跟进，点球点附近无人防守，推射破门！！                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
9'曼城前场再攻，席尔瓦左路拿球，强突下底                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
10'内切后传中到门前，第一点被后卫出脚解围                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
10'西汉姆前场进攻，托雷的直塞找瓦伦西亚                   7'曼城第7分钟取得领先，席尔瓦中路突破直传，诺利托禁区左侧传中，无人防守的斯特林10码处推射破门
18'德布劳内停球没停好，停大，被后卫出脚破坏！                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
18'2-0！！！                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
18'费尔南迪奥！！                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
19'德布劳内前场右侧45度的任意球斜传门前，费尔南迪奥中路插上，无人防守下的头球冲顶，顶进网窝！！                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
20'库亚特左路拿球，强突遭遇夹击，失误啦！！                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
21'诺里托前场左路拿球，强突遭遇逼抢，分球给中路上来的队友                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
21'斯特林右路拿球，强行内切，被马苏亚库从身后拉倒在地                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
21'马苏亚库有黄牌在身，主裁判将其喊过来，口头警告一翻                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
21'曼城获得前场右路的任意球机会！！                   18'曼城第18分钟扩大比分，德布劳内任意球传入禁区，无人防守的费尔南迪尼奥10码处冲顶入网，2-0
48'席尔瓦中圈位置过顶长传打身后，裁判鸣哨啦                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
48'诺里托进球，可惜越位无效！！                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
49'德布劳内任意球斜传禁区，阿圭罗前点头球后蹭，诺里托跟进用身体将球撞进球门，可惜越位无效！                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
49'西汉姆前场的进攻，右路斜传球到禁区                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
50'卡巴列罗出击将球拦截，面对瓦伦西亚的上抢，一扣摆脱                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
50'弗莱彻再抢，卡巴列罗倒地将球解围                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
