1'上半场比赛开始！                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
1'申鑫率先中圈开球                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
1'中场叶重秋的犯规                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
1'张贤秀回传门将                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
2'姜至鹏直接斜传前场，达维传中被挡出                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
2'朴钟佑来主罚这个角球                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
2'角球到门前，刘殿座双拳把球击出                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
3'哈默德右路突破没有过去                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
3'姜嘉俊长传前场，乌塔卡没有争到顶                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
4'侯俊杰防守犯规了                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
4'朴钟佑任意球开中路，林裕焕头球解围                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
13'孙凯左路拿球，横敲                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
13'乔尼长传前场，出了边线                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
13'查尔顿左路抢断，姜宁反抢犯规了                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
14'乔尼长传前场，乌塔卡反越位                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
14'乌塔卡第一下没有拿到，第二下调整进禁区，射门被扑出！                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
14'杨家威补射没有机会，回敲出来                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
15'达维禁区前过人，横敲被破坏                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
16'乌塔卡回撤中场拿球                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
16'于涛直传身后，被拦截                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
16'乔尼顶防到到中场，拉人犯规                   13'接着第13分钟申鑫乔尼中场长传，乌塔卡在禁区内顺利接球不越位，但他的第一下没停好，接着乌塔卡用身体倚住姜至鹏，但他的射门被张世昌奋力扑出
18'孙凯左路45度角传中被顶出来                   18'第18分钟富力终于拿到一次机会，常飞亚右路过掉孙凯后直塞，刘殿座抢在达维之前，将球飞铲出界
18'禁区外叶重秋抢二点，王晓龙犯规了                   18'第18分钟富力终于拿到一次机会，常飞亚右路过掉孙凯后直塞，刘殿座抢在达维之前，将球飞铲出界
19'任意球打在人墙上弹入禁区，张世昌出击把球打出边线                   18'第18分钟富力终于拿到一次机会，常飞亚右路过掉孙凯后直塞，刘殿座抢在达维之前，将球飞铲出界
20'富力反击，常飞亚变向突破送直塞，刘殿座出击解围                   18'第18分钟富力终于拿到一次机会，常飞亚右路过掉孙凯后直塞，刘殿座抢在达维之前，将球飞铲出界
20'角球开中路被解围，继续角球                   18'第18分钟富力终于拿到一次机会，常飞亚右路过掉孙凯后直塞，刘殿座抢在达维之前，将球飞铲出界
21'角球开后点，第一点还是申鑫顶出去                   18'第18分钟富力终于拿到一次机会，常飞亚右路过掉孙凯后直塞，刘殿座抢在达维之前，将球飞铲出界
21'查尔顿右路反击，传中被顶出，角球                   18'第18分钟富力终于拿到一次机会，常飞亚右路过掉孙凯后直塞，刘殿座抢在达维之前，将球飞铲出界
29'常飞亚右路拿球晃动，乔尼铲球解围                   29'第29分钟哈默德左路内切连过三人后怒射，刘殿座飞身把球拍出底线
29'哈默德禁区前拿球横带，连续趟过几人扑抢，低射被刘殿座扑出！                   29'第29分钟哈默德左路内切连过三人后怒射，刘殿座飞身把球拍出底线
30'客户端用户：上海人都不支持申鑫吗？（当然也有申鑫球迷啊）                   29'第29分钟哈默德左路内切连过三人后怒射，刘殿座飞身把球拍出底线
31'哈默德接应队友做球，停大了                   29'第29分钟哈默德左路内切连过三人后怒射，刘殿座飞身把球拍出底线
31'查尔顿左路传中，后点姜至鹏解围                   29'第29分钟哈默德左路内切连过三人后怒射，刘殿座飞身把球拍出底线
32'哈默德禁区前拿球，远射打偏！                   29'第29分钟哈默德左路内切连过三人后怒射，刘殿座飞身把球拍出底线
32'哈默德禁区前拿球，远射打偏！                   32'第32分钟，孙凯正面飞铲常飞亚吃到黄牌
33'孙凯上抢飞铲绊倒了常飞亚                   32'第32分钟，孙凯正面飞铲常飞亚吃到黄牌
33'裁判黄牌警告了孙凯！                   32'第32分钟，孙凯正面飞铲常飞亚吃到黄牌
34'于涛后场拿球摆脱，斜传前场                   32'第32分钟，孙凯正面飞铲常飞亚吃到黄牌
34'申鑫进球了！！！                   32'第32分钟，孙凯正面飞铲常飞亚吃到黄牌
39'王晓龙左路传中，没有过第一点                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
39'查尔顿逼抢王晓龙犯规                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
39'任意球高度不够，前点就被解围出去                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
40'风歌：现场下雨么？大不大?（目前来看，没有下雨）                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
40'富力右侧的角球机会                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
40'朴钟佑角球区后点，达维头球被刘殿座拿到                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
41'王晓龙左路传中，后点被于涛拦截                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
41'查尔顿左路反击转移，乌塔卡拿球没有进去                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
42'于涛中场拼抢放倒了常飞亚                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
42'唐淼趟球进禁区，侯俊杰解围                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
42'王晓龙右路拿球内切，低射被门将扑住！                   39'丢球后的富力继续压迫态势，第39分钟达维接角球头球太轻
45'朴钟佑中场逼抢于涛犯规                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
45'园圈2010：乌塔卡换个地方都神了（树挪死，人挪活）                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
45'查尔顿右路下底，倒三角传回被拦截                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
46'上半场补时2分钟！                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
46'唐淼拿球横带，被叶重秋绊倒                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
46'任意球吊后点，哈默德头球摆渡被刘殿座拿到                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
47'哈默德左路横敲禁区，姜嘉俊解围，角球                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
47'角球开门前被刘殿座击出禁区                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
48'上半场比赛结束！                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
46'下半场比赛开始！                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
46'富力中圈开球                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
46'姜嘉俊后场抢断，之间吊门，偏了                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
46'哈默德左路拿球，回敲                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
47'姜至鹏内切，过掉刘俊楠，横敲                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
47'过顶球进禁区，被刘殿座打出来                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
47'乌塔卡前场断球，左路横带被张贤秀拦截                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
47'常飞亚右路带球，出了边线                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
48'用户5228521748：看乌塔卡就不爽，不过机会把我能力还可以，！！！（你是外貌党。。。？）                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
48'阿隆拿球突破，叶重秋跟防                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
48'阿隆禁区内下底，被包夹，球被破坏                   45'第45分钟哈默德在人堆里腾空跃起头球被刘殿座稳稳接住
50'查尔顿左路接应斜传转移球，没有争到点                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
50'刘俊楠和林裕焕右路配合，失误了                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
50'阿隆背身拿球，回敲                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
