1'上半场比赛开始                   1'切尔西第1分钟控制比赛
1'上半场由切尔西中圈开球                   1'切尔西第1分钟控制比赛
1'巴卡约科回传失误，迪尼交给理查利森                   1'切尔西第1分钟控制比赛
1'理查利森带球被阿斯皮利奎塔解围                   1'切尔西第1分钟控制比赛
1'法布雷加斯分边右路的阿扎尔                   1'切尔西第1分钟控制比赛
1'阿斯皮利奎塔跟进得球地滚球斜传前点                   1'切尔西第1分钟控制比赛
2'莫拉塔越位了                   1'切尔西第1分钟控制比赛
2'戈麦斯长传上来，路易斯顶一下                   1'切尔西第1分钟控制比赛
2'理查利森交给了杜库雷，分右路的佩雷拉                   1'切尔西第1分钟控制比赛
2'佩雷拉回传给马里亚帕                   1'切尔西第1分钟控制比赛
2'克莱维利过渡给杜库雷                   1'切尔西第1分钟控制比赛
3'分左路的霍瓦莱斯                   1'切尔西第1分钟控制比赛
3'回传给布里托斯                   1'切尔西第1分钟控制比赛
3'长传上来，路易斯顶一下                   1'切尔西第1分钟控制比赛
3'杜库雷控球，转移给基科                   1'切尔西第1分钟控制比赛
3'回伏笔 一下，佩雷拉交给杜库雷                   1'切尔西第1分钟控制比赛
3'再分边给了基科                   1'切尔西第1分钟控制比赛
3'马里亚帕直传，佩雷拉与迪尼做二过一                   1'切尔西第1分钟控制比赛
3'佩雷拉横扫禁区，吕迪格将球铲出底线                   1'切尔西第1分钟控制比赛
4'切尔西2号是吕迪格                   1'切尔西第1分钟控制比赛
4'沃特福德右路的角球机会                   1'切尔西第1分钟控制比赛
4'克莱维利的传中，库尔图瓦双拳将球击出                   1'切尔西第1分钟控制比赛
4'右路基科的传中，理查利森冲撞门将犯规                   1'切尔西第1分钟控制比赛
12'战术角球，佩德罗禁区外弧线球旋远门柱，球击中立柱内侧入网！                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
12'佩德罗打出世界波帮助切尔西取得领先                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
13'库尔图瓦交给卡希尔                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
13'直传，阿扎尔交给阿隆索                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
13'阿扎尔接应交给法布雷加斯                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
13'分边给了阿斯皮利奎塔                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
13'直传给深了，球直接出底线                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
