2'曼加拉后场出球，卡巴耶上抢出边线                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
2'萨内中场拿球回敲                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
2'京多安分球，德布劳内给左路萨内                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
2'底线没有传中机会，给到禁区前                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
3'达尼洛传后点，B席停球打门偏了                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
4'德布劳内斜传左路，找到萨内                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
4'分后插上的京多安，下底                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
4'给门前，被门将没收了                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
4'本特克前场争顶，埃德森没有用手，头球顶出禁区解围                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
5'费尔南迪尼奥直塞禁区，没有找到队友                   2'开场仅2分钟，达尼洛斜传，贝纳尔多禁区右肋混战中斜射偏出
28'连续的横向转移，水晶宫防守比较密集                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
28'曼城回后场，水晶宫的阵型也整体前移                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
28'逼抢往前提了                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
28'达尼洛左路拿球，分萨内                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
28'阿圭罗肋部拿球，禁区前打门了                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
29'折射，打中立柱弹出                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
29'左路还有传中，后门柱                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
29'被后卫解围出去，角球                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
29'角球到中路，费尔南迪尼奥没有顶正                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
29'外围还有机会，达尼洛横敲                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
30'京多安斜传禁区，被顶出                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
30'阿圭罗禁区前做球，禁区内德布劳内没接应到                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
31'扎哈左路摆脱，传中                   28'第28分钟，德布劳内传球，阿圭罗禁区弧顶的射门偏转后击中左侧立柱弹回
78'本特克禁区前第一点把球争下，敲队友                   77'水晶宫第77分钟浪费机会，扎哈禁区右侧传中，汤森德小禁区前射门打飞
78'右路的起球去后点，汤森德打飞                   77'水晶宫第77分钟浪费机会，扎哈禁区右侧传中，汤森德小禁区前射门打飞
78'水晶宫后场长传，埃德森出击到禁区外解围                   77'水晶宫第77分钟浪费机会，扎哈禁区右侧传中，汤森德小禁区前射门打飞
79'米利沃耶维奇中场拿球，阿圭罗犯规了                   77'水晶宫第77分钟浪费机会，扎哈禁区右侧传中，汤森德小禁区前射门打飞
80'阿圭罗被黄牌警告                   77'水晶宫第77分钟浪费机会，扎哈禁区右侧传中，汤森德小禁区前射门打飞
92'米利沃耶维奇点球                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
92'被埃德森扑出了！！！                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
92'不进                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
92'曼城反击，禁区前，凯利拉人了                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
92'裁判黄牌警告凯利                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
92'德布劳内中场受伤倒地了                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
93'应该是出球之后被庞琼踢到了                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
93'裁判黄牌警告庞琼                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
93'庞琼自己也是倒地，接受治疗                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
93'担架又上来了                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
94'是来抬谁的呢                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
94'到了德布劳内边上                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
94'小腿需要固定                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
95'看起来伤的也不轻                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
95'慢镜头显示，庞琼的铲球动作比较大                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
95'庞琼边上也有担架                   92'水晶宫第92分钟错失绝杀良机，扎哈突入禁区右侧在斯特林防守下摔倒，米利沃耶维奇主罚点球射左下角被埃德森用腿挡出
