3'直塞球给右侧底线附近京多安！                   2'开场仅2分钟，阿圭罗禁区边缘的射门被萨内封堵
3'凯尔-沃克斜传球给前场右路德布劳内！直传球被费尔曼大脚解围出界！                   2'开场仅2分钟，阿圭罗禁区边缘的射门被萨内封堵
19'GOOOOOOOOOOOOOOOOAL！                   18'曼城第18分钟取得领先，乌特前场同拉波尔特争顶时倒地，门将费尔曼传球萨内，席尔瓦及时抢断后横传，阿圭罗推射空门入网
20'沙尔克04门将的失误送给曼城大礼啊！                   18'曼城第18分钟取得领先，乌特前场同拉波尔特争顶时倒地，门将费尔曼传球萨内，席尔瓦及时抢断后横传，阿圭罗推射空门入网
70'皮球来到曼城后场！奥塔门迪放倒了本格施塔勒！                   68'曼城第68分钟再遭打击，奥塔门迪对布格施塔勒犯规累计两张黄牌被罚下
70'奥塔门迪被罚本场比赛第二张黄牌！                   68'曼城第68分钟再遭打击，奥塔门迪对布格施塔勒犯规累计两张黄牌被罚下
71'曼城开球给左侧京多安！                   68'曼城第68分钟再遭打击，奥塔门迪对布格施塔勒犯规累计两张黄牌被罚下
86'萨内开定位球左脚打门！                   85'曼城第85分钟扳平，卡利朱里对斯特林犯规，L-萨内30码处任意球直接射入右上角，2-2
87'GOOOOOOOOOOOAL！直挂死角！！球进了！！！                   85'曼城第85分钟扳平，卡利朱里对斯特林犯规，L-萨内30码处任意球直接射入右上角，2-2
87'萨内任意球世界波破门！曼城2-2扳平沙尔克04！                   85'曼城第85分钟扳平，卡利朱里对斯特林犯规，L-萨内30码处任意球直接射入右上角，2-2
93'斯特林单刀破门！曼城3-2反超沙尔克04！                   90'曼城第90分钟绝杀，埃德森长传，奥奇普卡追击高球时摔倒，斯特林突破至小禁区右上角外单刀捅射远角入网，3-2
93'沙尔克04中场开球给右路塞尔达！                   90'曼城第90分钟绝杀，埃德森长传，奥奇普卡追击高球时摔倒，斯特林突破至小禁区右上角外单刀捅射远角入网，3-2
93'长传球给前场中路！                   90'曼城第90分钟绝杀，埃德森长传，奥奇普卡追击高球时摔倒，斯特林突破至小禁区右上角外单刀捅射远角入网，3-2
