4'巴尔扎利将球处理出底线,帕尔马获得角球.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
4'乔文科将球处理出底线,帕尔马获得角球.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
4'帕尔马球员帕雷塔大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是桑塔克罗切.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
5'尤文图斯球员夸利亚雷拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是乔文科.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
6'帕多因为尤文图斯赢得一个任意球.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
6'帕尔马球员马尔基奥尼拼抢犯规,对手获得控球权.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
6'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
6'萨帕塔为帕尔马赢得一个任意球.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
10'尤文图斯球员夸利亚雷拉大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博格巴.                   10'第10分钟，巴尔德斯后场丢球，博格巴左肋脚后跟直传，夸利亚雷拉距门25米处转身弧线球偏出右门柱
11'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   10'第10分钟，巴尔德斯后场丢球，博格巴左肋脚后跟直传，夸利亚雷拉距门25米处转身弧线球偏出右门柱
11'马尔基奥尼为帕尔马在右路,赢得一个任意球.                   10'第10分钟，巴尔德斯后场丢球，博格巴左肋脚后跟直传，夸利亚雷拉距门25米处转身弧线球偏出右门柱
