6'乌迪内斯长传球，钱财德保罗横传球，找萨帕塔，球被拦截下来                   6'开场6分钟，乌迪内斯首先制造威胁，泰雷奥右路回敲，德保罗禁区边缘推射高出
6'博纳文图拉拿球，被包夹，球丢了                   6'开场6分钟，乌迪内斯首先制造威胁，泰雷奥右路回敲，德保罗禁区边缘推射高出
7'乌迪内斯长传球，找底线附近队友，争取，球出界                   6'开场6分钟，乌迪内斯首先制造威胁，泰雷奥右路回敲，德保罗禁区边缘推射高出
7'乌迪内斯角球机会                   6'开场6分钟，乌迪内斯首先制造威胁，泰雷奥右路回敲，德保罗禁区边缘推射高出
8'前点，球被大脚解围出来，米兰控制球权                   6'开场6分钟，乌迪内斯首先制造威胁，泰雷奥右路回敲，德保罗禁区边缘推射高出
8'米兰后场慢慢倒球                   6'开场6分钟，乌迪内斯首先制造威胁，泰雷奥右路回敲，德保罗禁区边缘推射高出
9'罗马尼奥利直接直传球，球被防守球员挡出边线                   6'开场6分钟，乌迪内斯首先制造威胁，泰雷奥右路回敲，德保罗禁区边缘推射高出
32'AC米兰队耐心的中场倒脚来寻找机会                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
33'阿巴特带球下底传中，何塞-索萨跟进打门球被门将扑出来                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
33'乌迪内斯队控球反击，巴杜带球突入到禁区内，斜塞给萨帕塔，小角度打门被防守队员扑出了底线                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
33'乌迪内斯队获得角球机会，发战术角球                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
33'德保罗斜传球到禁区内，博纳文图拉把球破坏出来                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
34'费利佩冲抢时犯规，放倒了博纳文图拉                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
34'费利佩被主裁判黄牌警告                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
34'AC米兰队后场控球，转移到左侧，大范围转移球到中路                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
35'AC米兰队安东内利右路的下底传中球被达尼洛给挡出了底线                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
35'AC米兰队获得角球机会，开到前点被对方顶出来                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
35'AC米兰队外围控球，再转移到安东内利的脚下，分球到左侧，斜传球，巴卡越位了                   32'AC米兰第32分钟险些破门，阿巴特右路传中制造混乱，对方后卫解围出禁区，蒙托利沃胸部做球，索萨左侧距门20米处凌空抽射击中横梁
88'乌迪内斯进球了，佩利亚！！！！！！！！！！！！！！                   88'乌迪内斯第88分钟打破僵局
88'是一个绝杀吗                   88'乌迪内斯第88分钟打破僵局
89'整场比赛乌迪内斯都被压制，这一次唱出一口气                   88'乌迪内斯第88分钟打破僵局
89'巴杜传球，直接给到禁区的佩利亚，佩利亚拿球直接推射入网                   88'乌迪内斯第88分钟打破僵局
90'蒙托利沃的长传球，巴卡越位了                   88'乌迪内斯第88分钟打破僵局
90'留给AC米兰的机会不多了                   88'乌迪内斯第88分钟打破僵局
91'下半场补时8分钟                   88'乌迪内斯第88分钟打破僵局
91'这个补时有点多呀                   88'乌迪内斯第88分钟打破僵局
53'OK，德西利奥出场                   53'场边举牌示意补时8分钟
53'比赛继续                   53'场边举牌示意补时8分钟
53'米兰后场倒球                   53'场边举牌示意补时8分钟
54'中场乌迪内斯这边有人倒地了                   53'场边举牌示意补时8分钟
54'乌迪内斯定位球开到禁区里，球被米兰解围出来                   53'场边举牌示意补时8分钟
55'德西利奥以一敌二突破，不过最后球还是丢了，出了底线                   53'场边举牌示意补时8分钟
55'尴尬                   53'场边举牌示意补时8分钟
56'米兰中场的断球                   53'场边举牌示意补时8分钟
56'博纳文图拉拿球，给点边路阿巴特，下底传中，球被挡出底线                   53'场边举牌示意补时8分钟
