4'可惜力量稍微大了一点                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
4'这场比赛梅西回到了他最熟悉的位置                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
4'中锋                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
4'内马尔跟苏亚雷斯一人一边                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
4'梅西回撤来接球                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
4'给了阿尔巴~横敲中路                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
5'进球无效？                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
5'阿尔巴已经越位了                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
5'虽然内马尔在中路包抄打进一球                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
5'但是因为传球的阿尔巴已经越位所以被吹罚了无效                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
6'阿贾克斯开场之后的失误不少                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
7'梅西抢到了对方的禁区内                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
7'今天他的态度非常不错哦                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
7'最近一两年很少能看到梅西去抢对方的门将                   4'开场4分钟，阿尔巴禁区左侧低传，内马尔在门前11米处推进右下角，但越位在先
18'阿尔维斯这什么状态...                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
18'解围又失误                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
18'安德森迎球一脚远射，擦柱而出                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
20'苏亚雷斯杀入禁区                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
20'选择了传中~打在了后卫腿上                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
20'球还在巴萨的控制下                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
20'梅西跟内马尔的撞墙式配合~~~                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
20'没能过了对方后卫线                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
20'巴萨继续外围控球                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
21'打回到中场~                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
21'对方的防守太密集了                   18'第18分钟，阿尔维斯解围不远，安德森左侧距门25米处低射偏出近门柱
26'巴萨今年在中场的控制力进一步下降                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
26'安德森又一次轻松过掉阿尔维斯                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
26'横传~队友跟上的射门被挡了出去                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
26'阿贾克斯的左边路进攻给巴萨造成了很大的威胁                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
27'连续的左边路进攻                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
27'克拉森~突入禁区左脚施射！！！                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
27'施特根倒地将球扑了出去                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
27'阿尔维斯如今的状态已经不足以在巴萨打主力了                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
28'球始终在阿贾克斯的控制下                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
28'加齐~~人球分过过掉了马斯切拉诺                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
28'捅射的时候被布斯克茨挡了出去                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
29'现在的场上情况感觉阿贾克斯随时能取得进球一样                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
29'布斯克茨在中场的拦截终于让巴萨重新掌握了球权                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
29'苏亚雷斯~~终于有了一脚射门                   26'第26分钟，舍内分球，克拉森禁区左侧距门12米处左脚半凌空斜射，特尔施特根倒地封出
