1'上半场比赛开始！！                   1'巴萨第1分钟控制比赛
1'来看下巴萨的首发                   1'巴萨第1分钟控制比赛
1'巴塞罗那(4-4-2)：1-特尔施特根；20-罗伯托，3-皮克，23-乌姆蒂蒂，18-阿尔巴；14-库蒂尼奥，4-拉基蒂奇，5-布斯克茨，15-保利尼奥；9-苏亚雷斯，11-登贝莱                   1'巴萨第1分钟控制比赛
1'本场比赛梅西因第3个孩子出生而缺阵，保利尼奥和登贝莱轮换出场                   1'巴萨第1分钟控制比赛
4'马拉加首发：罗贝托；里卡、米克尔、路易斯-埃尔南德斯、罗萨莱斯；卡斯特罗、伊图拉、拉桑、萨姆；罗兰、约瑟夫                   1'巴萨第1分钟控制比赛
4'马拉加前场拿球回敲                   1'巴萨第1分钟控制比赛
15'0-1！！！                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
15'苏亚雷斯！！                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
15'巴萨前场将球转移到左路，边路起球送禁区，苏亚雷斯中路跟进头球攻门将球顶进！！                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
15'这球马拉加防守漏人了                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
15'罗贝托想要扑已经很难了                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
16'上半场15分钟，巴萨客场1-0领先马拉加                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
17'巴萨左路底线拿球                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
17'无人看防的情况下将球传了出来                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
17'这球给了一个外围                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
17'队友拿球也是不顺畅                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
17'巴萨这边将球转移到了右路                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
17'边路的撞墙配合被断了                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
17'马拉加的反击机会                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
18'球刚过中场                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
18'巴萨这边就是围抢                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
18'分左路                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
18'约瑟夫这边接球越位                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
18'约瑟夫禁区外围尝试来一脚                   15'巴萨第15分钟取得领先，阿尔巴左路传中，苏亚雷斯10码处头球破门
28'0-2！！！！                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
29'库蒂尼奥！！！                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
29'登贝莱右路禁区内拿球，一扣晃开防守后横敲，库蒂尼奥这边脚后跟将球送进远角！！                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
29'这球库蒂尼奥打的也是比较巧                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
29'巴萨后场大范围转移                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
30'红牌！！！！                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
30'萨姆这边直接被红牌罚出场外！！！                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
30'萨姆中场拦截从侧后方放倒了阿尔巴！！                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
31'阿尔巴这边受伤倒地没有起来                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
31'队医进场查看                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
31'经过查看问题并不是太大                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
31'上半场进行了30分钟，马拉加这边少了一人                   28'巴萨第28分钟扩大比分，登贝莱禁区右侧传中，库蒂尼奥小禁区边缘脚后跟破门，2-0
36'马拉加右路起球送禁区                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
36'落点不好被顶了出来                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
36'马拉加右路下底给到禁区后点                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
36'约瑟夫顶了一个反弹球                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
36'太过于发力                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
36'顶高了                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
37'马拉加将球给到前场                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
37'前场1打4                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
37'人球分过没有过去                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
37'巴萨这边反击                   36'马拉加第36分钟浪费机会，伊图拉禁区右侧下底传中，恩内斯里小禁区边缘顶出反弹球擦左侧立柱偏出
