4'皮尔洛拿球组织反击，左路德切利第一下拿球没停好                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
4'拉梅拉把球断掉，德切利反抢时犯规                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
4'塔赫特西迪斯外围尝试一脚远射，后卫挡了一下后布冯轻松把球没收                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
5'罗马前场断球，拉梅拉禁区里一脚打门偏出远门柱                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
5'托蒂示意传给右侧的他更好一些                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
5'德切利左路传中到禁区后点，卡塞雷斯没有包抄到                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
6'又是德切利左路上来的低平球扫入禁区，布尔迪索抢在马特里之前解围                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
6'尤文的角球开出，外围马尔基西奥远射再次拿到角球                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
6'前点斯特克伦博格单拳击出                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
7'外围再次尝试把球吊入禁区，尤文球员越位了                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
7'罗马长传，奥斯瓦尔多也越位了                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
8'皮尔洛转移左路德切利，传球力量又大了，直接出了底线                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
9'尤文的反击，右路卡塞雷斯弧线球传入门前，马特里前点倒地，后点马尔基西奥小角度打门高出横梁                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
9'马尔基西奥转移到右路卡塞雷斯                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
9'交给皮尔洛重新组织                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
10'尤文右路45度传中，马尔基西奥反越位插上在禁区线上被塔代伊拉倒                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
10'塔代伊黄牌，尤文拿到禁区线上的任意球                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
11'刚刚塔代伊已经是最后一名防守队员了，如果让马尔基西奥过去那就很危险了                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
11'看看皮尔洛的任意球怎么样                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
11'距离比较近，准确的罚球位置在弧顶上                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
11'皮尔洛！！！！！！！！任意球直接得分！！！！！！！！！！                   8'第8分钟，卡塞雷斯右路传中，马特里没抢到点，马尔基西奥后点左脚射推射偏出近门柱
48'上半场比赛结束了                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
48'又是塔代伊左路强行下底传中，拉梅拉的头球没有力量，布冯轻松把球拿到                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
