3'进球啦！！！毕尔巴鄂竞技球员苏萨埃塔大禁区外右脚射门,球从左上角飞进球门,球进了!助攻的是阿杜里斯. 奥萨苏纳 0-1 毕尔巴鄂竞技.                   3'第3分钟，阿杜里斯传球，苏萨埃塔25码处劲射破门
4'毕尔巴鄂竞技球员苏萨埃塔拼抢犯规,对手获得控球权.                   3'第3分钟，阿杜里斯传球，苏萨埃塔25码处劲射破门
4'阿里瓦斯为奥萨苏纳赢得一个任意球.                   3'第3分钟，阿杜里斯传球，苏萨埃塔25码处劲射破门
5'射门!!!毕尔巴鄂竞技球员苏萨埃塔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是阿杜里斯.                   3'第3分钟，阿杜里斯传球，苏萨埃塔25码处劲射破门
16'射门!!!毕尔巴鄂竞技球员安德尔大禁区中央头球,被对方守门员横身扑出.给他传球的是伊图拉斯佩.                   16'第16分钟，伊图拉斯佩右路传中，安德尔12码处头球攻门被扑出后禁区右侧传中，安德列斯扑救脱手，阿杜里斯近距离打入空门
16'进球啦！！！毕尔巴鄂竞技球员阿杜里斯球门线跟前右脚射门,球从中路飞进球门,球进了! 奥萨苏纳 1-2 毕尔巴鄂竞技.                   16'第16分钟，伊图拉斯佩右路传中，安德尔12码处头球攻门被扑出后禁区右侧传中，安德列斯扑救脱手，阿杜里斯近距离打入空门
18'奥萨苏纳球员洛洛拼抢犯规,对手获得控球权.                   16'第16分钟，伊图拉斯佩右路传中，安德尔12码处头球攻门被扑出后禁区右侧传中，安德列斯扑救脱手，阿杜里斯近距离打入空门
18'安德尔为毕尔巴鄂竞技赢得一个任意球.                   16'第16分钟，伊图拉斯佩右路传中，安德尔12码处头球攻门被扑出后禁区右侧传中，安德列斯扑救脱手，阿杜里斯近距离打入空门
19'德拉斯奎瓦斯为奥萨苏纳赢得一个任意球.                   16'第16分钟，伊图拉斯佩右路传中，安德尔12码处头球攻门被扑出后禁区右侧传中，安德列斯扑救脱手，阿杜里斯近距离打入空门
19'毕尔巴鄂竞技球员伊图拉斯佩拼抢犯规,对手获得控球权.                   16'第16分钟，伊图拉斯佩右路传中，安德尔12码处头球攻门被扑出后禁区右侧传中，安德列斯扑救脱手，阿杜里斯近距离打入空门
19'黄牌！毕尔巴鄂竞技球员伊图拉斯佩因为恶意犯规,被主裁判出示黄牌.                   16'第16分钟，伊图拉斯佩右路传中，安德尔12码处头球攻门被扑出后禁区右侧传中，安德列斯扑救脱手，阿杜里斯近距离打入空门
76'苏萨埃塔为毕尔巴鄂竞技在对方半场,赢得一个任意球.                   76'第76分钟，奥萨苏纳后卫阿里巴斯累计两张黄牌被罚下
76'奥萨苏纳球员拼抢犯规,对手获得控球权.                   76'第76分钟，奥萨苏纳后卫阿里巴斯累计两张黄牌被罚下
76'奥萨苏纳球员阿里瓦斯因为恶意犯规,被裁判出示了第二张黄牌.                   76'第76分钟，奥萨苏纳后卫阿里巴斯累计两张黄牌被罚下
78'巴伦西亚加为毕尔巴鄂竞技赢得一个任意球.                   76'第76分钟，奥萨苏纳后卫阿里巴斯累计两张黄牌被罚下
78'奥萨苏纳球员阿库尼亚拼抢犯规,对手获得控球权.                   76'第76分钟，奥萨苏纳后卫阿里巴斯累计两张黄牌被罚下
79'安德尔为毕尔巴鄂竞技在对方半场,赢得一个任意球.                   76'第76分钟，奥萨苏纳后卫阿里巴斯累计两张黄牌被罚下
79'奥萨苏纳球员F-席尔瓦拼抢犯规,对手获得控球权.                   76'第76分钟，奥萨苏纳后卫阿里巴斯累计两张黄牌被罚下
88'毕尔巴鄂竞技球员I-戈麦斯大禁区外右脚射门,被防守球员封堵.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
88'进球啦！！！毕尔巴鄂竞技球员凯科-索拉球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是安德尔. 奥萨苏纳 1-5 毕尔巴鄂竞技.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
89'奥萨苏纳球员阿库尼亚大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是列拉.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
90'射门!!!毕尔巴鄂竞技球员穆尼亚因大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是德马科斯.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
90'+1'毕尔巴鄂竞技球员巴伦西亚加拼抢犯规,对手获得控球权.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
90'+1'德拉斯奎瓦斯为奥萨苏纳赢得一个任意球.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
90'+2'阿门特罗斯将球处理出底线,毕尔巴鄂竞技获得角球.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
90'+2'毕尔巴鄂竞技球员拉波尔特拼抢犯规,对手获得控球权.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
90'+2'列拉为奥萨苏纳赢得一个任意球.                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
90'+2'下半场结束,奥萨苏纳 1-5 毕尔巴鄂竞技                   88'第88分钟，安德尔禁区左侧传中，索拉近距离推射空门入网
