3'辽足进球了                   3'第3分钟胡延强接张野长传，摆脱王燊超防守，飞身铲射攻破上港队大门
4'张野中场的斜传球，胡延强高速插上抢在出击的颜骏凌之前捅射破门                   3'第3分钟胡延强接张野长传，摆脱王燊超防守，飞身铲射攻破上港队大门
6'武磊右路找奥斯卡，球被破坏出边线                   3'第3分钟胡延强接张野长传，摆脱王燊超防守，飞身铲射攻破上港队大门
6'韦世豪外围送直传，武磊禁区右侧得球怒射打飞                   3'第3分钟胡延强接张野长传，摆脱王燊超防守，飞身铲射攻破上港队大门
6'石笑天门球开给了对手                   3'第3分钟胡延强接张野长传，摆脱王燊超防守，飞身铲射攻破上港队大门
39'杨宇前场护球，被艾哈迈多夫推倒了                   39'第39分钟上港反击，奥斯卡传到右侧，韦世豪把球扫到左侧，武磊近距离推射得分
40'武磊进球了                   39'第39分钟上港反击，奥斯卡传到右侧，韦世豪把球扫到左侧，武磊近距离推射得分
41'奥斯卡中场带球反击，弧顶处分给右侧，韦世豪禁区右侧斜传远端，武磊打进空门                   39'第39分钟上港反击，奥斯卡传到右侧，韦世豪把球扫到左侧，武磊近距离推射得分
42'鲍马尔禁区外围倒地，裁判给了辽足定位球                   39'第39分钟上港反击，奥斯卡传到右侧，韦世豪把球扫到左侧，武磊近距离推射得分
42'辽足扳平了                   39'第39分钟上港反击，奥斯卡传到右侧，韦世豪把球扫到左侧，武磊近距离推射得分
42'鲍马尔禁区外围倒地，裁判给了辽足定位球                   42'第42分钟傅欢右路传中，武磊头球梅开二度
42'辽足扳平了                   42'第42分钟傅欢右路传中，武磊头球梅开二度
43'鲍马尔任意球直接攻门，皮球绕过人墙飞进球门右侧                   42'第42分钟傅欢右路传中，武磊头球梅开二度
44'武磊又进了                   42'第42分钟傅欢右路传中，武磊头球梅开二度
44'上港右路传中球，武磊禁区内头球破门                   42'第42分钟傅欢右路传中，武磊头球梅开二度
45'乌贾禁区内得球，一脚扫射，球被颜骏凌碰到后击中了横梁                   42'第42分钟傅欢右路传中，武磊头球梅开二度
55'鲍马尔禁区前横敲，桑一非得球左脚打门，球被颜骏凌没收                   54'第54分钟胡延强左路下底传中，乌贾在禁区右侧头球摆渡，张野凌空倒钩得分
55'韦世豪前场送直传球，被石笑天控制了                   54'第54分钟胡延强左路下底传中，乌贾在禁区右侧头球摆渡，张野凌空倒钩得分
55'辽足扳平了                   54'第54分钟胡延强左路下底传中，乌贾在禁区右侧头球摆渡，张野凌空倒钩得分
56'胡延强左路传中球，后点的乌贾头球摆渡，张野小禁区的倒钩打门得手                   54'第54分钟胡延强左路下底传中，乌贾在禁区右侧头球摆渡，张野凌空倒钩得分
57'阿萨尼后场断球给到乌贾                   54'第54分钟胡延强左路下底传中，乌贾在禁区右侧头球摆渡，张野凌空倒钩得分
57'乌贾禁区内的突破，球丢了                   54'第54分钟胡延强左路下底传中，乌贾在禁区右侧头球摆渡，张野凌空倒钩得分
51'上港后场长传球                   50'上港发起进攻，第5分钟上港右路蔡慧康送球，武磊切入禁区怒射高出
51'被张延军先顶了一下                   50'上港发起进攻，第5分钟上港右路蔡慧康送球，武磊切入禁区怒射高出
52'刘尚坤后场护球出了底线                   50'上港发起进攻，第5分钟上港右路蔡慧康送球，武磊切入禁区怒射高出
53'鲍马尔左路的突破，被傅欢破坏                   50'上港发起进攻，第5分钟上港右路蔡慧康送球，武磊切入禁区怒射高出
53'艾哈迈多夫后场护球，刘尚坤上抢拉拽犯规                   50'上港发起进攻，第5分钟上港右路蔡慧康送球，武磊切入禁区怒射高出
53'鲍马尔左路的突破，被傅欢破坏                   53'第8分钟胡延强左路突破传中，乌贾近门倒地推射被颜骏凌挡出，乌贾快速起身，摆脱防守后再射，又被颜骏凌扑出
53'艾哈迈多夫后场护球，刘尚坤上抢拉拽犯规                   53'第8分钟胡延强左路突破传中，乌贾近门倒地推射被颜骏凌挡出，乌贾快速起身，摆脱防守后再射，又被颜骏凌扑出
55'鲍马尔禁区前横敲，桑一非得球左脚打门，球被颜骏凌没收                   53'第8分钟胡延强左路突破传中，乌贾近门倒地推射被颜骏凌挡出，乌贾快速起身，摆脱防守后再射，又被颜骏凌扑出
55'韦世豪前场送直传球，被石笑天控制了                   53'第8分钟胡延强左路突破传中，乌贾近门倒地推射被颜骏凌挡出，乌贾快速起身，摆脱防守后再射，又被颜骏凌扑出
55'辽足扳平了                   53'第8分钟胡延强左路突破传中，乌贾近门倒地推射被颜骏凌挡出，乌贾快速起身，摆脱防守后再射，又被颜骏凌扑出
56'胡延强左路传中球，后点的乌贾头球摆渡，张野小禁区的倒钩打门得手                   53'第8分钟胡延强左路突破传中，乌贾近门倒地推射被颜骏凌挡出，乌贾快速起身，摆脱防守后再射，又被颜骏凌扑出
56'胡延强左路传中球，后点的乌贾头球摆渡，张野小禁区的倒钩打门得手                   56'第11分钟韦世豪左路带球切入禁区后横推，埃尔克森被人夹击无法从容拿球，奥斯卡跟进过掉一人后射门被挡，武磊在禁区右侧施射稍稍偏出
57'阿萨尼后场断球给到乌贾                   56'第11分钟韦世豪左路带球切入禁区后横推，埃尔克森被人夹击无法从容拿球，奥斯卡跟进过掉一人后射门被挡，武磊在禁区右侧施射稍稍偏出
57'乌贾禁区内的突破，球丢了                   56'第11分钟韦世豪左路带球切入禁区后横推，埃尔克森被人夹击无法从容拿球，奥斯卡跟进过掉一人后射门被挡，武磊在禁区右侧施射稍稍偏出
59'武磊左路拿球内切两步后直接打门高出                   56'第11分钟韦世豪左路带球切入禁区后横推，埃尔克森被人夹击无法从容拿球，奥斯卡跟进过掉一人后射门被挡，武磊在禁区右侧施射稍稍偏出
65'艾哈迈多夫挑传禁区左侧，球出了底线                   65'第20分钟埃尔克森博得任意球，奥斯卡主罚打人墙里
67'傅欢右路插上到了禁区，一脚射门被阿萨尼封堵                   65'第20分钟埃尔克森博得任意球，奥斯卡主罚打人墙里
67'石笑天跳起来，把球拿到了                   65'第20分钟埃尔克森博得任意球，奥斯卡主罚打人墙里
68'胡延强左路扣球摆脱，被傅欢放倒了                   65'第20分钟埃尔克森博得任意球，奥斯卡主罚打人墙里
68'辽足获得前场左路定位球                   65'第20分钟埃尔克森博得任意球，奥斯卡主罚打人墙里
71'乌贾禁区外围拔脚怒射，皮球势大力沉，颜骏凌奋力扑出                   71'第26分钟埃尔克森左路冲击时被阿萨尼放倒，但奥斯卡的任意球又没打出威胁
73'桑一非右路传中，球被拦截                   71'第26分钟埃尔克森左路冲击时被阿萨尼放倒，但奥斯卡的任意球又没打出威胁
73'鲍马尔右路的大步突破，没过去啊                   71'第26分钟埃尔克森左路冲击时被阿萨尼放倒，但奥斯卡的任意球又没打出威胁
73'埃尔克森禁区内争顶，推倒了阿萨尼                   71'第26分钟埃尔克森左路冲击时被阿萨尼放倒，但奥斯卡的任意球又没打出威胁
75'乌贾右路传中，阿萨尼停球没停好，桑一非禁区线上跟进推射偏出                   75'第30分钟上港前场做出连续精彩配合，最后是武磊带球从左侧杀入禁区，但他的最后一脚射门被石笑天扑出
76'桑一非左路和胡延强撞墙                   75'第30分钟上港前场做出连续精彩配合，最后是武磊带球从左侧杀入禁区，但他的最后一脚射门被石笑天扑出
76'胡延强领球，转身自己打门了，球被挡出底线                   75'第30分钟上港前场做出连续精彩配合，最后是武磊带球从左侧杀入禁区，但他的最后一脚射门被石笑天扑出
76'角球开出来，被顶到外围                   75'第30分钟上港前场做出连续精彩配合，最后是武磊带球从左侧杀入禁区，但他的最后一脚射门被石笑天扑出
77'奥斯卡带球，桑一非上抢，被奥斯卡推倒                   75'第30分钟上港前场做出连续精彩配合，最后是武磊带球从左侧杀入禁区，但他的最后一脚射门被石笑天扑出
77'辽足换人，李成林替下桑一非                   75'第30分钟上港前场做出连续精彩配合，最后是武磊带球从左侧杀入禁区，但他的最后一脚射门被石笑天扑出
78'武磊送出直传球，埃尔克森越位了                   75'第30分钟上港前场做出连续精彩配合，最后是武磊带球从左侧杀入禁区，但他的最后一脚射门被石笑天扑出
86'辽足换人，李家赫替下胡延强                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
87'吕文君前场带球被放倒，找裁判时手上有动作                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
87'被出示了黄牌                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
88'杨宇后场拦截后，被埃尔克森撂倒                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
88'奥斯卡带球分给左路，吕文君禁区前打门被封堵                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
89'于海左路传中，阿萨尼大脚开出                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
89'张延军跟着一脚解围                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
89'李家赫干扰王燊超发边线球吃到黄牌                   86'第41分钟贺惯禁区外犯规，鲍马尔助跑两步后，起左脚怒射，皮球打出香蕉球，皮球飞入大门，2比2
88'杨宇后场拦截后，被埃尔克森撂倒                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
88'奥斯卡带球分给左路，吕文君禁区前打门被封堵                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
