43'Córdoba球员Iago Bouzón拼抢犯规,对手获得控球权.                   43'第43分钟，格里兹曼任意球混战中12码处扣过一人射门，皮球偏转入左上角
43'西凯拉为马德里竞技在左路,赢得一个任意球.                   43'第43分钟，格里兹曼任意球混战中12码处扣过一人射门，皮球偏转入左上角
43'进球啦！！！马德里竞技球员格里兹曼大禁区中央左脚射门,球从左下角飞进球门,球进了! 马德里竞技 1-0 Córdoba.                   43'第43分钟，格里兹曼任意球混战中12码处扣过一人射门，皮球偏转入左上角
45'Córdoba球员Fede Cartabia大禁区外左脚射门,被防守球员封堵.给他传球的是López Garai.                   43'第43分钟，格里兹曼任意球混战中12码处扣过一人射门，皮球偏转入左上角
45'戈丁将球处理出底线,Córdoba获得角球.                   43'第43分钟，格里兹曼任意球混战中12码处扣过一人射门，皮球偏转入左上角
45'+2'上半场结束,马德里竞技 1-0 Córdoba,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，格里兹曼任意球混战中12码处扣过一人射门，皮球偏转入左上角
53'西凯拉将球处理出底线,Córdoba获得角球.                   53'科尔多瓦第53分钟扳平比分，卡塔比亚角球开至远点，吉拉斯小禁区边缘头球破门
53'进球啦！！！Córdoba球员Nabil Ghilas大禁区中央头球,球从右上角飞进球门,球进了!助攻的是Fede Cartabia. 马德里竞技 1-1 Córdoba.                   53'科尔多瓦第53分钟扳平比分，卡塔比亚角球开至远点，吉拉斯小禁区边缘头球破门
55'射门!!!马德里竞技球员格里兹曼大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是图兰.                   53'科尔多瓦第53分钟扳平比分，卡塔比亚角球开至远点，吉拉斯小禁区边缘头球破门
55'Córdoba球员Luso拼抢犯规,对手获得控球权.                   53'科尔多瓦第53分钟扳平比分，卡塔比亚角球开至远点，吉拉斯小禁区边缘头球破门
55'图兰为马德里竞技在右路,赢得一个任意球.                   53'科尔多瓦第53分钟扳平比分，卡塔比亚角球开至远点，吉拉斯小禁区边缘头球破门
56'Luso为Córdoba赢得一个任意球.                   53'科尔多瓦第53分钟扳平比分，卡塔比亚角球开至远点，吉拉斯小禁区边缘头球破门
56'马德里竞技球员格里兹曼拼抢犯规,对手获得控球权.                   53'科尔多瓦第53分钟扳平比分，卡塔比亚角球开至远点，吉拉斯小禁区边缘头球破门
62'马德里竞技换人,劳尔-加西亚换下图兰                   62'第62分钟，科凯左路任意球传中，科尔多瓦门将胡安-卡洛斯出击失误，曼祖基奇小禁区边缘头球破门
62'进球啦！！！马德里竞技球员曼祖基奇球门线跟前头球,球从中路飞进球门,球进了!助攻的是科凯. 马德里竞技 3-1 Córdoba.                   62'第62分钟，科凯左路任意球传中，科尔多瓦门将胡安-卡洛斯出击失误，曼祖基奇小禁区边缘头球破门
63'Córdoba换人,F-罗西换下希斯科                   62'第62分钟，科凯左路任意球传中，科尔多瓦门将胡安-卡洛斯出击失误，曼祖基奇小禁区边缘头球破门
64'Córdoba球员López Garai拼抢犯规,对手获得控球权.                   62'第62分钟，科凯左路任意球传中，科尔多瓦门将胡安-卡洛斯出击失误，曼祖基奇小禁区边缘头球破门
64'曼祖基奇为马德里竞技赢得一个任意球.                   62'第62分钟，科凯左路任意球传中，科尔多瓦门将胡安-卡洛斯出击失误，曼祖基奇小禁区边缘头球破门
87'进球啦！！！Córdoba球员Nabil Ghilas大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是F-罗西. 马德里竞技 4-2 Córdoba.                   87'科尔多瓦第87分钟再扳一城，马竞防线接连解围出错，吉拉斯小禁区前劲射破门
88'Fede Cartabia为Córdoba赢得一个任意球.                   87'科尔多瓦第87分钟再扳一城，马竞防线接连解围出错，吉拉斯小禁区前劲射破门
88'马德里竞技球员西凯拉拼抢犯规,对手获得控球权.                   87'科尔多瓦第87分钟再扳一城，马竞防线接连解围出错，吉拉斯小禁区前劲射破门
89'Córdoba球员Fede Cartabia大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   87'科尔多瓦第87分钟再扳一城，马竞防线接连解围出错，吉拉斯小禁区前劲射破门
90'+2'下半场结束,马德里竞技 4-2 Córdoba                   87'科尔多瓦第87分钟再扳一城，马竞防线接连解围出错，吉拉斯小禁区前劲射破门
