1'上半场比赛开始了！                   1'双方第1分钟均显得小心谨慎
1'上半场由塞维利亚中圈开球                   1'双方第1分钟均显得小心谨慎
1'今天皇马身穿一身紫色战袍                   1'双方第1分钟均显得小心谨慎
1'科恩特朗的直传被解围                   1'双方第1分钟均显得小心谨慎
1'瓦拉内大脚解围                   1'双方第1分钟均显得小心谨慎
3'塞维利亚后场控球，拉米后场长传，球直接飞出底线                   1'双方第1分钟均显得小心谨慎
3'纳瓦斯发门球                   1'双方第1分钟均显得小心谨慎
3'拉莫斯控球交给科恩特朗                   1'双方第1分钟均显得小心谨慎
4'科恩特朗的传球被拦截                   1'双方第1分钟均显得小心谨慎
4'纳乔将球转移到右路，C罗一顺球没有传好                   1'双方第1分钟均显得小心谨慎
19'伊博拉左路来了传中被瓦拉内挡出底线                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
19'纳斯里‘发角球，恩佐济抢点头球攻门顶高了                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
20'纳乔长传上来，帕雷哈顶到第一点                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
20'伊博拉带球，交给右路的纳斯里‘                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
21'马塞洛插上回传，C罗控球被扛开                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
21'法利亚诺回给帕雷哈                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
21'再回传给里克，长传左路，踢出了边线                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
21'卡瓦哈尔掷界外球，克罗斯传中，球被帕雷哈控制                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
22'长传上来交给了拉莫斯，长传找到卡瓦哈尔                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
22'突破没有成功                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
22'维托洛推进，卡瓦哈尔拦截犯规                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
22'恩佐济左侧直传小了，摩德里奇断球                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
22'卡塞米罗交给克罗斯，分给马塞洛                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
22'趟大了，法利亚诺断下                   19'塞维利亚首次威胁出现在第19分钟，纳斯里开出角球，恩宗齐近距离冲顶高出
40'埃斯奎罗往边上传，出了边线                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
40'马塞洛左路直传，本泽马拉边接应进了禁区横传                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
40'C罗推射踢薄了                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
40'球偏出球门右门柱                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
41'马塞洛左路传中被拉米头球解围                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
41'维托洛解围                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
41'恩佐济分边右路的伊博拉，没有突破成功                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
41'克罗斯交右路的本泽马                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
41'挑球过人被拦截                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
41'维托洛回传给埃斯奎罗                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
41'恩佐济接应交给伊博拉                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
42'恩佐济组织，分到左路的埃斯奎罗                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
42'维托洛回传                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
42'直传                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
42'维托洛进了禁区横传被解围                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
42'塞维利亚左侧的界外球机会                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
42'埃斯奎罗掷给拉米                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
42'直传，纳斯里‘一顺，恩佐济被挡在身后，推人犯规                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
43'法利亚诺带球冲上来，趟大了                   40'皇马第40分钟错过绝佳机会，本泽马切入禁区左侧低传，但无人防守的C罗10码处射门踢偏
63'皇马的机会                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
64'摩德里奇分右路，卡瓦哈尔传中，后卫没有解围后                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
64'本泽马门前推射打高了                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
64'本泽马到中场控球，交给摩德里奇                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
64'皇马后场开始组织                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
65'克罗斯转移给右路的瓦拉内                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
65'卡瓦哈尔前插接应                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
65'人球分过被里克扑倒                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
65'点球！                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
65'塞维利亚的球员极度不满                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
66'这球判点球是没有问题                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
66'双方球员发生了口角                   63'第63分钟，卡瓦哈尔禁区右侧传中被挡出，本泽马10码处射门被马里亚诺挡出，但他随后的补射高出
85'萨拉比亚任意球传中！                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
85'拉莫斯摆乌龙！！！                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
86'萨拉比亚传中落点极佳，瓦拉内跳起没有顶到球，背后的拉莫斯可能被晃了一下头球顶进自家大门                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
86'恩佐济分边右路的萨拉比亚                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
86'传到禁区，落点不是很好                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
88'约维蒂奇带球到禁区内劲射，被拉莫斯伸脚挡出底线                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
88'维托洛禁区内断球，下底传中被拉莫斯解围                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
88'这球是相当危险                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
88'恩佐济控制一下节奏，帕雷哈交给法利亚诺                   85'塞维利亚第85分钟扳平，萨拉比亚右路任意球传中，拉莫斯力压本-耶德尔头球解围却顶入自家大门
