3'内马尔拿球，分球插上的拉比奥特，来一脚打门                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
3'球被门将没收了                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
4'中场争抢球                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
4'内马尔拿球，快速带球过来，分球姆巴佩，来一脚打门                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
5'球被门将没收                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
6'尼斯前场的打门，球被挡出了底线                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
6'尼斯获得角球机会                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
6'角球开出来，球被解围出来                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
10'内马尔将球反断回来                   10'第10分钟，巴黎错过首开纪录的良机，穆萨-迪亚比左路切入禁区后传中，球被尼斯球员碰了一下被迪马利亚得到，迪马利亚面对半空门的机会射门打中立柱出了底线
11'金彭贝边路传球禁区                   10'第10分钟，巴黎错过首开纪录的良机，穆萨-迪亚比左路切入禁区后传中，球被尼斯球员碰了一下被迪马利亚得到，迪马利亚面对半空门的机会射门打中立柱出了底线
11'迪马利亚插上打门                   10'第10分钟，巴黎错过首开纪录的良机，穆萨-迪亚比左路切入禁区后传中，球被尼斯球员碰了一下被迪马利亚得到，迪马利亚面对半空门的机会射门打中立柱出了底线
11'打到了立柱上，距离进球差那么一点                   10'第10分钟，巴黎错过首开纪录的良机，穆萨-迪亚比左路切入禁区后传中，球被尼斯球员碰了一下被迪马利亚得到，迪马利亚面对半空门的机会射门打中立柱出了底线
12'尼斯前场的传球出现失误                   10'第10分钟，巴黎错过首开纪录的良机，穆萨-迪亚比左路切入禁区后传中，球被尼斯球员碰了一下被迪马利亚得到，迪马利亚面对半空门的机会射门打中立柱出了底线
13'巴黎转换进攻                   10'第10分钟，巴黎错过首开纪录的良机，穆萨-迪亚比左路切入禁区后传中，球被尼斯球员碰了一下被迪马利亚得到，迪马利亚面对半空门的机会射门打中立柱出了底线
13'恩昆库的传球被拦截                   10'第10分钟，巴黎错过首开纪录的良机，穆萨-迪亚比左路切入禁区后传中，球被尼斯球员碰了一下被迪马利亚得到，迪马利亚面对半空门的机会射门打中立柱出了底线
22'迪亚比中路拿球                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
22'进球了！！！！！！                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
22'巴黎率先打破场上的僵局                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
22'内马尔！！                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
24'恩昆库带球突破，倒三角回传，插上的迪亚比拿球，又传球内马尔，将球打进                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
24'继续看比赛吧                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
24'现在是巴黎控制皮球                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
25'场上有人倒地了                   22'第22分钟，巴黎首开纪录，恩昆库倒三角回传，禁区外迪亚比得球后敲给内马尔，内马尔弧顶处起脚远射，球飞入球门右侧直挂死角，巴黎1-0领先尼斯
37'内马尔拿球，被犯规了                   37'第37分钟，拉比奥接边线球突入禁区小角度射门，打在了边网上
37'迪亚比带球，球被踢出了边线                   37'第37分钟，拉比奥接边线球突入禁区小角度射门，打在了边网上
40'拉比奥特外围尝试一脚，球被挡出来                   37'第37分钟，拉比奥接边线球突入禁区小角度射门，打在了边网上
40'外围还是巴黎控制球                   37'第37分钟，拉比奥接边线球突入禁区小角度射门，打在了边网上
46'巴黎前场的进攻                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'迪马利亚转移球出了边线                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'边线球发出来，尼斯这边犯规了                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
