7'他们都叫我烟枪23:06  刚来，梅西复出了么？---梅西要到下一场才复出                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
7'游客4843: 小白最后一射差梅西太多---不过小白关键时刻可不含糊，欧冠和世界杯                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
7'桑切斯~~~                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
7'谁猜他进第一球的，太准啦~~~                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
7'Goooooooooooooooal~~~~~~~~~~~~~                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
8'阿尔巴左边路传中~~~对方3名后卫先后漏过！桑切斯后点拍马赶到将球一垫送入网窝                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
8'小罗: 原来的黑天鹅去哪了？---我记得是去土耳其了吧                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
10'桑切斯在前场抢球犯规了                   7'巴萨第7分钟取得领先，阿尔巴左路绕过埃尔切防线，桑切斯小禁区前冷静垫射破门
16'接到了中路小法的直传~~~佩刀反越位成功盘过了出击的托诺，左脚小角度推射空门！                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
16'游客5731: 哈哈，我就说今天佩刀能进啊---牛~                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
17'虽然埃尔切也能够偶尔威胁巴萨大门                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
17'不过他们的水平跟巴萨还不是一个档次的                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
17'巴萨加强了对博卡耶的防守，宋中场拦截犯规                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
18'游客5731: 好像，这个比赛已经失去悬念了。。。---现在说还为时过早                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
18'巴萨在中场控制节奏~                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
18'佩刀跟阿尔巴的撞墙式配合~~~阿尔巴下底                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
19'传中球被后卫抢先一头顶出边线                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
19'球打回到中场                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
19'小法玩上了~~脚后跟传球很风骚                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
19'佩刀现在拿球颇有巨星风范                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
19'对方两名后卫还轻易抢不下来                   16'巴萨第16分钟扩大比分，法布雷加斯直传贡献本赛季第9次助攻，反越位成功的佩德罗禁区左侧晃过托尼奥后射入空门
27'埃尔切后卫忙中出错，险些在佩德罗的逼抢下失误                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
27'宋又一次放倒了博卡耶                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
27'裁判口头警告了一下                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
27'关于宇宙宋~~~传说阿森纳想买回他                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
28'不过嘛，又舍不得出多少钱                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
28'宋在巴萨除非布教授受伤停赛也很难有机会上场                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
28'埃尔切的桑切斯逼抢动作过大也被裁判警告了一下                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
29'佩刀~~                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
29'门前又有机会~可惜啊！                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
29'哈维的传中~桑切斯已经越位了                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
29'不过后卫解围没有踢远，佩刀门前端射~打高了                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
30'游客1786: 门将呢---反正不会是库尔图瓦                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
30'李鹏程784223:30  宋如果1000多万能送走最好了，没什么用---送走你让谁来打替补？                   27'第27分钟，法布雷加斯传球，佩德罗禁区内右脚射门偏出
36'伊涅斯塔带球反击~                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
36'连过数人之后对球失去了控制~                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
36'后卫先出一脚捅出危险地带                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
37'关键五号23:38  禁区内间接任意球是什么意思？---门将手接后卫回传球要被吹间接定位球的                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
37'小法被桑切斯推倒了~                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
38'裁判给了巴萨一个远距离的前场定位球                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
38'球打回中场~                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
38'游客7848: 小法被桑切斯推倒了~---咋的有意见啊~                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
38'用户upukfkny5n23:40  为啥不会签库尔图瓦。巴萨不是和他有接触吗？---库尔图瓦自己不选择巴萨啊                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
39'HaiBaraLotus23:40  柠檬，A22受什么伤了？怎么连替补里都没有？---是轮休了                   36'第36分钟，托尼奥手接博蒂亚回传球被判禁区内间接任意球，法布雷加斯10码处拨出，哈维连续射门均被封堵
48'游客8823: 柠檬 巴尔特拉现在状态怎么样了---上半场表现不错                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
48'点球~~~                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
48'小法在禁区内被放倒~                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
49'点球由哈维来操刀~                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
49'居然推偏了~~~                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
49'哈维找球门右下角！擦柱而出                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
50'小法刚才是接到佩德罗的外脚背传球~突入禁区制造点球                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
50'内芽雯敏么么哒00:06  柠檬，你觉得巴萨今年拿欧冠机会大吗？---远没有前几年那么大了                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
51'巴萨制造了一个角球                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
51'传前点~后卫头球顶了一下                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
51'空门机会~皮克没赶上啊                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
51'小法挑给右边路的哈维~低平球横扫门前！                   48'第48分钟，萨普纳努禁区内铲倒法布雷加斯，但哈维主罚的点球却偏出右侧立柱
58'伊涅斯塔~还想把球交给桑切斯！                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
58'可惜没能传好                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
58'佩德罗~~~                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
59'内切之后兜弧线~~~可惜啊                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
59'太追求角度了~                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
59'佩刀要是今天运气好点，早就帽子戏法了                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
59'机会真不少                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
60'埃尔切要换人了                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
60'换下了16号菲德尔                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
61'换上的是14号莫拉尔                   58'第58分钟，伊涅斯塔传球，佩德罗禁区左侧15码处弧线球射门擦右侧立柱偏出
69'桑切斯直接打门~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
69'帽子戏法~~~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
69'Gooooooooooooooooal~~~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
69'桑切斯这球太精彩了~~~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
69'新年新气象，桑切斯~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
69'力量角度都是俱佳~~~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
70'球直挂球门右侧~下坠速度太快了，让对方门将托诺触不及防                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
70'以前巴萨是梅西狂进球，现在的巴萨锋线人人都能得分上双~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
71'比赛大局已定，接下来的就是表演赛了                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
72'佩德罗~整个一跑不死                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
72'从前场狂奔几十米带回后场~                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
72'不知道的还以为他突破错了方向呢                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
72'阿尔巴铲倒了对方的7号亚伦                   69'第69分钟，前巴萨青训后卫博蒂亚禁区前铲倒桑切斯被罚黄牌，桑切斯28码处任意球直接射门入网，4-0
84'不过裁判不吹也影响不了大局了                   84'第84分钟，内马尔连续脚后跟传球，伊涅斯塔禁区内在博蒂亚防守下摔倒，裁判拒绝判罚点球
84'特略~假动作骗过后后卫再交门前                   84'第84分钟，内马尔连续脚后跟传球，伊涅斯塔禁区内在博蒂亚防守下摔倒，裁判拒绝判罚点球
84'可惜小法慢了半拍~                   84'第84分钟，内马尔连续脚后跟传球，伊涅斯塔禁区内在博蒂亚防守下摔倒，裁判拒绝判罚点球
85'内马尔被放倒了~                   84'第84分钟，内马尔连续脚后跟传球，伊涅斯塔禁区内在博蒂亚防守下摔倒，裁判拒绝判罚点球
85'裁判果断掏出黄牌                   84'第84分钟，内马尔连续脚后跟传球，伊涅斯塔禁区内在博蒂亚防守下摔倒，裁判拒绝判罚点球
85'给了埃尔切的6号鲁本佩雷兹                   84'第84分钟，内马尔连续脚后跟传球，伊涅斯塔禁区内在博蒂亚防守下摔倒，裁判拒绝判罚点球
85'他故意伸腿阻挡内马尔                   84'第84分钟，内马尔连续脚后跟传球，伊涅斯塔禁区内在博蒂亚防守下摔倒，裁判拒绝判罚点球
