7'埃尔切球员德尔莫拉尔拼抢犯规,对手获得控球权.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
7'迪马利亚为皇家马德里在右路,赢得一个任意球.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
7'黄牌！埃尔切球员德尔莫拉尔因为恶意犯规,被主裁判出示黄牌.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
8'皇家马德里迪马利亚受伤倒地,比赛暂停                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
8'暂停结束,球员们重新开始比赛.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
9'R-佩雷斯为埃尔切在对方半场,赢得一个任意球.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
9'皇家马德里球员拼抢犯规,对手获得控球权.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
9'黄牌！皇家马德里球员拉莫斯因为恶意犯规,被主裁判出示黄牌.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
10'射门!!!埃尔切球员隆班大禁区中央头球,被对方守门员横身扑出.给他传球的是阿尔瓦卡尔.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
10'洛佩兹将球处理出底线,埃尔切获得角球.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
11'埃尔切球员卡莱斯-希尔大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.                   11'第11分钟，阿尔巴卡尔左路传中被解围，吉尔禁区边缘抽射偏出
14'皇家马德里球员C罗大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是摩德里奇.                   11'第11分钟，阿尔巴卡尔左路传中被解围，吉尔禁区边缘抽射偏出
15'射门!!!埃尔切球员哈维-马克斯大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是卡莱斯-希尔.                   15'第15分钟，吉尔传球，哈维-马科斯禁区左侧12码处劲射又被迭戈-洛佩斯扑出
16'阿韦洛亚将球处理出底线,埃尔切获得角球.                   15'第15分钟，吉尔传球，哈维-马科斯禁区左侧12码处劲射又被迭戈-洛佩斯扑出
17'哈维-马克斯为埃尔切在对方半场,赢得一个任意球.                   15'第15分钟，吉尔传球，哈维-马科斯禁区左侧12码处劲射又被迭戈-洛佩斯扑出
17'皇家马德里球员摩德里奇拼抢犯规,对手获得控球权.                   15'第15分钟，吉尔传球，哈维-马科斯禁区左侧12码处劲射又被迭戈-洛佩斯扑出
18'埃尔切球员达米安-苏亚雷斯拼抢犯规,对手获得控球权.                   15'第15分钟，吉尔传球，哈维-马科斯禁区左侧12码处劲射又被迭戈-洛佩斯扑出
18'摩德里奇为皇家马德里赢得一个任意球.                   15'第15分钟，吉尔传球，哈维-马科斯禁区左侧12码处劲射又被迭戈-洛佩斯扑出
26'皇家马德里球员C罗大禁区中央右脚射门,被防守球员封堵.给他传球的是本泽马.                   26'第26分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵
26'埃尔切球员马努-赫雷拉一脚直塞球给科罗,但是边裁举旗显示后者已经越位.                   26'第26分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵
28'埃尔切球员哈维-马克斯大禁区中央尝试左脚射门,可惜皮球高出球门.                   26'第26分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵
28'R-佩雷斯为埃尔切赢得一个任意球.                   26'第26分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵
28'皇家马德里球员C罗拼抢犯规,对手获得控球权.                   26'第26分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵
32'皇家马德里球员C罗大禁区右侧左脚射门,被防守球员封堵.给他传球的是佩佩.                   32'第32分钟，佩佩传球，C-罗纳尔多禁区右侧的射门再次被封堵
32'皇家马德里球员迪马利亚一脚直塞球给科恩特朗,但是边裁举旗显示后者已经越位.                   32'第32分钟，佩佩传球，C-罗纳尔多禁区右侧的射门再次被封堵
34'科罗为埃尔切在对方半场,赢得一个任意球.                   32'第32分钟，佩佩传球，C-罗纳尔多禁区右侧的射门再次被封堵
34'皇家马德里球员拼抢犯规,对手获得控球权.                   32'第32分钟，佩佩传球，C-罗纳尔多禁区右侧的射门再次被封堵
34'埃尔切球员博蒂亚被主裁判出示了一张黄牌.                   32'第32分钟，佩佩传球，C-罗纳尔多禁区右侧的射门再次被封堵
35'埃尔切球员阿尔瓦卡尔大禁区外尝试左脚射门,可惜皮球偏出球门.                   32'第32分钟，佩佩传球，C-罗纳尔多禁区右侧的射门再次被封堵
39'射门!!!皇家马德里球员迪马利亚大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是摩德里奇.                   39'第39分钟，迪马利亚禁区左侧的射门被埃雷拉救下
