1'上半场比赛开始！                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
1'上半场由恒大率先中圈开球                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
1'梅方控球，交给黄博文，分边给了张琳芃                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
1'再一顺，黄博文传中被姜积弘大脚解围                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
2'郑智长传上来，郜林卸下球来回传给张琳芃                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
2'横传给黄博文，再横传，保利尼奥控球                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
2'短传被许博铲断，穆伦加推进带丢了                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
3'荣昊外围抡一脚，打嗤了                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
3'郑智中场断球交给高拉特，荣昊接应回传给郑智                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
3'郑智转移到右路的张琳芃                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
3'与黄博文做二过一配合，张琳芃没有插上                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
3'恒大后场倒脚，保利尼奥控球在观察                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
4'毛里西奥断球，横传被黄博文抢断                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
4'穆伦加马上卡住位置，黄博文背后拉人犯规                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
4'穆伦加前场做支点，交给毛里西奥，回传给崔鹏                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
4'分边给吕建军                   1'第1分钟恒大迅速展开积极冲击，永昌外援穆伦加与毛里西奥均回撤半场参与防守
6'高拉特反击中直传，阿兰形成单刀，回追的赵荣亨将球捅走并带倒了阿兰！                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
6'点球判罚基本可以说是错误！                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
7'郜林大力抽射球门左下角被关震极速倒地将球扑出！                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
8'高拉特推进，拉球过人，分边右路                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
8'张琳芃进了禁区，强行传打在糜昊伦身上                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
8'毛剑卿回来协防将球抢断，开大脚踢在了黄博文脚上出边线                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
9'姜积弘长传上来，张琳芃顶一下                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
9'保利尼奥抢断穆伦加脚下球分边左路的阿兰                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
9'直传找到郜林，护好球，赵荣亨贴住他                   6'恒大在第6分钟错过点球机会：高拉特塞球助阿兰反越位前插，阿兰进入禁区后与回追的赵荣亨接触倒地，执法此战的年轻裁判沈寅豪判定点球，并向赵荣亨出示黄牌；郜林操刀点球被永昌门将关震扑出
46'恒大在上半场补时阶段还要准备换人                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
46'高拉特左路内切远射，打偏了一点                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
46'恒大换人，35号李学鹏换下了33号荣昊                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
47'关震门球发上来，出了边线                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
47'恒大在后场倒脚                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
47'上半场比赛结束！                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
46'下半场比赛开始                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
46'下半场由永昌中圈开球                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
46'糜昊伦直传，毛里西奥过来没有将球停好                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
47'于汉超中场盘带，外脚背传球直接传出边线                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
47'吕建军掷界外球，金英权抢前解围                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
47'保利尼奥直传弧顶外，郜林横敲                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
48'高拉特突破过不了崔鹏                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
48'糜昊伦带球上来，横传交给李春郁，张琳芃上抢犯规                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
48'张琳芃上抢犯规                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
49'许博任意球远射打在人墙上                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
49'高拉特中场接应挑球过人，崔鹏战术犯规                   46'广州正值降雨天气，比赛第1分钟雨势有加大趋势
24'毛剑卿接应被张琳芃背后踢倒                   24'第24分钟，恒大渗透攻势取得入球，但因高拉特越位被判定无效
24'李春郁发任意球，姜积弘头球摆渡顶出了底线                   24'第24分钟，恒大渗透攻势取得入球，但因高拉特越位被判定无效
26'张琳芃交给黄博文，崔鹏铲倒了黄博文犯规                   24'第24分钟，恒大渗透攻势取得入球，但因高拉特越位被判定无效
40'毛里西奥回接，荣昊绊倒对手                   40'第40分钟，荣昊前场拼抢中蹬踏侵犯毛里西奥，领到黄牌
40'荣昊被黄牌警告！                   40'第40分钟，荣昊前场拼抢中蹬踏侵犯毛里西奥，领到黄牌
42'穆伦加前场争顶对梅方犯规                   40'第40分钟，荣昊前场拼抢中蹬踏侵犯毛里西奥，领到黄牌
42'荣昊横传弧顶处，阿兰停球变向左脚打门打嗤了                   40'第40分钟，荣昊前场拼抢中蹬踏侵犯毛里西奥，领到黄牌
43'毛里西奥右路上来接应长传传中打在了荣昊身上出底线                   40'第40分钟，荣昊前场拼抢中蹬踏侵犯毛里西奥，领到黄牌
43'永昌获得一个前场右路的角球机会                   40'第40分钟，荣昊前场拼抢中蹬踏侵犯毛里西奥，领到黄牌
45'毛剑卿卡住位置，张琳芃扑上来撞在毛剑卿身上倒地并手碰球犯规                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
45'高拉特一顺，毛剑卿卡住位置                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
45'毛里西奥右路直传，穆伦加斜扦来劲射被曾诚用脚挡出！                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
45'上半场补时2分钟                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
46'恒大在上半场补时阶段还要准备换人                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
46'高拉特左路内切远射，打偏了一点                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
46'恒大换人，35号李学鹏换下了33号荣昊                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
47'关震门球发上来，出了边线                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
47'恒大在后场倒脚                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
47'上半场比赛结束！                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
46'下半场比赛开始                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
46'下半场由永昌中圈开球                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
46'糜昊伦直传，毛里西奥过来没有将球停好                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
47'于汉超中场盘带，外脚背传球直接传出边线                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
47'吕建军掷界外球，金英权抢前解围                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
47'保利尼奥直传弧顶外，郜林横敲                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
48'高拉特突破过不了崔鹏                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
48'糜昊伦带球上来，横传交给李春郁，张琳芃上抢犯规                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
48'张琳芃上抢犯规                   45'第45分钟，毛里西奥右路强行内切后分球，穆伦加禁区右侧大力攻门被曾诚用脚封出
48'高拉特突破过不了崔鹏                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
48'糜昊伦带球上来，横传交给李春郁，张琳芃上抢犯规                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
48'张琳芃上抢犯规                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
49'许博任意球远射打在人墙上                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
49'高拉特中场接应挑球过人，崔鹏战术犯规                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
50'高拉特交给郜林，郜林挑过顶球                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
50'关震出击及时抢在高拉特 之前将球没收                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
50'李学鹏左路传球，弧线太高了                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
50'禁区右边缘张琳芃停球变向被糜昊伦绊倒                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
51'恒大获得禁区右边线外一点的任意球机会                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
51'李学鹏发任意球传中，许博头球解围                   48'第48分钟，郜林挑传永昌禁区，关震抢在前插的高拉特前将球破坏
54'永昌后卫解围，前场很空啊                   53'双方在第53分钟形成快节奏攻防，先是保利尼奥策动恒大快速反击，永昌得球后也迅速反扑，毛剑卿左路反越位前插后斜线吊射打偏
54'毛剑卿左路插上面对出击的曾诚直接挑射空门，可惜打偏了                   53'双方在第53分钟形成快节奏攻防，先是保利尼奥策动恒大快速反击，永昌得球后也迅速反扑，毛剑卿左路反越位前插后斜线吊射打偏
54'这球毛剑卿太着急了，本来是一次双鬼拍门的机会                   53'双方在第53分钟形成快节奏攻防，先是保利尼奥策动恒大快速反击，永昌得球后也迅速反扑，毛剑卿左路反越位前插后斜线吊射打偏
56'毛剑卿带球内切，倒地！                   53'双方在第53分钟形成快节奏攻防，先是保利尼奥策动恒大快速反击，永昌得球后也迅速反扑，毛剑卿左路反越位前插后斜线吊射打偏
56'裁判没有吹点球                   53'双方在第53分钟形成快节奏攻防，先是保利尼奥策动恒大快速反击，永昌得球后也迅速反扑，毛剑卿左路反越位前插后斜线吊射打偏
56'毛里西奥反应非常激烈                   53'双方在第53分钟形成快节奏攻防，先是保利尼奥策动恒大快速反击，永昌得球后也迅速反扑，毛剑卿左路反越位前插后斜线吊射打偏
56'毛里西奥拿到了黄牌！                   53'双方在第53分钟形成快节奏攻防，先是保利尼奥策动恒大快速反击，永昌得球后也迅速反扑，毛剑卿左路反越位前插后斜线吊射打偏
59'阿兰要球交给李学鹏                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
59'李学鹏传到门前，保利尼奥停球，关震抢在于汉超之前将球没收                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
60'阿兰带球到禁区犄角，传中，后点没有队友                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
61'毛剑卿左路传中，穆伦加头球回做                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
61'李春郁跟进没有第一时间打门                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
61'调整几下后再打被李学鹏飞身堵枪眼                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
62'张琳芃传中，赵荣亨头球顶得不远                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
62'后点李学鹏回做，保利尼奥跟进打门打飞了！                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
62'不过这球李学鹏传中前已经先越位                   59'第59分钟，李学鹏左路传中后保利尼奥将球挡向门前，于汉超捅射再次被关震封堵
64'糜昊伦左路低平球斜传门前，穆伦加后插上铲射，球擦着右边立柱出底线                   64'永昌在第64分钟再次错过机会：糜昊伦左路斜传策动攻势，穆伦加后点飞身包抄稍稍打偏
64'其实永昌获得的机会更接近进球                   64'永昌在第64分钟再次错过机会：糜昊伦左路斜传策动攻势，穆伦加后点飞身包抄稍稍打偏
65'恒大右路的任意球机会                   64'永昌在第64分钟再次错过机会：糜昊伦左路斜传策动攻势，穆伦加后点飞身包抄稍稍打偏
67'毛里西奥右路传中，梅方门前鱼跃头球解围                   64'永昌在第64分钟再次错过机会：糜昊伦左路斜传策动攻势，穆伦加后点飞身包抄稍稍打偏
74'张琳芃右路起球传中又过不了姜积弘                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
75'于汉超左路下底传中，崔鹏头球顶向自家大门！                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
75'这球堪比攻门，还好关震将球接住                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
75'恒大换人，27号郑龙换下了29号郜林！                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
77'高拉特右路加速突破传中被李春郁伸脚拦截出底线                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
77'恒大前场右路的角球机会                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
77'黄博文角球发得也是太低                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
77'第二点的争夺，张琳芃上抢犯规                   74'第74分钟，场上出现花絮式镜头：于汉超左路下底传中，禁区中路的阿兰没有顶到，而崔鹏解围时形成了发力头球攻门的效果，好在角度很正被关震没收
85'张琳芃右路带球上来交给阿兰，阿兰停球转身过不了赵荣亨                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
85'毛里西奥右路下底传中，穆伦加抢点没有碰到球                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
85'后点还有人，孙昊盛铲射也是踢空了                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
86'于汉超左路内切弧线球打远角，关震飞身将球扑了一下！再将球拿住！                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
86'保利尼奥中场上抢成功                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
86'高拉特接应分给禁区右侧                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
86'张琳芃跟进上来传中打在糜昊伦头上出底线                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
87'郑龙旋前点，保利尼奥没有顶到球                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
87'被赵荣亨头球顶出禁区                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
87'吕建军断球，穆伦加前场接应分左路                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
88'张琳芃倒地铲球成功                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
88'连续传球，高拉特左路内切传球打在后卫身上                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
88'恒大的阵型已经分开了两段                   85'第85分钟，于汉超外围弧线球攻门被关震封堵
