6'巴克利右路这里很空，杀进禁区回传                   6']第6分钟，巴克利传球，罗德维尔禁区内的连续射门均被萨巴莱塔封堵
6'罗德维尔的推射被德米凯利斯用脚挡出                   6']第6分钟，巴克利传球，罗德维尔禁区内的连续射门均被萨巴莱塔封堵
7'曼城中场的短传配合，约维蒂奇得球时被拉尔森绊倒                   6']第6分钟，巴克利传球，罗德维尔禁区内的连续射门均被萨巴莱塔封堵
8'德米凯利斯的回传力量有点小，乔哈特冲出禁区帮忙                   6']第6分钟，巴克利传球，罗德维尔禁区内的连续射门均被萨巴莱塔封堵
8'克里希左路套上，倒三角传中，球被奥谢解围                   6']第6分钟，巴克利传球，罗德维尔禁区内的连续射门均被萨巴莱塔封堵
9'威克姆前场停球转身后球被波亚塔拦截                   6']第6分钟，巴克利传球，罗德维尔禁区内的连续射门均被萨巴莱塔封堵
20'桑德兰反击先进一球！萨巴莱塔的乌龙球                   19'桑德兰第19分钟取得领先，塞巴斯蒂安-拉尔森直传，萨巴莱塔10码处铲球解围打在维克汉姆腿上偏转弹入大门
20'[此时此刻值得来杯嘉士伯]                   19'桑德兰第19分钟取得领先，塞巴斯蒂安-拉尔森直传，萨巴莱塔10码处铲球解围打在维克汉姆腿上偏转弹入大门
20'威克姆与弗莱彻简单的二过一配合撕破了曼城防线来到禁区，萨巴莱塔回防救架心切倒地铲球解围却把球误踢入自家大网                   19'桑德兰第19分钟取得领先，塞巴斯蒂安-拉尔森直传，萨巴莱塔10码处铲球解围打在维克汉姆腿上偏转弹入大门
21'上半场进行了20分钟，主场作战的桑德兰暂时1：0领先                   19'桑德兰第19分钟取得领先，塞巴斯蒂安-拉尔森直传，萨巴莱塔10码处铲球解围打在维克汉姆腿上偏转弹入大门
21'曼城幸好有阿圭罗，马上扳平了                   19'桑德兰第19分钟取得领先，塞巴斯蒂安-拉尔森直传，萨巴莱塔10码处铲球解围打在维克汉姆腿上偏转弹入大门
21'[此时此刻值得来杯嘉士伯]                   19'桑德兰第19分钟取得领先，塞巴斯蒂安-拉尔森直传，萨巴莱塔10码处铲球解围打在维克汉姆腿上偏转弹入大门
22'阿圭罗禁区外得球扣过一人进了禁区一脚爆射破网                   19'桑德兰第19分钟取得领先，塞巴斯蒂安-拉尔森直传，萨巴莱塔10码处铲球解围打在维克汉姆腿上偏转弹入大门
78'曼城在倒着脚，回到德米凯利斯脚下                   78'第33分钟，纳瓦斯传球，阿圭罗禁区右侧的斜射同样偏出
78'波亚塔也拿一下球，雷维埃断球长传找到阿尔蒂多尔                   78'第33分钟，纳瓦斯传球，阿圭罗禁区右侧的斜射同样偏出
78'阿尔蒂多尔的下底传中打在波亚塔身上出了底线                   78'第33分钟，纳瓦斯传球，阿圭罗禁区右侧的斜射同样偏出
78'奥谢与科茨也走进对方禁区                   78'第33分钟，纳瓦斯传球，阿圭罗禁区右侧的斜射同样偏出
79'拉尔森角球送到后点，阿尔瓦雷斯点到中路，乔哈特将球没收                   78'第33分钟，纳瓦斯传球，阿圭罗禁区右侧的斜射同样偏出
79'下半场比赛进行了35分钟，曼城客场4：1领先                   78'第33分钟，纳瓦斯传球，阿圭罗禁区右侧的斜射同样偏出
87'巴克利左路想生趟过萨巴莱塔，体力不如上半场了                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
87'常规时间剩下2分钟                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
88'纳瓦斯来到左路得球内切后打门也是打高了                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
88'费尔南迪奥中场防守犯规                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
89'费尔南迪奥带球过了半场，直传对方后卫身后                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
89'科茨返身还是比较迅速，回传给潘蒂利蒙大脚解围                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
89'下半场比赛补时3分钟                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
90'兰帕德也尝试一脚远射，同样是高出横梁                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
90'阿尔蒂多尔接应门将大脚球胸部停球下来                   87'第42分钟，约维蒂奇传球，阿圭罗摆脱3人后禁区右侧射门偏出远角
