1'上半场比赛开始                   1'两支主打防守反击的球队在第1分钟都不算保守
1'建业率先开球                   1'两支主打防守反击的球队在第1分钟都不算保守
1'球到后场右路，出了边线                   1'两支主打防守反击的球队在第1分钟都不算保守
1'尹鸿博拿球横敲，延边断球，球到了王国明脚下                   1'两支主打防守反击的球队在第1分钟都不算保守
2'建业前场断球，球到左路                   1'两支主打防守反击的球队在第1分钟都不算保守
2'买提江直塞球，左路回敲，没形成默契                   1'两支主打防守反击的球队在第1分钟都不算保守
2'河太均前场拿球回敲                   1'两支主打防守反击的球队在第1分钟都不算保守
2'球到左路，李勋左路拿球被踢出边线                   1'两支主打防守反击的球队在第1分钟都不算保守
3'延边左路转移球到右路                   1'两支主打防守反击的球队在第1分钟都不算保守
3'中场起球到禁区前，被踢倒了                   1'两支主打防守反击的球队在第1分钟都不算保守
3'尹比加兰禁区外被踢倒，延边定位球                   1'两支主打防守反击的球队在第1分钟都不算保守
4'任意球给到左路，回敲禁区前                   1'两支主打防守反击的球队在第1分钟都不算保守
4'尹比加兰横敲右路，出了边线                   1'两支主打防守反击的球队在第1分钟都不算保守
13'王飞右路下底传中被挡出底线                   13'第13分钟，河南建业打破僵局，伊沃角球传中直接吊向后角，池文一准备不足回撤中勉强将球托出，但刚好给了后点的麦克格文头球摆渡机会，门前的戈麦斯抢点将球打进，河南建业1-0领先
13'伊沃来踢                   13'第13分钟，河南建业打破僵局，伊沃角球传中直接吊向后角，池文一准备不足回撤中勉强将球托出，但刚好给了后点的麦克格文头球摆渡机会，门前的戈麦斯抢点将球打进，河南建业1-0领先
13'建业打破僵局                   13'第13分钟，河南建业打破僵局，伊沃角球传中直接吊向后角，池文一准备不足回撤中勉强将球托出，但刚好给了后点的麦克格文头球摆渡机会，门前的戈麦斯抢点将球打进，河南建业1-0领先
14'伊沃角球传后点直奔球门飞去，池文一勉强挡出，球到左侧，左侧建业球员横顶，戈麦斯头球接力顶进                   13'第13分钟，河南建业打破僵局，伊沃角球传中直接吊向后角，池文一准备不足回撤中勉强将球托出，但刚好给了后点的麦克格文头球摆渡机会，门前的戈麦斯抢点将球打进，河南建业1-0领先
16'李晓明左路斜传禁区，哈维尔没碰到                   13'第13分钟，河南建业打破僵局，伊沃角球传中直接吊向后角，池文一准备不足回撤中勉强将球托出，但刚好给了后点的麦克格文头球摆渡机会，门前的戈麦斯抢点将球打进，河南建业1-0领先
16'建业前场断球，禁区左侧，哈维尔拼抢，将球踢出底线                   13'第13分钟，河南建业打破僵局，伊沃角球传中直接吊向后角，池文一准备不足回撤中勉强将球托出，但刚好给了后点的麦克格文头球摆渡机会，门前的戈麦斯抢点将球打进，河南建业1-0领先
27'延边 中场起球到禁区前，冯卓毅犯规                   27'第27分钟，延边富德获得前场任意球，尹鸿博不满判罚被黄牌警告，延边远射被挡出，河南建业趁机快速反击，伊沃送出斜塞，尹鸿博弧线球传后点，头球摆渡被门前后卫抢先解围
