8'卡斯泰拉诺左路直传                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
8'球被断了                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
8'克罗斯组织，分右路的卡瓦哈尔                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
8'贝尔接应                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
8'回传给克罗斯                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
8'转移给了摩德里奇                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
9'摩德里奇中路直塞，伊斯科反越位成功单刀了，伊斯科冷静推射球门右下角球进！                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
9'这球伊斯科是从弱侧斜插过来，好像有点越位，我们要再看看慢镜                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
9'但比分已经是1：0                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
9'比格斯左路突进回传                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
10'博阿滕中路接应，分到右路                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
10'塔纳禁区右侧得球                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
10'小角度打门破门！                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
11'塔纳禁区外背身得球转身过掉拉莫斯突到禁区右侧劲射近角破门！                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
11'拉斯帕尔马斯迅速扳平了比分                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
11'格维多回传失误                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
47'塔纳中场直传，赫塞没有冲起来                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
47'伊斯科直传，C罗传中，莫拉塔没有抢到点，莱莫斯将球铲出底线                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
47'克罗斯角球传中被阿尔瓦雷斯头球解围                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
48'贝尔右路得球内切自己打一脚，力量不足，门将将球没收                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
48'拉斯帕尔马斯倒脚没有传好                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
49'马塞洛长传到对方禁区，莱莫斯头球顶得见高不见远，不过C罗打门打嗤了                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
49'上半场比赛结束！                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
47'又是马塞洛做墙传球，传得不好                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
47'瓦拉斯长传上中场                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
47'卡瓦哈尔就地反抢，直传给太小了，比埃拉抢断                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
48'贝尔背后踢了比埃拉两脚！                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
48'裁判向贝尔出示第二张黄牌，两黄变一红，贝尔被罚出场！                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
49'到皇马的下半场开局如此不利                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
49'莱莫斯控球，分边左路给了卡斯泰拉诺                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
50'比埃拉的控球，被断了克罗斯推进                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
50'克罗斯护球被戈麦斯推倒                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
50'皇马在前场左路的任意球机会                   47'皇马第47分钟遭遇打击，贝尔前场背后踢比埃拉犯规被罚黄牌，后者起身推搡指责，贝尔又将对方推倒在地，威尔士人被红牌直接罚下
56'拉莫斯也被黄牌警告                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
56'比埃拉打球门左侧，纳瓦斯挡了一下但球还是入网！                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
56'皇马主场1：2落后，而且少打一人！                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
57'比赛继续                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
