14'罗马球员托蒂大禁区外右脚射门,被防守球员封堵.                   14'第14分钟，托蒂左路任意球打在人墙上高出
14'蒙托利沃将球处理出底线,罗马获得角球.                   14'第14分钟，托蒂左路任意球打在人墙上高出
17'AC米兰球员蒙托利沃一脚直塞球给梅内斯,但是边裁举旗显示后者已经越位.                   14'第14分钟，托蒂左路任意球打在人墙上高出
48'AC米兰受伤倒地,比赛暂停                   48'3分钟后，托蒂左路主罚任意球，直接小角度轰门被迭戈-洛佩斯托出横梁
48'暂停结束,球员们重新开始比赛.                   48'3分钟后，托蒂左路主罚任意球，直接小角度轰门被迭戈-洛佩斯托出横梁
50'本田圭佑为AC米兰在右路,赢得一个任意球.                   48'3分钟后，托蒂左路主罚任意球，直接小角度轰门被迭戈-洛佩斯托出横梁
50'罗马球员José Holebas拼抢犯规,对手获得控球权.                   48'3分钟后，托蒂左路主罚任意球，直接小角度轰门被迭戈-洛佩斯托出横梁
51'射门!!!AC米兰球员梅内斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是本田圭佑.                   48'3分钟后，托蒂左路主罚任意球，直接小角度轰门被迭戈-洛佩斯托出横梁
38'射门!!!AC米兰球员梅克斯右脚射门,被对方守门员横身扑出.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
38'德桑蒂斯将球处理出底线,AC米兰获得角球.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
39'AC米兰球员阿尔梅罗拼抢犯规,对手获得控球权.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
39'托蒂为罗马赢得一个任意球.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
39'黄牌！AC米兰球员阿尔梅罗因为恶意犯规,被主裁判出示黄牌.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
39'博内拉将球处理出底线,罗马获得角球.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
40'阿尔梅罗将球处理出底线,罗马获得角球.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
41'罗马球员托蒂大禁区外右脚射门,被防守球员封堵.给他传球的是雅尼加-姆比瓦.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
41'本田圭佑为AC米兰赢得一个任意球.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
41'罗马球员凯塔拼抢犯规,对手获得控球权.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
41'AC米兰球员梅克斯拼抢犯规,对手获得控球权.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
41'热尔维尼奥为罗马赢得一个任意球.                   38'第38分钟，梅克斯在门前40米处劲射直奔左上角，德桑克蒂斯单手托出横梁
