1'比赛开始了                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
1'今天张呈栋重回主力阵容                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
2'今天北京队的后腰组合还是马季奇和河大成                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
2'周挺右路传中，王亮将球控制住                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
3'张呈栋带球内切，和巴塔拉做配合                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
3'巴塔拉在严防之下把球丢了                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
3'耶夫蒂奇边路传中，杨智将球得到                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
3'格隆此战复出，之前他停赛了几轮？A.2轮  B.3轮  C.4轮 [qiangda]                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
4'张稀哲左路内切一脚远射打偏了                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
7'辽宁队大脚把球踢到禁区里，杨智将球打出禁区                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
7'北京国安队发动反击，弋腾将球解围                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
7'北京国安队获得角球的机会                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
7'张稀哲角球发到前点，张呈栋攻门顶偏了                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
8'张呈栋今天头顶扎了个辫子                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
