10'卡瓦尼禁区前沿直塞！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
10'被挡出去！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
10'维拉蒂得球分内马尔！失误了！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
10'昂热的反击！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
10'塔伊特左侧远射！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
10'布冯扑出右侧底线！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
10'昂热右侧角球！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
10'给前点被解围了！                   9'第9分钟，泰特左侧内切后劲射，布冯倒地将球扑出
18'卡瓦尼插上凌空抽射！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
18'球打入左下角！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
18'但是边裁示意越位在先！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
18'慢镜头看这个判罚没有问题！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
18'裁判跟VAR确认！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
18'是越位在先！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
20'巴黎中场断球反击！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
20'阿尔维斯禁区右侧挑传禁区中路！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
20'内马尔鱼跃头球攻门！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
20'球进了！！！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
20'巴西老乡之间的配合！                   18'第18分钟，阿尔维斯挑传禁区，卡瓦尼小角度劲射破门，但主裁判示意越位在先进球无效
38'巴黎右侧传中！                   37'第37分钟，卡瓦尼头球攻门高出横梁
38'中路卡瓦尼头球攻门！                   37'第37分钟，卡瓦尼头球攻门高出横梁
38'球顶高了！                   37'第37分钟，卡瓦尼头球攻门高出横梁
50'阿尔维斯后场分球！                   47'下半时双方易边再战，第47分钟，内马尔在禁区左侧突破后传中，卡瓦尼面对空门近距离推射被解围
65'昂热获得前场左侧任意球！                   65'第65分钟，泰特左侧任意球传中，特劳雷头球顶偏
65'任意球传中到后点！                   65'第65分钟，泰特左侧任意球传中，特劳雷头球顶偏
66'争顶出了右侧底线！                   65'第65分钟，泰特左侧任意球传中，特劳雷头球顶偏
66'巴黎门球！                   65'第65分钟，泰特左侧任意球传中，特劳雷头球顶偏
68'阿德莱德左侧内切！                   65'第65分钟，泰特左侧任意球传中，特劳雷头球顶偏
68'直接远射！球打偏了！                   65'第65分钟，泰特左侧任意球传中，特劳雷头球顶偏
75'昂热获得前场右侧任意球！                   75'第75分钟，埃尔哈里右侧定位球传中，桑塔马里亚头球破门，主裁判示意昂热越位在先进球无效
75'长传禁区中路！                   75'第75分钟，埃尔哈里右侧定位球传中，桑塔马里亚头球破门，主裁判示意昂热越位在先进球无效
75'桑塔玛利亚头球破门！                   75'第75分钟，埃尔哈里右侧定位球传中，桑塔马里亚头球破门，主裁判示意昂热越位在先进球无效
75'但是给了越位在先！                   75'第75分钟，埃尔哈里右侧定位球传中，桑塔马里亚头球破门，主裁判示意昂热越位在先进球无效
78'巴黎换人了！德拉克斯勒换下迪马利亚！                   75'第75分钟，埃尔哈里右侧定位球传中，桑塔马里亚头球破门，主裁判示意昂热越位在先进球无效
78'马尔基尼奥斯长传前场左侧！                   75'第75分钟，埃尔哈里右侧定位球传中，桑塔马里亚头球破门，主裁判示意昂热越位在先进球无效
85'昂热前场断球！                   85'第85分钟，马尔基尼奥斯禁区内放倒肯加，主裁判吹罚点球，并将马尔基尼奥斯直接红牌罚下，泰特主罚的点球被布冯扑出，但泰特跟上补射破门，昂热追回一球1-2落后巴黎
85'直塞禁区内！                   85'第85分钟，马尔基尼奥斯禁区内放倒肯加，主裁判吹罚点球，并将马尔基尼奥斯直接红牌罚下，泰特主罚的点球被布冯扑出，但泰特跟上补射破门，昂热追回一球1-2落后巴黎
85'射门被防守球员挡出！                   85'第85分钟，马尔基尼奥斯禁区内放倒肯加，主裁判吹罚点球，并将马尔基尼奥斯直接红牌罚下，泰特主罚的点球被布冯扑出，但泰特跟上补射破门，昂热追回一球1-2落后巴黎
