3'曹赟定大范围斜长传找高迪，高迪面对贴身防守没有拿到球                   3'第3分钟申花中卫保罗犯规吃到黄牌，米西莫维奇任意球高出门楣
3'米西莫维奇禁区内单刀面对耿晓峰，起脚打门，球被耿晓峰扑出                   3'第3分钟申花中卫保罗犯规吃到黄牌，米西莫维奇任意球高出门楣
4'高迪右路传中，哈迪布高高跃起，但没有顶到皮球                   3'第3分钟申花中卫保罗犯规吃到黄牌，米西莫维奇任意球高出门楣
5'保罗禁区前沿犯规领到一张黄牌，人和获得定位球                   3'第3分钟申花中卫保罗犯规吃到黄牌，米西莫维奇任意球高出门楣
5'米西莫维奇右脚射门兜出一脚弧线球，结果打偏了                   3'第3分钟申花中卫保罗犯规吃到黄牌，米西莫维奇任意球高出门楣
6'申花中场断球成功，面对人和逼抢从容将球回到后场                   3'第3分钟申花中卫保罗犯规吃到黄牌，米西莫维奇任意球高出门楣
9'饶伟辉左路突破背后推人犯规                   9'第9分钟于海左路突破漂亮过掉曹秉局，但他的小角度射门被曹S定挡了一下后被耿晓峰没收
9'[qiangda]大上海共有哪几支中超球队？                   9'第9分钟于海左路突破漂亮过掉曹秉局，但他的小角度射门被曹S定挡了一下后被耿晓峰没收
10'徐亮中线附近左脚外脚背送出一脚直传，第一点被萨利拿到                   9'第9分钟于海左路突破漂亮过掉曹秉局，但他的小角度射门被曹S定挡了一下后被耿晓峰没收
11'于海左路突破成功，底线传中时皮球被耿晓峰倒地拿到                   9'第9分钟于海左路突破漂亮过掉曹秉局，但他的小角度射门被曹S定挡了一下后被耿晓峰没收
12'陈杰防守时手球犯规                   9'第9分钟于海左路突破漂亮过掉曹秉局，但他的小角度射门被曹S定挡了一下后被耿晓峰没收
19'人和中场断球反击推进，米西莫维奇右路传中找到后点，耿晓峰及时出击将球抱住                   18'第18分钟于海拼抢中吃到黄牌
19'边裁举旗示意曹赟定越位                   18'第18分钟于海拼抢中吃到黄牌
20'[qiangda]上海申花目前排名第几？                   18'第18分钟于海拼抢中吃到黄牌
