1'上半场比赛开始！                   1'利物浦第1分钟就展开积极攻势
1'南安普敦率先中圈开球                   1'利物浦第1分钟就展开积极攻势
1'球到左路，萨科大脚解围                   1'利物浦第1分钟就展开积极攻势
1'塔迪奇左路做球到禁区，被米尼奥莱拿到                   1'利物浦第1分钟就展开积极攻势
2'拉拉纳右路拿球，分球被破坏                   1'利物浦第1分钟就展开积极攻势
2'南安普敦左路反击，塔迪奇扫门前                   1'利物浦第1分钟就展开积极攻势
2'还是被米尼奥莱拿到                   1'利物浦第1分钟就展开积极攻势
2'斯科特尔拿球分右路，克莱因回敲                   1'利物浦第1分钟就展开积极攻势
3'南安普敦前场逼抢比较紧                   1'利物浦第1分钟就展开积极攻势
3'米尔纳右路拿球，塞肋部，拉拉纳脚后跟做球                   1'利物浦第1分钟就展开积极攻势
3'有点想当然了，没有队友跟上                   1'利物浦第1分钟就展开积极攻势
4'克莱因右路助攻，直塞禁区前                   1'利物浦第1分钟就展开积极攻势
4'库蒂尼奥调整一步，打门被封堵出去                   1'利物浦第1分钟就展开积极攻势
4'利物浦拿到一个角球机会                   1'利物浦第1分钟就展开积极攻势
4'角球去前点，詹垫射打偏                   1'利物浦第1分钟就展开积极攻势
39'任意球去后点，范迪伊克头球攻门被米尼奥莱扑出！                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
39'角球去前点，高度不够                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
39'塔迪奇再起球，后点范迪伊克摆渡到门前                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
39'卢卡斯门前头球解围                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
40'拉拉纳中场拿球被万亚马绊倒                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
40'库蒂尼奥拿球转身突破，被阻挡                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
41'卢卡斯带球被马内断下                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
41'佩莱做球反击，被断                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
41'莫雷诺左路插上接应斜传，打门高了                   39'南安普敦第39分钟险些破门，史蒂文-戴维斯任意球传中，范迪克小禁区边缘冲顶被米尼奥莱神勇扑出
77'莫雷诺左路拿球，直塞找菲尔米诺                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
77'詹斜传右路，克莱因回敲                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
77'利物浦进球了！！！                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
77'本特克！！！                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
78'米尔纳右路45度角传中，本特克中路头球冲顶破门！                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
78'利物浦1-0领先南安普敦！                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
78'此时此刻值得来杯嘉士伯                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
78'场边的克洛普兴奋异常                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
79'佩莱中场拿球，分右路                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
79'贝特兰德左路内切，给到万亚马                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
79'普洛斯右路拿球传中，贝特兰德头球没顶上                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
80'库蒂尼奥越位位置回接                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
80'菲尔米诺逼抢普洛斯，球出边线                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
80'南安普敦换人，拉米雷斯换下戴维斯                   77'利物浦第77分钟打破僵局，米尔纳右路传中，本特克12码处强力头球破门
86'任意球去后点                   86'但南安普敦第86分钟扳平，丰特和拉米雷斯任意球混战中连续头球摆渡，马内近距离将皮球撞过门线，1-1
86'南安普敦进球！                   86'但南安普敦第86分钟扳平，丰特和拉米雷斯任意球混战中连续头球摆渡，马内近距离将皮球撞过门线，1-1
86'马内！！！                   86'但南安普敦第86分钟扳平，丰特和拉米雷斯任意球混战中连续头球摆渡，马内近距离将皮球撞过门线，1-1
87'后点拉米雷斯头球摆渡，另一侧马内用身体把球挡进球门！                   86'但南安普敦第86分钟扳平，丰特和拉米雷斯任意球混战中连续头球摆渡，马内近距离将皮球撞过门线，1-1
