11'瓜林任意球进禁区，被顶出来                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
12'比埃拉分右路，朴成倒三角回禁区前                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
12'比埃拉过人进禁区，倒地了                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
12'裁判没有表示                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
13'朴成中场拿球，回敲                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
13'比埃拉禁区前拿球，低射太正被门将没收                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
13'比埃拉倒地了，需要接受治疗                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
18'莫雷诺直塞身后，找曹赟定                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
18'传大了，被门将没收                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
18'朴成右路推底线                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
18'国安进球了！！！                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
18'张稀哲！！                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
19'奥古斯托下底横扫门前，混战，张稀哲脚后跟破门                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
19'国安1-0领先申花                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
20'莫雷诺中场拉球转身，送身前                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
20'雷腾龙抢在登巴巴之前解围                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
20'刘欢左路助攻，被拦截                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
21'瓜林右路垫传禁区，于大宝解围                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
21'艾迪左路下底，传门前没有找到登巴巴                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
21'巴坎布肋部拿球过人，打门有一个折射                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
21'球被邱胜炯扑住了                   18'第18分钟，国安取得入球：奥古斯托前压策动进攻，他在禁区右侧底线前大力低传，邱盛炯将球挡出，皮球碰巴坎布折线，背对球门的张稀哲脚后跟施射破门，国安1-0领先
25'比埃拉和队友踢墙配合进禁区，被解围                   25'第25分钟，朴成右翼低平球横敲禁区中路，无人盯防的比埃拉迎球攻门时未踢正部位
25'朴成右路接应转移，下底倒三角回禁区                   25'第25分钟，朴成右翼低平球横敲禁区中路，无人盯防的比埃拉迎球攻门时未踢正部位
25'比埃拉跟上推射打偏了                   25'第25分钟，朴成右翼低平球横敲禁区中路，无人盯防的比埃拉迎球攻门时未踢正部位
26'刘若钒右路拿球，被捅掉                   25'第25分钟，朴成右翼低平球横敲禁区中路，无人盯防的比埃拉迎球攻门时未踢正部位
27'比埃拉斜传禁区，朱辰杰拦截破坏                   25'第25分钟，朴成右翼低平球横敲禁区中路，无人盯防的比埃拉迎球攻门时未踢正部位
28'国安肋部配合，比埃拉直塞                   25'第25分钟，朴成右翼低平球横敲禁区中路，无人盯防的比埃拉迎球攻门时未踢正部位
28'奥古斯托拿球被莫雷诺拦截                   25'第25分钟，朴成右翼低平球横敲禁区中路，无人盯防的比埃拉迎球攻门时未踢正部位
32'邱胜炯扑远射脱手，朱辰杰拉拽了补射的巴坎布                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
32'巴坎布主罚                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
32'打进！                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
32'国安2-0领先申花                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
33'比赛继续                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
34'登巴巴进禁区，单刀被扑出去                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
34'登巴巴捂着腰倒地，有些受伤                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
