1'裁判哨响！                   1'曼城第1分钟就积极施压
1'上半场开始了！                   1'曼城第1分钟就积极施压
1'曼城率先开球！                   1'曼城第1分钟就积极施压
1'德布劳内右侧突破禁区！                   1'曼城第1分钟就积极施压
1'传中到后点！                   1'曼城第1分钟就积极施压
1'萨内跟进射门！                   1'曼城第1分钟就积极施压
1'球打偏了！                   1'曼城第1分钟就积极施压
3'卡迪夫城右侧直传！                   1'曼城第1分钟就积极施压
3'被解围出了底线！                   1'曼城第1分钟就积极施压
3'角球给到禁区内！                   1'曼城第1分钟就积极施压
3'被解围出去！                   1'曼城第1分钟就积极施压
6'福登分左侧津琴科！直塞禁区左侧！                   6'曼城第6分钟取得领先，拉波尔特直传，德布劳内禁区左侧小角度射入上角
6'德布劳内得球小角度打门！                   6'曼城第6分钟取得领先，拉波尔特直传，德布劳内禁区左侧小角度射入上角
6'球进了！！                   6'曼城第6分钟取得领先，拉波尔特直传，德布劳内禁区左侧小角度射入上角
6'曼城的精彩配合！                   6'曼城第6分钟取得领先，拉波尔特直传，德布劳内禁区左侧小角度射入上角
8'萨内左侧得球低平球传中！                   6'曼城第6分钟取得领先，拉波尔特直传，德布劳内禁区左侧小角度射入上角
8'后点热苏斯没踢到！                   6'曼城第6分钟取得领先，拉波尔特直传，德布劳内禁区左侧小角度射入上角
8'球出了底线！                   6'曼城第6分钟取得领先，拉波尔特直传，德布劳内禁区左侧小角度射入上角
44'角球给前点！争顶后费尔南迪尼奥得球！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
44'传中打中防守球员出了底线！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
45'角球短传出来！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
45'交给马赫雷斯！传中到后点！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
45'热苏斯胸部做给萨内！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
45'弧顶左脚爆射！！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
45'球进了！！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
45'曼城这样的状态太无敌了！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'莫里森长传前场！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'争顶后贡纳松右侧传中！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'后点霍伊莱特跟进射门！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'球打偏了！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
46'下半场开始了！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
46'卡迪夫城中圈开球！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'卡迪夫城长传前场右侧！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'拉波尔特头球解围了！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'达尼洛得球交给斯通斯！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'分右侧沃克！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'直传费尔南迪尼奥！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'推进前场右侧！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'直塞禁区内！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
47'球被解围！打中德布劳内出了底线！                   44'曼城第44分钟扩大比分，马赫雷斯右路传中，热苏斯远点胸部回停，萨内禁区边缘内抽射远角入网，2-0
