1'泰达vs上港中超21轮比赛上半场开始                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
1'泰达队首先开球                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
1'一开场双方在中场拼抢的相当激烈                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
1'都有球员倒地，不过来自日本的主裁判都没有表示                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
2'王燊超中场拿球过渡到右路的队友                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
2'泰达中场断球直接找到前场的巴雷                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
3'巴雷强行突破到禁区里倒地，应该没有犯规                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
3'瓦伦西亚带球被汪佳捷绊倒                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
3'泰达前场的一个任意球                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
4'安德烈齐尼奥主罚传到前点，帕尔塔鲁甩头没有蹭到                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
4'上港队球员把球解围                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
6'孙凯停球失误被安德烈齐尼奥断下                   6'第6分钟，麦克布林接球面对门将，但越位在先
6'反抢时无奈犯规                   6'第6分钟，麦克布林接球面对门将，但越位在先
7'蔡慧康左路和麦克布雷恩撞墙配合                   6'第6分钟，麦克布林接球面对门将，但越位在先
7'到左路下底传中被解围出来                   6'第6分钟，麦克布林接球面对门将，但越位在先
7'外围上港队继续控制                   6'第6分钟，麦克布林接球面对门将，但越位在先
7'直传到禁区，麦克布雷恩接球时越位了                   6'第6分钟，麦克布林接球面对门将，但越位在先
8'武磊外围尝试远射被身前的防守队员挡出边线                   6'第6分钟，麦克布林接球面对门将，但越位在先
9'汪佳捷外围突施冷箭被杨启鹏倒地扑出，门前插上的伊班准备补射时竟然脚下拌蒜                   6'第6分钟，麦克布林接球面对门将，但越位在先
9'控制下来后再传中被帕尔塔鲁头球解围                   6'第6分钟，麦克布林接球面对门将，但越位在先
46'上港队禁区外又是一脚远射，来自蔡慧康的打门偏出门柱                   46'但不到1分钟，天津队反而吃了草皮的亏
46'上半场有1分钟补时                   46'但不到1分钟，天津队反而吃了草皮的亏
47'安德烈齐尼奥右路摆脱一名防守队员后被补防的伊班把球解围出边线                   46'但不到1分钟，天津队反而吃了草皮的亏
46'下半场比赛开始，双方易边再战                   46'但不到1分钟，天津队反而吃了草皮的亏
46'下半场一开始泰达队做出一处换人调整                   46'但不到1分钟，天津队反而吃了草皮的亏
46'惠佳康换下了聊博超                   46'但不到1分钟，天津队反而吃了草皮的亏
46'武磊中路拿球直传禁区，伊赛接球时越位了                   46'但不到1分钟，天津队反而吃了草皮的亏
48'王燊超左路带球突到禁区里，传球太慢了，被正面上抢的李玮峰把球解围                   46'但不到1分钟，天津队反而吃了草皮的亏
48'安德烈齐尼奥中路再次直接往前吊，巴雷还是越位了                   46'但不到1分钟，天津队反而吃了草皮的亏
49'泰达队连续传递，安德烈齐尼奥中路传球被挡到了右路的瓦伦西亚脚下                   46'但不到1分钟，天津队反而吃了草皮的亏
11'泰达队拿到一个点球！！！                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
11'巴雷头球摆渡下来，瓦伦西亚得球突入禁区，身后李运秋放铲犯规                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
11'主裁判处以极刑                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
11'李运秋黄牌                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
11'巴雷准备主罚这个点球                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
12'1比1！！！！！！                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
12'巴雷点球骗过门将孙乐，罚进球门左侧                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
12'主罚的还是比较轻松                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
12'比赛刚刚进行10分钟左右，双方各进1球                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
13'上港队单刀的机会！！！！                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
14'麦克布雷恩接到武磊的直传，高速带球突入禁区一脚劲射被杨启鹏挡出底线！！！                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
14'角球                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
14'李运秋角球直接先出底线了                   11'第11分钟，巴雷头球摆渡，瓦伦西亚得球杀入禁区，被李运秋从侧后方铲倒，点球
13'上港队单刀的机会！！！！                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
14'麦克布雷恩接到武磊的直传，高速带球突入禁区一脚劲射被杨启鹏挡出底线！！！                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
14'角球                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
14'李运秋角球直接先出底线了                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
15'武磊迅速再进一球！！！！！                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
16'武磊中场拿球摆脱曹阳后带球突进，禁区外左脚远射窜入球门死角！！！！                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
16'上港客场再次领先，2比1领先泰达                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
16'武磊两脚远射打进两球了                   13'第13分钟，武磊反击中将球捅给麦克布林，后者形成单刀，但禁区内势在必进的射门被反应奇快的杨启鹏封出底线
23'武磊的两脚大门在泰达门前都产生了弹地小变线                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
23'安德烈齐尼奥中场丢球                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
24'这名新外援除了在泰达首秀中打进一个直接任意球，最近几场表现出来身体状况不太i好                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
24'又是武磊前场带球，行进中左脚突然打门偏出                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
25'武磊今天已经个人四脚远射了                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
25'巴雷回到本方半场的反抢，放倒了孙凯                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
25'上港队前场左路的任意球                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
26'孙凯传到禁区，泰达队头球解围出来                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
26'李本舰中场过顶长传，瓦伦西亚禁区里追这个点，门将孙乐头球顶出来                   23'第23分钟，武磊中场连停带过晃开李玮峰，但最后左脚禁区外打门射偏
32'这球队友接起来还是比较困难的                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
32'李本舰中场传球失误                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
33'白岳峰右路助攻上来传中到门前                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
33'门将孙乐把球拿到                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
34'巴雷接后场长传，把球控制下来回做给队友                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
34'经过传递球又回给了禁区前的巴雷，大腿停球转身就打被后卫挡出来                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
34'武磊前场带球，脚下很快，不过陷入泰达三人包夹，这球没过去                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
35'李本舰中场争抢犯规                   32'第32分钟，天津队右路连续配合后白岳峰下底传中，但孙乐直接将球扑住
40'王燊超左路斜传，直接交给了泰达门将杨启鹏                   40'第40分钟，孙凯利用身体将球护出底线，巴雷在身后将其撞倒被裁判警告
41'泰达队又是后场起球直接找前面的巴雷                   40'第40分钟，孙凯利用身体将球护出底线，巴雷在身后将其撞倒被裁判警告
41'虽然巴雷几次都把球停了下来，可是再和队友的联系比较困难了                   40'第40分钟，孙凯利用身体将球护出底线，巴雷在身后将其撞倒被裁判警告
42'孙凯在底线前护球，巴雷上来直接把对方球员撞出了界外                   40'第40分钟，孙凯利用身体将球护出底线，巴雷在身后将其撞倒被裁判警告
42'主裁判上来口头警告了一下巴雷                   40'第40分钟，孙凯利用身体将球护出底线，巴雷在身后将其撞倒被裁判警告
43'唯子轩3159470401:有谁知道范志强----应该还是水平原因很难打上比赛吧                   40'第40分钟，孙凯利用身体将球护出底线，巴雷在身后将其撞倒被裁判警告
45'伊赛前面带球的时候拉人了                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
45'上半场比赛接近尾声                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
46'上港队禁区外又是一脚远射，来自蔡慧康的打门偏出门柱                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
46'上半场有1分钟补时                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
47'安德烈齐尼奥右路摆脱一名防守队员后被补防的伊班把球解围出边线                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
46'下半场比赛开始，双方易边再战                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
46'下半场一开始泰达队做出一处换人调整                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
46'惠佳康换下了聊博超                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
46'武磊中路拿球直传禁区，伊赛接球时越位了                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
48'王燊超左路带球突到禁区里，传球太慢了，被正面上抢的李玮峰把球解围                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
48'安德烈齐尼奥中路再次直接往前吊，巴雷还是越位了                   45'第45分钟，天津队前场界外球配合失误，上半场比赛就此结束
47'安德烈齐尼奥右路摆脱一名防守队员后被补防的伊班把球解围出边线                   47'第47分钟，王龀左路突破李玮峰杀入禁区，但他传中犹豫被曹阳破坏
48'王燊超左路带球突到禁区里，传球太慢了，被正面上抢的李玮峰把球解围                   47'第47分钟，王龀左路突破李玮峰杀入禁区，但他传中犹豫被曹阳破坏
48'安德烈齐尼奥中路再次直接往前吊，巴雷还是越位了                   47'第47分钟，王龀左路突破李玮峰杀入禁区，但他传中犹豫被曹阳破坏
49'泰达队连续传递，安德烈齐尼奥中路传球被挡到了右路的瓦伦西亚脚下                   47'第47分钟，王龀左路突破李玮峰杀入禁区，但他传中犹豫被曹阳破坏
50'瓦伦西亚左脚世界波！！！！2比2！！！！！                   47'第47分钟，王龀左路突破李玮峰杀入禁区，但他传中犹豫被曹阳破坏
50'瓦伦西亚禁区右侧拿球横向带了一下，大禁区角的位置左脚兜出弧线球直窜远门柱死角！！！！                   47'第47分钟，王龀左路突破李玮峰杀入禁区，但他传中犹豫被曹阳破坏
50'瓦伦西亚左脚世界波！！！！2比2！！！！！                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
50'瓦伦西亚禁区右侧拿球横向带了一下，大禁区角的位置左脚兜出弧线球直窜远门柱死角！！！！                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
51'泰达最强之人！！！再次站了出来                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
51'最近5场6个进球                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
52'惠佳康左路漂亮的突破，扣过李运秋后右脚传中到后门柱                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
52'瓦伦西亚无人盯防的近距离垫射踢呲了                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
52'这球没打进！！                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
53'比刚才的世界波简单多了                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
53'安德烈齐尼奥禁区外拿球摆脱，右脚弧线球打门稍稍偏出远门柱                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
53'下半场一开场泰达队马上进入状态                   50'第50分钟，惠家康左路高速突破，晃开后卫后半高球横传门前，瓦伦西亚在后点包抄到位，但他距门不到5米竟然将球推出了横梁
53'比刚才的世界波简单多了                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
53'安德烈齐尼奥禁区外拿球摆脱，右脚弧线球打门稍稍偏出远门柱                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
53'下半场一开场泰达队马上进入状态                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
54'巴雷接后场长传球形成突破，身后的李运秋把他撞倒                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
54'泰达队禁区前靠左位置的任意球机会                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
54'安德烈齐尼奥曾经在这个位置打进过直接任意球                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
55'安德烈齐尼奥直接打了门将守的这一侧，孙乐把球挡出                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
55'惠佳康门前补射空门！！！！！飞了！！！！！！                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
56'泰达队在扳平比分后，短时间内浪费两个大空门了                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
56'这一阵上港的门前风声鹤唳                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
